source_file,source_dataset,source_archive,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
raw_cot_data/legacy_futures_only/dea_fut_xls_2011/annual.xls,legacy_futures_only,dea_fut_xls_2011,COFFEE C - ICE FUTURES U.S.,111227,2011-12-27,083731,ICUS,1,83,104103,24039,22458,12570,61988,61803,98597,96831,5506,7272,95765,23638,22117,11867,55050,54628,90555,88612,5210,7153,8338,742,682,362,6938,7175,8042,8219,296,119,960.0,612.0,306.0,211.0,-207.0,761.0,616.0,1278.0,344.0,-318.0,100,23.1,21.6,12.1,59.5,59.4,94.7,93.0,5.3,7.0,100,24.7,23.1,12.4,57.5,57.0,94.6,92.5,5.4,7.5,100,8.9,8.2,4.3,83.2,86.1,96.4,98.6,3.6,1.4,308,72,97,79,114,101,233,236,306,71,98,78,108,99,225,234,95,14,13,4,48,36,65,50,16.4,15.2,30.6,23.8,15.6,12.0,26.7,19.9,17.3,14.9,31.7,23.8,16.6,12.8,28.5,21.2,59.5,68.0,69.7,82.8,59.5,67.7,67.7,81.2,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2011/annual.xls,legacy_futures_only,dea_fut_xls_2011,COFFEE C - ICE FUTURES U.S.,111220,2011-12-20,083731,ICUS,1,83,103143,23427,22152,12359,62195,61042,97981,95553,5162,7590,94850,23059,21823,11636,55301,53931,89996,87390,4854,7460,8293,725,686,366,6894,7111,7985,8163,308,130,61.0,-844.0,1707.0,46.0,1514.0,-1775.0,716.0,-22.0,-655.0,83.0,100,22.7,21.5,12.0,60.3,59.2,95.0,92.6,5.0,7.4,100,24.3,23.0,12.3,58.3,56.9,94.9,92.1,5.1,7.9,100,8.7,8.3,4.4,83.1,85.7,96.3,98.4,3.7,1.6,308,70,98,81,115,104,234,241,306,71,98,80,109,102,226,239,95,15,13,4,48,35,66,49,16.7,15.1,30.9,23.2,15.8,12.0,27.3,19.3,17.6,14.8,32.1,23.0,16.8,12.9,29.3,20.6,59.4,68.4,69.6,82.6,59.4,68.0,67.6,80.9,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2011/annual.xls,legacy_futures_only,dea_fut_xls_2011,COFFEE C - ICE FUTURES U.S.,111213,2011-12-13,083731,ICUS,1,83,103082,24271,20445,12313,60681,62817,97265,95575,5817,7507,95112,23928,20222,11561,54137,55950,89626,87733,5486,7379,7970,709,589,386,6544,6867,7639,7842,331,128,2480.0,-2833.0,4363.0,647.0,4499.0,-3418.0,2313.0,1592.0,167.0,888.0,100,23.5,19.8,11.9,58.9,60.9,94.4,92.7,5.6,7.3,100,25.2,21.3,12.2,56.9,58.8,94.2,92.2,5.8,7.8,100,8.9,7.4,4.8,82.1,86.2,95.8,98.4,4.2,1.6,310,72,96,80,114,105,229,244,310,73,97,78,108,104,222,242,92,14,11,6,47,33,66,47,16.6,15.9,30.1,23.8,15.9,11.8,27.4,18.7,17.6,15.6,31.4,23.6,16.8,12.6,29.5,20.0,59.2,70.6,68.8,83.3,58.8,70.4,67.0,81.5,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2011/annual.xls,legacy_futures_only,dea_fut_xls_2011,COFFEE C - ICE FUTURES U.S.,111206,2011-12-06,083731,ICUS,1,83,100602,27104,16082,11666,56182,66235,94952,93983,5650,6619,92805,26717,15782,10975,49772,59593,87464,86350,5341,6455,7797,722,635,356,6410,6642,7488,7633,309,164,1019.0,2365.0,760.0,2042.0,-3876.0,-1605.0,531.0,1197.0,488.0,-178.0,100,26.9,16.0,11.6,55.8,65.8,94.4,93.4,5.6,6.6,100,28.8,17.0,11.8,53.6,64.2,94.2,93.0,5.8,7.0,100,9.3,8.1,4.6,82.2,85.2,96.0,97.9,4.0,2.1,292,78,73,79,112,108,234,222,292,79,74,77,105,107,226,220,90,15,11,7,48,31,67,46,17.2,17.4,30.0,25.8,16.0,12.7,27.4,19.9,18.2,17.2,31.2,25.8,16.9,13.6,29.2,21.4,61.6,71.9,70.3,84.0,61.2,71.6,68.6,81.5,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2011/annual.xls,legacy_futures_only,dea_fut_xls_2011,COFFEE C - ICE FUTURES U.S.,111129,2011-11-29,083731,ICUS,1,83,99583,24739,15322,9624,60058,67840,94421,92786,5162,6797,91815,24465,15103,8913,53660,61249,87038,85265,4777,6550,7768,687,632,298,6398,6591,7383,7521,385,247,2088.0,1952.0,901.0,-105.0,-834.0,-52.0,1013.0,744.0,1075.0,1344.0,100,24.8,15.4,9.7,60.3,68.1,94.8,93.2,5.2,6.8,100,26.6,16.4,9.7,58.4,66.7,94.8,92.9,5.2,7.1,100,8.8,8.1,3.8,82.4,84.8,95.0,96.8,5.0,3.2,289,73,76,74,108,103,225,217,287,75,78,71,102,102,216,215,87,14,11,5,48,29,66,42,17.4,18.0,30.4,26.8,16.3,13.1,27.9,20.4,18.4,17.9,31.6,26.9,17.2,14.3,30.2,22.1,61.9,71.5,70.8,83.3,61.5,71.1,69.0,80.9,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2011/annual.xls,legacy_futures_only,dea_fut_xls_2011,COFFEE C - ICE FUTURES U.S.,111122,2011-11-22,083731,ICUS,1,83,97495,22787,14421,9729,60892,67892,93408,92042,4087,5453,89985,22586,14233,9019,54618,61414,86223,84666,3762,5319,7510,597,584,314,6274,6478,7185,7376,325,134,-6919.0,-325.0,-2241.0,-806.0,-4579.0,-2234.0,-5710.0,-5281.0,-1209.0,-1638.0,100,23.4,14.8,10.0,62.5,69.6,95.8,94.4,4.2,5.6,100,25.1,15.8,10.0,60.7,68.2,95.8,94.1,4.2,5.9,100,7.9,7.8,4.2,83.5,86.3,95.7,98.2,4.3,1.8,287,74,75,73,103,101,224,211,286,75,79,70,97,100,215,210,81,10,11,6,46,28,60,42,18.0,18.6,31.8,27.9,17.1,13.5,29.1,21.3,19.0,18.5,32.8,28.2,18.0,14.8,31.6,23.1,62.4,73.2,72.4,84.7,62.0,72.8,70.8,82.0,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2011/annual.xls,legacy_futures_only,dea_fut_xls_2011,COFFEE C - ICE FUTURES U.S.,111115,2011-11-15,083731,ICUS,1,83,104414,23112,16662,10535,65471,70126,99118,97323,5296,7091,97007,22926,16511,9852,59410,63763,92188,90126,4819,6881,7407,586,551,283,6061,6363,6930,7197,477,210,-10482.0,-612.0,615.0,-3949.0,-3428.0,-4861.0,-7989.0,-8195.0,-2493.0,-2287.0,100,22.1,16.0,10.1,62.7,67.2,94.9,93.2,5.1,6.8,100,23.6,17.0,10.2,61.2,65.7,95.0,92.9,5.0,7.1,100,7.9,7.4,3.8,81.8,85.9,93.6,97.2,6.4,2.8,281,75,72,73,104,102,223,209,280,76,74,72,100,101,218,208,70,7,9,5,42,26,52,37,17.3,20.1,31.9,29.0,16.0,12.3,27.5,19.7,17.8,20.2,31.6,29.7,16.8,13.6,29.6,21.6,63.1,73.4,73.0,84.9,62.3,72.9,71.6,82.0,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2011/annual.xls,legacy_futures_only,dea_fut_xls_2011,COFFEE C - ICE FUTURES U.S.,111108,2011-11-08,083731,ICUS,1,83,114896,23724,16047,14484,68899,74987,107107,105518,7789,9378,111114,23724,16086,13667,66575,72157,103966,101910,7148,9204,3782,550,511,267,2324,2830,3141,3608,641,174,-7645.0,-3999.0,-1403.0,-2905.0,-2605.0,-6082.0,-9509.0,-10390.0,1864.0,2745.0,100,20.6,14.0,12.6,60.0,65.3,93.2,91.8,6.8,8.2,100,21.4,14.5,12.3,59.9,64.9,93.6,91.7,6.4,8.3,100,14.5,13.5,7.1,61.4,74.8,83.1,95.4,16.9,4.6,278,78,68,81,104,99,228,211,278,79,69,79,102,98,225,209,70,10,7,7,39,23,53,35,16.8,19.9,29.9,31.0,14.7,11.3,24.2,18.6,16.8,20.5,30.2,30.8,14.8,12.0,24.6,18.9,34.4,61.7,50.0,75.8,33.5,59.1,45.3,69.0,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2011/annual.xls,legacy_futures_only,dea_fut_xls_2011,COFFEE C - ICE FUTURES U.S.,111101,2011-11-01,083731,ICUS,1,83,122541,27723,17450,17389,71504,81069,116616,115908,5925,6633,118705,27895,17446,16588,68649,78205,113132,112239,5573,6466,3836,395,571,234,2855,2864,3484,3669,352,167,-66.0,-1406.0,2301.0,-588.0,1307.0,-2975.0,-687.0,-1262.0,621.0,1196.0,100,22.6,14.2,14.2,58.4,66.2,95.2,94.6,4.8,5.4,100,23.5,14.7,14.0,57.8,65.9,95.3,94.6,4.7,5.4,100,10.3,14.9,6.1,74.4,74.7,90.8,95.6,9.2,4.4,300,90,70,94,110,103,247,230,300,91,71,93,108,103,245,229,70,7,11,7,39,24,50,39,17.4,21.6,30.3,33.3,13.8,13.2,23.0,19.8,17.5,22.1,30.8,33.1,14.1,13.9,23.6,20.4,41.6,59.3,61.1,75.6,40.7,58.3,57.7,70.3,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2011/annual.xls,legacy_futures_only,dea_fut_xls_2011,COFFEE C - ICE FUTURES U.S.,111025,2011-10-25,083731,ICUS,1,83,122607,29129,15149,17977,70197,84044,117303,117170,5304,5437,118784,29389,15392,16823,67556,81238,113768,113453,5016,5331,3823,643,660,251,2641,2806,3535,3717,288,106,1862.0,2360.0,-1630.0,245.0,-58.0,5001.0,2547.0,3616.0,-685.0,-1754.0,100,23.8,12.4,14.7,57.3,68.5,95.7,95.6,4.3,4.4,100,24.7,13.0,14.2,56.9,68.4,95.8,95.5,4.2,4.5,100,16.8,17.3,6.6,69.1,73.4,92.5,97.2,7.5,2.8,302,88,70,89,109,105,248,224,302,88,73,89,106,105,245,224,72,10,11,8,38,24,52,40,19.2,23.2,31.9,33.1,14.2,13.1,23.9,19.9,19.4,23.7,32.4,33.0,14.4,13.4,24.5,20.1,44.3,59.5,63.6,76.0,43.4,56.9,60.8,70.5,"(CONTRACTS OF 37,500 POUNDS)"
