source_file,source_dataset,source_archive,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
raw_cot_data/legacy_futures_only/dea_fut_xls_2006/annual.xls,legacy_futures_only,dea_fut_xls_2006,COFFEE C - NEW YORK BOARD OF TRADE,61226,2006-12-26,083731,NYBT,1,83,125443,47008,22168,8116,58412,88939,113536,119223,11907,6220,113217,45671,22723,5755,50299,78921,101725,107399,11492,5818,12226,2192,300,1506,8113,10018,11811,11824,415,402,3450.0,1017.0,-395.0,622.0,2130.0,3977.0,3769.0,4204.0,-319.0,-754.0,100,37.5,17.7,6.5,46.6,70.9,90.5,95.0,9.5,5.0,100,40.3,20.1,5.1,44.4,69.7,89.8,94.9,10.2,5.1,100,17.9,2.5,12.3,66.4,81.9,96.6,96.7,3.4,3.3,353,162,49,64,88,94,284,187,352,161,55,59,87,91,279,182,82,27,4,17,22,38,54,58,20.1,30.8,32.7,44.4,18.0,22.0,26.2,33.7,22.1,28.6,33.5,43.2,19.9,27.5,29.6,40.4,59.3,59.4,73.9,72.0,40.1,42.9,48.2,48.3,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2006/annual.xls,legacy_futures_only,dea_fut_xls_2006,COFFEE C - NEW YORK BOARD OF TRADE,61219,2006-12-19,083731,NYBT,1,83,121993,45991,22563,7494,56282,84962,109767,115019,12226,6974,110014,44710,22982,5043,48600,75526,98353,103551,11661,6463,11979,2057,357,1675,7682,9436,11414,11468,565,511,-1456.0,-2355.0,-55.0,109.0,1734.0,-850.0,-512.0,-796.0,-944.0,-660.0,100,37.7,18.5,6.1,46.1,69.6,90.0,94.3,10.0,5.7,100,40.6,20.9,4.6,44.2,68.7,89.4,94.1,10.6,5.9,100,17.2,3.0,14.0,64.1,78.8,95.3,95.7,4.7,4.3,347,158,47,59,90,94,279,182,346,160,50,56,89,91,276,177,75,21,7,17,20,36,49,56,19.9,29.3,32.6,43.1,18.5,21.7,27.0,33.5,22.0,28.3,33.5,41.9,20.6,27.2,30.9,40.3,59.2,58.9,74.6,71.0,39.8,41.3,48.1,46.6,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2006/annual.xls,legacy_futures_only,dea_fut_xls_2006,COFFEE C - NEW YORK BOARD OF TRADE,61212,2006-12-12,083731,NYBT,1,83,123449,48346,22618,7385,54548,85812,110279,115815,13170,7634,112232,47045,23017,5169,47565,77064,99779,105250,12453,6982,11217,2008,308,1509,6983,8748,10500,10565,717,652,4861.0,2048.0,-992.0,-285.0,1872.0,4681.0,3635.0,3404.0,1226.0,1457.0,100,39.2,18.3,6.0,44.2,69.5,89.3,93.8,10.7,6.2,100,41.9,20.5,4.6,42.4,68.7,88.9,93.8,11.1,6.2,100,17.9,2.7,13.5,62.3,78.0,93.6,94.2,6.4,5.8,365,174,48,56,87,96,291,183,364,173,54,52,87,94,288,179,71,22,4,15,18,35,44,53,18.5,28.5,30.9,42.1,18.1,21.3,26.3,33.0,20.3,28.0,31.5,41.2,19.9,26.5,29.0,39.4,60.2,56.5,75.5,68.6,42.5,41.9,49.6,47.6,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2006/annual.xls,legacy_futures_only,dea_fut_xls_2006,COFFEE C - NEW YORK BOARD OF TRADE,61205,2006-12-05,083731,NYBT,1,83,118588,46298,23610,7670,52676,81131,106644,112411,11944,6177,108772,45307,24503,4699,47289,73799,97295,103001,11477,5771,9816,2166,282,1796,5387,7332,9349,9410,467,406,4019.0,2599.0,1219.0,216.0,824.0,2856.0,3639.0,4291.0,380.0,-272.0,100,39.0,19.9,6.5,44.4,68.4,89.9,94.8,10.1,5.2,100,41.7,22.5,4.3,43.5,67.8,89.4,94.7,10.6,5.3,100,22.1,2.9,18.3,54.9,74.7,95.2,95.9,4.8,4.1,374,172,60,59,89,103,293,198,372,172,63,54,88,100,288,192,76,26,4,18,19,34,48,55,18.4,28.0,30.0,41.6,18.4,22.5,26.9,33.6,20.1,28.9,31.0,41.3,20.1,27.2,29.4,39.3,56.3,58.3,70.3,67.2,42.8,46.2,49.5,52.4,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2006/annual.xls,legacy_futures_only,dea_fut_xls_2006,COFFEE C - NEW YORK BOARD OF TRADE,61128,2006-11-28,083731,NYBT,1,83,114569,43699,22391,7454,51852,78275,103005,108120,11564,6449,105146,42787,23047,4642,46560,71408,93989,99097,11157,6049,9423,1910,342,1814,5292,6867,9016,9023,407,400,2889.0,2150.0,871.0,-87.0,71.0,1959.0,2134.0,2743.0,755.0,146.0,100,38.1,19.5,6.5,45.3,68.3,89.9,94.4,10.1,5.6,100,40.7,21.9,4.4,44.3,67.9,89.4,94.2,10.6,5.8,100,20.3,3.6,19.3,56.2,72.9,95.7,95.8,4.3,4.2,361,169,48,53,86,97,283,180,359,167,52,48,85,94,279,173,70,22,6,17,19,29,45,51,17.8,28.3,28.3,41.2,17.8,21.7,25.9,32.9,19.4,28.5,29.1,41.2,19.4,26.3,28.2,38.6,55.0,59.3,71.4,69.5,44.3,47.8,52.4,53.3,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2006/annual.xls,legacy_futures_only,dea_fut_xls_2006,COFFEE C - NEW YORK BOARD OF TRADE,61121,2006-11-21,083731,NYBT,1,83,111680,41549,21520,7541,51781,76316,100871,105377,10809,6303,102161,40850,22112,4430,46427,69614,91707,96156,10454,6005,9519,1911,620,1899,5354,6702,9164,9221,355,298,-6893.0,1592.0,599.0,-5690.0,-1202.0,-1700.0,-5300.0,-6791.0,-1593.0,-102.0,100,37.2,19.3,6.8,46.4,68.3,90.3,94.4,9.7,5.6,100,40.0,21.6,4.3,45.4,68.1,89.8,94.1,10.2,5.9,100,20.1,6.5,19.9,56.2,70.4,96.3,96.9,3.7,3.1,352,157,50,50,86,101,274,181,349,160,52,46,85,97,272,173,71,18,11,17,19,29,45,51,18.5,28.1,29.1,41.1,18.3,21.6,26.3,32.6,20.0,28.8,29.5,41.6,20.0,26.3,28.8,38.5,54.4,60.5,71.8,70.7,43.8,46.8,51.9,52.1,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2006/annual.xls,legacy_futures_only,dea_fut_xls_2006,COFFEE C - NEW YORK BOARD OF TRADE,61114,2006-11-14,083731,NYBT,1,83,118573,39957,20921,13231,52983,78016,106171,112168,12402,6405,108802,39627,21531,9430,47650,71739,96707,102700,12095,6102,9771,1881,941,2250,5333,6277,9464,9468,307,303,-3739.0,2633.0,-4643.0,-3798.0,-4010.0,3743.0,-5175.0,-4698.0,1436.0,959.0,100,33.7,17.6,11.2,44.7,65.8,89.5,94.6,10.5,5.4,100,36.4,19.8,8.7,43.8,65.9,88.9,94.4,11.1,5.6,100,19.3,9.6,23.0,54.6,64.2,96.9,96.9,3.1,3.1,365,153,58,74,88,105,287,212,363,155,61,72,87,103,285,208,66,19,10,18,20,25,47,46,17.1,28.1,27.7,39.8,17.0,20.3,24.2,31.3,18.5,28.1,27.9,40.0,18.5,24.9,26.4,36.8,54.7,64.3,72.9,73.6,42.7,46.3,50.6,51.0,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2006/annual.xls,legacy_futures_only,dea_fut_xls_2006,COFFEE C - NEW YORK BOARD OF TRADE,61107,2006-11-07,083731,NYBT,1,83,122312,37324,25564,17029,56993,74273,111346,116866,10966,5446,113032,36833,25826,13606,51937,68463,102376,107895,10656,5137,9280,1887,1134,2027,5056,5810,8970,8971,310,309,5508.0,5621.0,-2737.0,2490.0,-2137.0,5932.0,5974.0,5685.0,-466.0,-177.0,100,30.5,20.9,13.9,46.6,60.7,91.0,95.5,9.0,4.5,100,32.6,22.8,12.0,45.9,60.6,90.6,95.5,9.4,4.5,100,20.3,12.2,21.8,54.5,62.6,96.7,96.7,3.3,3.3,388,151,71,85,93,105,298,235,386,159,71,83,92,102,295,231,61,17,12,19,15,20,43,42,17.9,27.7,28.8,37.7,16.7,19.7,24.5,28.7,18.5,27.1,29.1,37.2,18.0,24.0,26.6,33.7,57.2,65.5,73.5,73.9,44.9,48.8,53.2,53.5,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2006/annual.xls,legacy_futures_only,dea_fut_xls_2006,COFFEE C - NEW YORK BOARD OF TRADE,61031,2006-10-31,083731,NYBT,1,83,116804,31703,28301,14539,59130,68341,105372,111181,11432,5623,107757,31537,28860,10930,54137,62719,96604,102509,11153,5248,9047,1852,1127,1923,4993,5622,8768,8672,279,375,4128.0,1500.0,-2603.0,3309.0,-1887.0,3371.0,2922.0,4077.0,1206.0,51.0,100,27.1,24.2,12.4,50.6,58.5,90.2,95.2,9.8,4.8,100,29.3,26.8,10.1,50.2,58.2,89.6,95.1,10.4,4.9,100,20.5,12.5,21.3,55.2,62.1,96.9,95.9,3.1,4.1,354,120,82,84,92,92,264,229,353,127,81,80,92,91,262,225,55,15,11,20,14,15,43,37,20.4,26.5,32.6,36.7,19.5,18.2,28.2,27.0,21.9,25.7,33.1,35.8,21.1,22.5,31.0,32.2,57.3,65.3,74.0,74.0,46.1,49.7,54.6,55.3,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2006/annual.xls,legacy_futures_only,dea_fut_xls_2006,COFFEE C - NEW YORK BOARD OF TRADE,61024,2006-10-24,083731,NYBT,1,83,112676,30203,30904,11230,61017,64970,102450,107104,10226,5572,104612,30262,31555,7816,56656,60074,94734,99445,9878,5167,8064,1788,1196,1567,4361,4896,7716,7659,348,405,2169.0,777.0,-3663.0,666.0,-736.0,5279.0,707.0,2282.0,1462.0,-113.0,100,26.8,27.4,10.0,54.2,57.7,90.9,95.1,9.1,4.9,100,28.9,30.2,7.5,54.2,57.4,90.6,95.1,9.4,4.9,100,22.2,14.8,19.4,54.1,60.7,95.7,95.0,4.3,5.0,336,107,88,59,90,91,233,214,334,112,87,56,90,90,230,211,46,13,9,13,11,15,33,31,21.8,26.4,34.6,37.6,21.0,18.4,30.1,27.0,23.4,26.1,34.7,36.7,22.6,22.4,32.4,32.0,63.1,69.0,77.5,78.3,50.3,52.7,57.9,58.0,"(CONTRACTS OF 37,500 POUNDS)"
