source_file,source_dataset,source_archive,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
raw_cot_data/legacy_futures_only/dea_fut_xls_2010/annual.xls,legacy_futures_only,dea_fut_xls_2010,COFFEE C - ICE FUTURES U.S.,101228,2010-12-28,083731,ICUS,1,83,139628,44925,6989,16081,70155,111655,131161,134725,8467,4903,131295,45002,8143,14361,63771,103990,123134,126494,8161,4801,8333,1441,364,202,6384,7665,8027,8231,306,102,1703.0,83.0,261.0,584.0,1268.0,1247.0,1935.0,2092.0,-232.0,-389.0,100,32.2,5.0,11.5,50.2,80.0,93.9,96.5,6.1,3.5,100,34.3,6.2,10.9,48.6,79.2,93.8,96.3,6.2,3.7,100,17.3,4.4,2.4,76.6,92.0,96.3,98.8,3.7,1.2,345,149,39,56,101,125,269,207,345,149,40,55,95,124,262,206,83,18,4,2,32,40,51,45,20.0,20.0,33.2,31.8,18.8,14.7,28.7,24.3,19.8,20.9,32.0,32.5,19.8,16.5,31.2,26.4,71.5,72.9,80.8,84.9,70.0,72.8,78.8,82.6,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2010/annual.xls,legacy_futures_only,dea_fut_xls_2010,COFFEE C - ICE FUTURES U.S.,101221,2010-12-21,083731,ICUS,1,83,137925,44842,6728,15497,68887,110408,129226,132633,8699,5292,129896,44834,7743,13955,62720,103007,121509,124705,8387,5191,8029,1358,335,192,6167,7401,7717,7928,312,101,4787.0,468.0,341.0,2204.0,2117.0,2472.0,4789.0,5017.0,-2.0,-230.0,100,32.5,4.9,11.2,49.9,80.0,93.7,96.2,6.3,3.8,100,34.5,6.0,10.7,48.3,79.3,93.5,96.0,6.5,4.0,100,16.9,4.2,2.4,76.8,92.2,96.1,98.7,3.9,1.3,337,141,44,58,94,121,258,205,337,140,46,57,88,120,251,204,78,17,4,2,28,39,46,44,20.5,19.8,33.5,31.7,18.9,14.5,28.5,24.2,19.9,20.6,32.0,32.3,19.9,16.1,31.1,26.1,74.0,75.2,81.9,85.6,72.7,75.2,79.8,83.3,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2010/annual.xls,legacy_futures_only,dea_fut_xls_2010,COFFEE C - ICE FUTURES U.S.,101214,2010-12-14,083731,ICUS,1,83,133138,44374,6387,13293,66770,107936,124437,127616,8701,5522,125621,44190,7083,12199,60837,100912,117226,120194,8395,5427,7517,1084,204,194,5933,7024,7211,7422,306,95,2034.0,1053.0,-71.0,-374.0,695.0,2143.0,1374.0,1698.0,660.0,336.0,100,33.3,4.8,10.0,50.2,81.1,93.5,95.9,6.5,4.1,100,35.2,5.6,9.7,48.4,80.3,93.3,95.7,6.7,4.3,100,14.4,2.7,2.6,78.9,93.4,95.9,98.7,4.1,1.3,345,146,43,60,93,123,262,208,345,145,46,60,88,122,257,207,71,17,4,2,24,35,42,40,20.7,19.5,33.7,31.4,18.9,14.9,28.8,25.0,20.0,19.8,32.0,31.9,19.9,16.4,31.3,26.8,76.8,78.5,85.1,87.6,75.9,78.5,83.3,85.2,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2010/annual.xls,legacy_futures_only,dea_fut_xls_2010,COFFEE C - ICE FUTURES U.S.,101207,2010-12-07,083731,ICUS,1,83,131104,43321,6458,13667,66075,105793,123063,125918,8041,5186,123767,43163,7128,12622,60212,98951,115997,118701,7770,5066,7337,1036,208,167,5863,6842,7066,7217,271,120,3508.0,2591.0,-1094.0,725.0,-919.0,3585.0,2397.0,3216.0,1111.0,292.0,100,33.0,4.9,10.4,50.4,80.7,93.9,96.0,6.1,4.0,100,34.9,5.8,10.2,48.6,79.9,93.7,95.9,6.3,4.1,100,14.1,2.8,2.3,79.9,93.3,96.3,98.4,3.7,1.6,336,135,45,57,93,121,251,207,336,136,47,57,87,120,245,206,70,16,5,2,23,34,40,40,21.4,19.6,34.5,32.0,19.1,15.2,29.1,25.4,20.2,20.3,32.8,32.6,20.1,16.7,31.6,27.3,78.5,79.3,86.5,88.2,77.6,79.3,85.0,86.0,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2010/annual.xls,legacy_futures_only,dea_fut_xls_2010,COFFEE C - ICE FUTURES U.S.,101130,2010-11-30,083731,ICUS,1,83,127596,40730,7552,12942,66994,102208,120666,122702,6930,4894,120345,40595,8217,11906,61124,95440,113625,115563,6720,4782,7251,1009,209,162,5870,6768,7041,7139,210,112,-3200.0,-1306.0,346.0,-463.0,-1109.0,-2944.0,-2878.0,-3061.0,-322.0,-139.0,100,31.9,5.9,10.1,52.5,80.1,94.6,96.2,5.4,3.8,100,33.7,6.8,9.9,50.8,79.3,94.4,96.0,5.6,4.0,100,13.9,2.9,2.2,81.0,93.3,97.1,98.5,2.9,1.5,325,123,50,58,87,119,238,207,325,123,51,56,84,118,233,206,67,14,5,2,21,34,36,40,22.3,20.0,36.0,31.7,19.9,15.0,30.0,25.3,21.0,20.6,34.2,31.9,20.9,17.0,32.7,27.5,79.5,79.4,87.8,88.1,78.6,79.3,86.3,85.9,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2010/annual.xls,legacy_futures_only,dea_fut_xls_2010,COFFEE C - ICE FUTURES U.S.,101123,2010-11-23,083731,ICUS,1,83,130796,42036,7206,13405,68103,105152,123544,125763,7252,5033,123652,42022,7913,12319,62241,98459,116582,118691,7070,4961,7144,964,243,136,5862,6693,6962,7072,182,72,-2992.0,1147.0,182.0,-3039.0,-2625.0,-1447.0,-4517.0,-4304.0,1525.0,1312.0,100,32.1,5.5,10.2,52.1,80.4,94.5,96.2,5.5,3.8,100,34.0,6.4,10.0,50.3,79.6,94.3,96.0,5.7,4.0,100,13.5,3.4,1.9,82.1,93.7,97.5,99.0,2.5,1.0,327,131,44,55,87,121,240,203,327,131,45,53,83,120,234,202,65,13,5,3,22,32,36,39,22.1,19.7,35.5,31.2,19.7,15.0,30.1,25.5,20.8,19.9,33.7,31.6,20.7,16.4,32.5,27.2,80.7,80.3,88.4,89.2,80.0,80.2,87.5,87.4,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2010/annual.xls,legacy_futures_only,dea_fut_xls_2010,COFFEE C - ICE FUTURES U.S.,101116,2010-11-16,083731,ICUS,1,83,133788,40889,7024,16444,70728,106599,128061,130067,5727,3721,126721,40856,7757,15354,64967,99957,121177,123068,5544,3653,7067,952,186,171,5761,6642,6884,6999,183,68,-15025.0,-13037.0,-4756.0,-725.0,24.0,-9766.0,-13738.0,-15247.0,-1287.0,222.0,100,30.6,5.3,12.3,52.9,79.7,95.7,97.2,4.3,2.8,100,32.2,6.1,12.1,51.3,78.9,95.6,97.1,4.4,2.9,100,13.5,2.6,2.4,81.5,94.0,97.4,99.0,2.6,1.0,317,118,47,58,99,120,245,204,317,119,48,57,96,119,241,203,61,11,4,2,23,30,35,35,20.8,19.9,35.6,31.8,19.1,15.1,29.8,24.9,21.8,20.1,35.8,32.7,20.1,16.9,32.0,28.0,81.7,80.8,90.1,89.6,81.3,80.8,89.0,87.3,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2010/annual.xls,legacy_futures_only,dea_fut_xls_2010,COFFEE C - ICE FUTURES U.S.,101109,2010-11-09,083731,ICUS,1,83,148813,53926,11780,17169,70704,116365,141799,145314,7014,3499,145207,53919,12575,16081,68408,113190,138408,141846,6799,3361,3606,930,128,165,2296,3175,3391,3468,215,138,218.0,246.0,-870.0,-721.0,3080.0,4570.0,2605.0,2979.0,-2387.0,-2761.0,100,36.2,7.9,11.5,47.5,78.2,95.3,97.6,4.7,2.4,100,37.1,8.7,11.1,47.1,78.0,95.3,97.7,4.7,2.3,100,25.8,3.5,4.6,63.7,88.0,94.0,96.2,6.0,3.8,361,139,52,67,100,139,272,232,360,139,55,67,98,137,270,230,60,10,4,1,22,31,33,35,18.3,17.9,32.2,30.0,18.0,14.1,29.2,24.2,18.5,17.7,32.1,30.0,18.3,13.7,29.8,23.8,63.1,68.0,79.7,80.4,62.3,67.1,77.3,75.8,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2010/annual.xls,legacy_futures_only,dea_fut_xls_2010,COFFEE C - ICE FUTURES U.S.,101102,2010-11-02,083731,ICUS,1,83,148595,53680,12650,17890,67624,111795,139194,142335,9401,6260,145178,53662,13435,16814,65481,108751,135957,139000,9221,6178,3417,921,118,173,2143,3044,3237,3335,180,82,224.0,67.0,-645.0,-883.0,680.0,1934.0,-136.0,406.0,360.0,-182.0,100,36.1,8.5,12.0,45.5,75.2,93.7,95.8,6.3,4.2,100,37.0,9.3,11.6,45.1,74.9,93.6,95.7,6.4,4.3,100,27.0,3.5,5.1,62.7,89.1,94.7,97.6,5.3,2.4,363,140,54,71,100,134,280,229,362,140,56,70,99,132,278,227,58,9,4,2,20,32,30,37,18.4,18.3,32.2,29.4,17.6,13.8,28.5,23.5,18.7,18.0,32.6,29.3,17.9,13.4,29.1,23.1,66.4,67.6,82.3,80.3,65.6,66.9,78.6,75.5,"(CONTRACTS OF 37,500 POUNDS)"
raw_cot_data/legacy_futures_only/dea_fut_xls_2010/annual.xls,legacy_futures_only,dea_fut_xls_2010,COFFEE C - ICE FUTURES U.S.,101026,2010-10-26,083731,ICUS,1,83,148371,53613,13295,18773,66944,109861,139330,141929,9041,6442,145054,53627,14066,17728,64832,106900,136187,138694,8867,6360,3317,883,126,148,2112,2961,3143,3235,174,82,8234.0,5014.0,1569.0,1715.0,1416.0,5897.0,8145.0,9181.0,89.0,-947.0,100,36.1,9.0,12.7,45.1,74.0,93.9,95.7,6.1,4.3,100,37.0,9.7,12.2,44.7,73.7,93.9,95.6,6.1,4.4,100,26.6,3.8,4.5,63.7,89.3,94.8,97.5,5.2,2.5,364,144,55,65,101,135,275,231,363,144,56,64,100,133,273,229,55,8,3,1,19,32,28,35,18.7,18.3,31.9,28.9,17.3,13.9,28.0,23.7,19.0,18.0,32.2,28.8,17.6,13.6,28.6,23.2,68.0,68.6,83.2,81.4,67.1,68.2,80.0,76.8,"(CONTRACTS OF 37,500 POUNDS)"
