Date,news_data_available,news_event_count_7d,news_mentions_7d,news_articles_7d,news_avg_tone_7d,news_avg_goldstein_7d,news_root_share_7d,news_negative_goldstein_share_7d,news_material_conflict_share_7d,news_verbal_conflict_share_7d,news_brazil_share_7d,news_colombia_share_7d,news_vietnam_share_7d,news_event_count_30d,news_mentions_30d,news_articles_30d,news_avg_tone_30d,news_avg_goldstein_30d,news_root_share_30d,news_negative_goldstein_share_30d,news_material_conflict_share_30d,news_verbal_conflict_share_30d,news_brazil_share_30d,news_colombia_share_30d,news_vietnam_share_30d,news_event_volume_z_365d,news_tone_change_7d,news_supply_shock_proxy
2000-01-03,1.0,26.0,120.0,120.0,4.895292232951525,-2.4433333333333334,0.6538461538461539,0.7692307692307693,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.6923076923076923,0.0,26.0,120.0,120.0,4.895292232951525,-2.4433333333333334,0.6538461538461539,0.7692307692307693,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.6923076923076923,0.0,,,1.5211554766173827
2000-01-04,1.0,38.0,237.0,237.0,4.046141922672495,0.42742616033755276,0.6842105263157895,0.6052631578947368,0.3684210526315789,0.23684210526315788,0.42105263157894735,0.5263157894736842,0.0,38.0,237.0,237.0,4.046141922672495,0.42742616033755276,0.6842105263157895,0.6052631578947368,0.3684210526315789,0.23684210526315788,0.42105263157894735,0.5263157894736842,0.0,,,1.3497332380477645
2000-01-05,1.0,88.0,738.0,691.0,3.879138809903681,-4.458755426917511,0.5795454545454546,0.6590909090909091,0.5113636363636364,0.14772727272727273,0.2727272727272727,0.3977272727272727,0.045454545454545456,88.0,738.0,691.0,3.879138809903681,-4.458755426917511,0.5795454545454546,0.6590909090909091,0.5113636363636364,0.14772727272727273,0.2727272727272727,0.3977272727272727,0.045454545454545456,,,2.2953254163402987
2000-01-06,1.0,138.0,926.0,879.0,3.980725223753901,-3.225938566552901,0.5869565217391305,0.5072463768115942,0.34782608695652173,0.15217391304347827,0.36231884057971014,0.427536231884058,0.028985507246376812,138.0,926.0,879.0,3.980725223753901,-3.225938566552901,0.5869565217391305,0.5072463768115942,0.34782608695652173,0.15217391304347827,0.36231884057971014,0.427536231884058,0.028985507246376812,,,1.7163387593498056
2000-01-07,1.0,188.0,1251.0,1184.0,4.377828486779052,-3.2888513513513513,0.5904255319148937,0.4946808510638298,0.3351063829787234,0.1276595744680851,0.3404255319148936,0.39893617021276595,0.02127659574468085,188.0,1251.0,1184.0,4.377828486779052,-3.2888513513513513,0.5904255319148937,0.4946808510638298,0.3351063829787234,0.1276595744680851,0.3404255319148936,0.39893617021276595,0.02127659574468085,,,1.7565428827061569
2000-01-08,1.0,238.0,1750.0,1653.0,4.385433524009818,-4.388989715668481,0.6302521008403361,0.542016806722689,0.4117647058823529,0.10504201680672269,0.27310924369747897,0.41596638655462187,0.01680672268907563,238.0,1750.0,1653.0,4.385433524009818,-4.388989715668481,0.6302521008403361,0.542016806722689,0.4117647058823529,0.10504201680672269,0.27310924369747897,0.41596638655462187,0.01680672268907563,,,2.2550144037365043
2000-01-09,1.0,265.0,1853.0,1756.0,4.374722810552782,-4.201822323462414,0.6113207547169811,0.5094339622641509,0.39245283018867927,0.09433962264150944,0.24528301886792453,0.44528301886792454,0.01509433962264151,265.0,1853.0,1756.0,4.374722810552782,-4.201822323462414,0.6113207547169811,0.5094339622641509,0.39245283018867927,0.09433962264150944,0.24528301886792453,0.44528301886792454,0.01509433962264151,,,2.1912589287294217
2000-01-10,1.0,248.0,1813.0,1716.0,4.3993458187373475,-4.484382284382284,0.6088709677419355,0.4879032258064516,0.3951612903225806,0.06854838709677419,0.24596774193548387,0.4153225806451613,0.016129032258064516,274.0,1933.0,1836.0,4.431760617051999,-4.350980392156862,0.6131386861313869,0.5145985401459854,0.40145985401459855,0.09124087591240876,0.24452554744525548,0.4416058394160584,0.014598540145985401,,-0.4959464142141776,2.1802838058610536
2000-01-11,1.0,250.0,1808.0,1711.0,4.553371936794174,-4.937229690239626,0.604,0.488,0.4,0.064,0.224,0.428,0.016,288.0,2045.0,1948.0,4.49166068764282,-4.284548254620123,0.6145833333333334,0.5034722222222222,0.3958333333333333,0.08680555555555555,0.25,0.4409722222222222,0.013888888888888888,,0.5072300141216788,2.2101811756527137
2000-01-12,1.0,250.0,1745.0,1659.0,5.0068993975955305,-4.864014466546112,0.664,0.484,0.4,0.056,0.2,0.448,0.004,338.0,2483.0,2350.0,4.675289795001884,-4.744851063829787,0.6420118343195266,0.5295857988165681,0.4289940828402367,0.07988165680473373,0.21893491124260356,0.4349112426035503,0.014792899408284023,,1.1277605876918493,2.2101811756527137
2000-01-13,1.0,250.0,2110.0,1974.0,4.7504061324023,-6.0403242147922995,0.708,0.612,0.532,0.056,0.12,0.38,0.004,388.0,3036.0,2853.0,4.513269953397062,-5.173221170697512,0.6649484536082474,0.5747422680412371,0.46649484536082475,0.09020618556701031,0.20618556701030927,0.39690721649484534,0.01288659793814433,,0.7696809086483989,2.939540963618109
2000-01-14,1.0,250.0,1938.0,1819.0,4.6541680602887165,-6.066794942275976,0.712,0.62,0.556,0.056,0.14,0.436,0.004,438.0,3189.0,3003.0,4.545214995008848,-4.9715284715284715,0.6598173515981736,0.5662100456621004,0.4611872146118721,0.0867579908675799,0.22602739726027396,0.4200913242009132,0.01141552511415525,,0.27633957350966476,3.072151834157272
2000-01-15,1.0,250.0,1789.0,1685.0,4.881931322287621,-5.304154302670623,0.644,0.564,0.472,0.08,0.184,0.452,0.004,488.0,3539.0,3338.0,4.63606228077977,-4.850958657878969,0.6372950819672131,0.5532786885245902,0.4426229508196721,0.09221311475409837,0.22745901639344263,0.4344262295081967,0.010245901639344262,,0.4964977982778036,2.6080137872702016
2000-01-16,1.0,226.0,1742.0,1630.0,4.955949937936367,-5.234662576687117,0.668141592920354,0.5973451327433629,0.49557522123893805,0.08849557522123894,0.21238938053097345,0.42035398230088494,0.004424778761061947,491.0,3595.0,3386.0,4.654522047893373,-4.699025398700532,0.6374745417515275,0.5498981670061099,0.439918533604888,0.09164969450101833,0.23014256619144602,0.43380855397148677,0.010183299389002037,,0.5812271273835856,2.688470805123527
2000-01-17,1.0,221.0,1674.0,1562.0,4.923945865182543,-5.022855313700384,0.6742081447963801,0.583710407239819,0.4796380090497738,0.09049773755656108,0.22624434389140272,0.416289592760181,0.004524886877828055,495.0,3607.0,3398.0,4.658009397976047,-4.659829311359624,0.6404040404040404,0.5454545454545454,0.43636363636363634,0.09090909090909091,0.23636363636363636,0.4303030303030303,0.010101010101010102,,0.5246000464451956,2.5913294229794643
2000-01-18,1.0,231.0,1689.0,1565.0,4.85045537915552,-4.5169329073482425,0.7012987012987013,0.5411255411255411,0.44155844155844154,0.08658008658008658,0.29004329004329005,0.37662337662337664,0.004329004329004329,519.0,3734.0,3513.0,4.65149948417495,-4.388072872189012,0.653179190751445,0.5202312138728323,0.4161849710982659,0.08670520231213873,0.2678227360308285,0.4123314065510597,0.009633911368015413,,0.29708344236134554,2.405052865411098
2000-01-19,1.0,200.0,1382.0,1294.0,4.611022540325643,-2.985625965996909,0.675,0.465,0.355,0.09,0.385,0.37,0.0,538.0,3865.0,3644.0,4.652468217737598,-4.120142700329308,0.654275092936803,0.5055762081784386,0.40148698884758366,0.08364312267657993,0.28066914498141265,0.4107806691449814,0.00929368029739777,,-0.3958768572698874,1.8826732423609718
2000-01-20,1.0,200.0,1046.0,1008.0,5.255571711892539,-0.023313492063491977,0.64,0.295,0.185,0.055,0.51,0.405,0.0,588.0,4082.0,3861.0,4.707064351885391,-3.8287231287231283,0.6564625850340136,0.47959183673469385,0.3707482993197279,0.0782312925170068,0.30952380952380953,0.39965986394557823,0.008503401360544218,,0.5051655794902397,0.981111407990929
2000-01-21,1.0,200.0,1399.0,1280.0,5.164926111647342,-0.65203125,0.64,0.295,0.165,0.07,0.465,0.375,0.01,638.0,4588.0,4283.0,4.730419344599619,-3.6806210600046696,0.6536050156739812,0.48119122257053293,0.3683385579937304,0.08150470219435736,0.30094043887147337,0.4059561128526646,0.0109717868338558,,0.5107580513586258,0.8750453098297475
2000-01-22,1.0,200.0,1332.0,1224.0,4.790920460697678,0.5663398692810457,0.695,0.245,0.125,0.06,0.565,0.24,0.01,688.0,4871.0,4562.0,4.677611253208424,-3.3974791758000875,0.6540697674418605,0.4636627906976744,0.3502906976744186,0.08284883720930232,0.32558139534883723,0.37790697674418605,0.010174418604651164,,-0.0910108615899432,0.6629131135073845
2000-01-23,1.0,209.0,1359.0,1259.0,4.7310301607903735,-0.19173947577442413,0.6889952153110048,0.28708133971291866,0.14832535885167464,0.08133971291866028,0.5358851674641149,0.2535885167464115,0.009569377990430622,700.0,4954.0,4645.0,4.675259123057491,-3.4773519913885895,0.6528571428571428,0.4714285714285714,0.35285714285714287,0.08857142857142856,0.32142857142857145,0.38,0.01,,-0.22491977714599365,0.7931116433121603
2000-01-24,1.0,220.0,1518.0,1393.0,4.509786942430189,-1.1385498923187365,0.6818181818181818,0.3181818181818182,0.18181818181818182,0.08181818181818182,0.5136363636363637,0.2590909090909091,0.00909090909090909,715.0,5125.0,4791.0,4.614913200819841,-3.6360050093926106,0.6531468531468532,0.4755244755244755,0.35804195804195804,0.08811188811188811,0.32167832167832167,0.3776223776223776,0.009790209790209791,,-0.4141589227523541,0.9814841275486823
2000-01-25,1.0,219.0,1628.0,1479.0,4.465098455328204,-2.432183908045977,0.6666666666666666,0.3926940639269406,0.2420091324200913,0.0958904109589041,0.4429223744292237,0.2694063926940639,0.0091324200913242,738.0,5362.0,4992.0,4.596273698585139,-3.80859375,0.6571815718157181,0.4823848238482385,0.36449864498644985,0.08943089430894309,0.31978319783197834,0.3699186991869919,0.009485094850948509,,-0.3853569238273158,1.305307123089841
2000-01-26,1.0,250.0,1694.0,1541.0,4.707920862387304,-2.255158987670344,0.588,0.336,0.212,0.084,0.408,0.268,0.008,788.0,5559.0,5185.0,4.668948936234261,-3.565863066538091,0.633248730964467,0.4517766497461929,0.3413705583756345,0.08375634517766498,0.3210659898477157,0.36548223350253806,0.008883248730964468,,0.09689832206166127,1.1713960230959382
2000-01-27,1.0,250.0,1698.0,1499.0,4.9675592674093165,-2.0648432288192127,0.472,0.304,0.204,0.08,0.296,0.352,0.008,838.0,5780.0,5360.0,4.77991544859628,-3.3354291044776123,0.6014319809069213,0.42720763723150357,0.32100238663484487,0.07875894988066826,0.3054892601431981,0.3854415274463007,0.008353221957040573,,-0.28801244448322283,1.1271923995828839
2000-01-28,1.0,250.0,1585.0,1446.0,4.87074003887033,-2.609405255878285,0.424,0.316,0.24,0.06,0.276,0.392,0.0,888.0,6173.0,5729.0,4.765836297630767,-3.4102461162506543,0.588963963963964,0.4346846846846847,0.3322072072072072,0.07545045045045046,0.2939189189189189,0.40202702702702703,0.007882882882882882,,-0.2941860727770127,1.326108705391628
2000-01-29,1.0,250.0,1555.0,1420.0,5.059389111994016,-2.2609154929577464,0.368,0.276,0.216,0.04,0.164,0.54,0.0,938.0,6426.0,5982.0,4.768237224367825,-3.1276830491474423,0.5778251599147122,0.4136460554371002,0.31449893390191896,0.07142857142857142,0.28251599147121537,0.4211087420042644,0.007462686567164179,,0.2684686512963381,1.1934978348524652
2000-01-30,1.0,263.0,1639.0,1504.0,5.13086313254746,-1.3811170212765955,0.3650190114068441,0.24334600760456274,0.18631178707224336,0.030418250950570342,0.1634980988593156,0.55893536121673,0.0,963.0,6593.0,6149.0,4.786696499911111,-2.964628394860953,0.5742471443406023,0.4091381100726895,0.3073727933541018,0.07268951194184839,0.2782969885773624,0.4288681204569055,0.007268951194184839,,0.3998329717570863,1.0388650420310628
