target_price_date,target_trading_date,target_close,target_future_return_5d,target_future_return_20d,target_Open_Interest_All,target_managed_money_net,target_commercial_net,target_noncommercial_net,target_managed_money_weekly_net_change,target_commercial_weekly_net_change,target_noncommercial_weekly_net_change,target_open_interest_change_pct,window_start,window_end,event_count,max_impact_score_0_1,mean_impact_score_0_1,top_event_date,top_event_direction,top_event_summary
2000-05-22,2000-05-22,103.3000030517578,-0.02807358606200494,-0.15537272582379347,51422.0,,-17.0,-3335.0,,3144.0,-2757.0,0.0390105402356967,2000-05-17,2000-05-29,19447,0.8006693700073043,0.6092255427748235,2000-05-18,bullish,MEXICO -> SWEDEN; event code 120; Goldstein -4.0; tone 8.43697736087321; Brazil
2000-07-18,2000-07-18,116.5,-0.2686695540923417,-0.3253219015096902,46846.0,,-11104.0,5341.0,,-9710.0,8015.0,-0.0208769158519404,2000-07-13,2000-07-25,20066,0.8005970568894603,0.5608808776399906,2000-07-18,bearish,VIETNAM -> RUSSIA; event code 070; Goldstein 7.0; tone 7.63003104839762; Russia
2000-10-17,2000-10-17,88.69999694824219,-0.10653886441232241,-0.19503941395238256,43747.0,,-7834.0,1432.0,,-6604.0,4512.0,0.0306992479484307,2000-10-12,2000-10-24,18698,0.7999637736210592,0.6117715621179589,2000-10-17,bearish,"NEIGHBORHOOD -> unknown target; event code 0874; Goldstein 10.0; tone 4.58802987556318; Gulu, Gulu, Uganda"
2000-12-14,2000-12-14,61.54999923706055,0.08123483146506127,0.09504471748711163,44640.0,,3064.0,-6603.0,,-328.0,214.0,0.0036514336917562,2000-12-09,2000-12-21,19459,0.7358872031829798,0.47928365158574143,2000-12-14,bullish,"JAKARTA -> unknown target; event code 120; Goldstein -4.0; tone 7.03109018066719; Jakarta, Jakarta Raya, Indonesia"
