event_id,event_start,event_end,peak_date,peak_close,peak_drift_score,return_5d,return_20d,cot_report_date_used,cot_release_date_estimate,cot_fill_status,cot_days_since_report,most_abnormal_cot_context
123,2022-10-14,2022-11-28,2022-10-28,169.8000030517578,3.1788540386493955,-0.11052902838838263,-0.23358158107499705,2022-10-25,2022-10-28,forward_filled_from_previous_cot,3.0,swap_dealer_net z=0.9; Open_Interest_All z=0.7; managed_money_net_pct_oi z=0.3; commercial_net z=0.1; noncommercial_net z=0.0
106,2019-06-25,2019-07-05,2019-06-25,106.4499969482422,3.163460523233493,0.12884404563397234,0.10827687210879344,2019-06-25,2019-06-28,original_cot_row,0.0,Open_Interest_All z=1.6; managed_money_net_pct_oi z=1.1; noncommercial_net z=0.9; commercial_net z=0.8; swap_dealer_net z=0.6
105,2019-05-28,2019-06-14,2019-05-31,104.5999984741211,3.1541794659813087,0.11871656122054652,0.1590027531758571,2019-05-28,2019-05-31,forward_filled_from_previous_cot,3.0,Open_Interest_All z=2.7; noncommercial_net z=1.9; commercial_net z=1.7; managed_money_net_pct_oi z=1.5; swap_dealer_net z=0.5
86,2016-06-08,2016-07-18,2016-06-08,139.64999389648438,3.1225178260814417,0.1456110922758045,0.10047275190934757,2016-06-07,2016-06-10,forward_filled_from_previous_cot,1.0,Open_Interest_All z=0.4; managed_money_net_pct_oi z=0.2; noncommercial_net z=0.1; commercial_net z=0.1; swap_dealer_net z=0.0
6,2001-08-17,2001-09-20,2001-08-20,50.0,3.109850308501032,0.01317125726396462,-0.07321595379203172,2001-08-14,2001-08-17,forward_filled_from_previous_cot,6.0,Open_Interest_All z=1.4; noncommercial_net z=0.9; commercial_net z=0.7
62,2011-05-10,2011-06-27,2011-06-20,243.6000061035156,3.083988186899903,-0.08917556558215267,-0.06000381307815161,2011-06-14,2011-06-17,forward_filled_from_previous_cot,6.0,Open_Interest_All z=0.8; managed_money_net_pct_oi z=0.6; noncommercial_net z=0.2; commercial_net z=0.1; swap_dealer_net z=0.0
137,2024-11-15,2024-12-18,2024-11-27,326.1499938964844,3.062400945264392,0.10447005546489962,0.30669064872226603,2024-11-26,2024-11-29,forward_filled_from_previous_cot,1.0,swap_dealer_net z=2.4; commercial_net z=2.0; noncommercial_net z=2.0; managed_money_net_pct_oi z=1.6; Open_Interest_All z=0.6
94,2017-07-20,2017-07-21,2017-07-21,136.5500030517578,3.0473805120687496,0.03682616716704756,0.2036139861163171,2017-07-18,2017-07-21,forward_filled_from_previous_cot,3.0,managed_money_net_pct_oi z=1.2; commercial_net z=1.2; noncommercial_net z=1.1; Open_Interest_All z=0.9; swap_dealer_net z=0.1
9,2002-02-20,2002-02-22,2002-02-21,49.0,3.0386946929554917,0.1290322183694368,0.048128342245989275,2002-02-19,2002-02-22,forward_filled_from_previous_cot,2.0,Open_Interest_All z=1.3; noncommercial_net z=0.8; commercial_net z=0.8
7,2001-11-05,2001-12-20,2001-12-20,49.599998474121094,3.0382866301888862,0.1234427352181997,0.07475616108717964,2001-12-18,2001-12-21,forward_filled_from_previous_cot,2.0,Open_Interest_All z=1.5; noncommercial_net z=0.8; commercial_net z=0.7
32,2006-01-03,2006-01-18,2006-01-06,119.5500030517578,3.016787529767301,0.11833490500761612,0.2994565549104109,2006-01-03,2006-01-06,forward_filled_from_previous_cot,3.0,Open_Interest_All z=1.1; noncommercial_net z=0.3; commercial_net z=0.3
3,2000-10-16,2000-10-19,2000-10-17,88.69999694824219,3.004986586898814,0.09845197459123445,0.14896373645856542,2000-10-17,2000-10-20,original_cot_row,0.0,Open_Interest_All z=1.7; noncommercial_net z=0.4; commercial_net z=0.3
144,2025-09-15,2025-10-10,2025-09-23,350.1499938964844,2.9899557123152745,-0.17075193867025606,-0.10206441098767394,2025-09-23,2025-09-26,original_cot_row,0.0,swap_dealer_net z=2.0; managed_money_net_pct_oi z=1.2; noncommercial_net z=0.8; commercial_net z=0.8; Open_Interest_All z=0.1
67,2012-06-27,2012-07-23,2012-07-13,184.4499969482422,2.9769599561204108,0.04860718219688742,0.23626005845179954,2012-07-10,2012-07-13,forward_filled_from_previous_cot,3.0,commercial_net z=0.7; managed_money_net_pct_oi z=0.6; noncommercial_net z=0.5; Open_Interest_All z=0.3; swap_dealer_net z=0.2
76,2014-04-08,2014-04-10,2014-04-10,206.1000061035156,2.9384836978002737,0.18041236482732126,0.00512071707452133,2014-04-08,2014-04-11,forward_filled_from_previous_cot,2.0,managed_money_net_pct_oi z=1.2; commercial_net z=0.9; noncommercial_net z=0.9; swap_dealer_net z=0.3; Open_Interest_All z=0.1
20,2004-09-14,2004-10-15,2004-09-22,83.55000305175781,2.9302131832290836,0.1398362834004574,0.2030238549041794,2004-09-21,2004-09-24,forward_filled_from_previous_cot,1.0,Open_Interest_All z=1.1; noncommercial_net z=0.5; commercial_net z=0.4
