model,approach,paper_keys,feature_group,phase,rows,date_start,date_end,rmse,mae,median_absolute_error,mean_error_bias,nrmse_target_std,smape,r2,pearson_correlation,price_rmse,price_mae,directional_accuracy,balanced_accuracy,precision_positive,recall_positive,f1_positive,specificity_negative,matthews_correlation,roc_auc,average_precision,naive_binomial_accuracy_p_value_vs_50pct,tn,fp,fn,tp,strategy_observations_non_overlapping,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe,strategy_max_drawdown,strategy_win_rate,strategy_average_turnover,transaction_cost_bps,residual_autocorrelation_lag1,residual_autocorrelation_lag5,residual_autocorrelation_lag20,residual_std,fit_predict_seconds
arima_111,"ARIMA(1,1,1) on log price with walk-forward state updates","elm_coffee_forecasting,arima_coffee_forecasting,volatility_models",close_only,test,1003,2022-09-07,2026-09-01,0.05330270167847222,0.04227268921382728,0.03561188583382869,-0.002535567092302735,1.00074384849819,1.9180515538107532,-0.00248773957873194,-0.012065133608927288,15.241320932837965,11.281099981373735,0.5034895314057827,0.5039403265182781,0.5015706806282723,0.9560878243512974,0.657967032967033,0.05179282868525897,0.018459104318804386,0.49628631183847444,0.49935073617692255,0.4248749697049263,26,476,22,479,201,1.1421887337181373,0.21049037753426503,0.37791380400218233,0.692621418206848,-0.4186954395899607,0.5074626865671642,0.14427860696517414,2.0,0.8015602486527318,0.09399607844911527,-0.13402901107449985,0.05326892148775806,0.039332790998741984
simple_exp_smoothing,Simple exponential smoothing on log price,elm_coffee_forecasting,close_only,test,1003,2022-09-07,2026-09-01,0.0533370722228076,0.042269928399073876,0.03538827471238031,-0.003168309428436263,1.0013891461984952,1.9617601724528206,-0.003781000788945832,-0.012768856941912932,15.24112856293768,11.277510859754479,0.49750747756729813,0.49750896613148204,0.4970178926441352,0.499001996007984,0.49800796812749004,0.4960159362549801,-0.004982087546410967,0.49598810347432626,0.4989603139179362,0.5751250302950737,249,253,251,250,201,-0.6801096869972296,-0.2485832530212052,0.3786927699058058,-0.5620716793351656,-0.7244689742566521,0.472636815920398,0.8905472636815921,2.0,0.8016819085426994,0.09414256320704575,-0.13403484375596803,0.053269449363230255,0.011877499986439943
holt_winters_5d,Additive Holt-Winters with five-trading-day seasonality,"elm_coffee_forecasting,volatility_models",close_only,test,1003,2022-09-07,2026-09-01,0.05339239502660625,0.04240062743831237,0.03630784995324357,-0.0011599281944826144,1.0024278169194867,1.8246620410678567,-0.005864383950468843,-0.07991248967636819,15.297545918011929,11.327861756812686,0.4955134596211366,0.49592249763421364,0.49726177437020813,0.906187624750499,0.6421499292786421,0.08565737051792828,-0.014267185088003485,0.46884319011379627,0.47856622791946873,0.6238965890737089,43,459,47,454,201,-0.41899131907903275,-0.12729056302209507,0.37976189597103394,-0.1696225114075098,-0.6729465566176878,0.47761194029850745,0.263681592039801,2.0,0.807619480354573,0.09990419991362648,-0.1349696691468992,0.053406424035354644,0.10926891700364649
linear_trend_252d,Rolling linear trend on log price,volatility_models,close_only,test,1003,2022-09-07,2026-09-01,0.1335532172402699,0.10504792576562794,0.08736512761875256,0.008367866426707943,2.507425634943413,1.509600373560635,-5.293457948818057,0.05682986685716003,37.58956341109174,27.86118359450398,0.5024925224327019,0.502491033868518,0.502,0.500998003992016,0.5014985014985015,0.5039840637450199,0.004982087546410967,0.529431177485666,0.5117516981690433,0.4497506102583527,253,249,250,251,201,-0.2633381835097076,-0.0737718280065206,0.37989916751752467,-0.012146590264886898,-0.5184582936161997,0.5124378109452736,0.2537313432835821,2.0,0.9830912869375855,0.9113979459080542,0.5974370890339743,0.13335730810638316,0.023996667005121708
quadratic_trend_252d,Rolling quadratic trend on log price,volatility_models,close_only,test,1003,2022-09-07,2026-09-01,0.13972603801531291,0.11332549614957349,0.09586311656893731,-0.0015304770585574624,2.6233186802109674,1.5265921269504896,-5.88866896271222,-0.07109404428813268,40.84759654334098,30.76663881724241,0.4905284147557328,0.4905328784661752,0.4901185770750988,0.49500998003992014,0.4925521350546177,0.4860557768924303,-0.01893499595917378,0.4733043872414534,0.4883635700893999,0.7361357753063201,244,258,253,248,201,-0.6050886628979796,-0.20782016956410065,0.3791423653264622,-0.4222154320991821,-0.6977169150530942,0.527363184079602,0.24378109452736318,2.0,0.9839826703130214,0.906966167101642,0.5562357386405077,0.13978735779265195,0.02676483296090737
linear_technical,Linear regression using OHLCV and technical features,coffee_c_ml,technical_ohlcv,test,1003,2022-09-07,2026-09-01,0.05382874697310828,0.042468767399404,0.034849064330430383,-0.00757289660630208,1.010620207032772,1.5770890704926255,-0.022372517436678674,0.1227351442691038,15.219282560040304,11.279327484742899,0.5114656031904287,0.5113358939491535,0.5148247978436657,0.3812375249500998,0.4380733944954128,0.6414342629482072,0.023480697712212787,0.5412442048174568,0.5413972367266149,0.2436436259977708,322,180,310,191,201,-0.20156813497860526,-0.054880968543084,0.37966658282502835,0.04144791745758231,-0.6774632157733335,0.5472636815920398,0.8009950248756219,2.0,0.7754039965138529,0.09630343292584057,-0.028891727009455664,0.053319975186513796,0.015331875008996576
random_forest_technical,Random Forest using OHLCV and technical features,coffee_c_ml,technical_ohlcv,test,1003,2022-09-07,2026-09-01,0.05464579895740221,0.043306584074231845,0.036045468974880576,-0.007594120760271917,1.0259601376823966,1.6362023177293123,-0.053644697330960334,0.06373213597151516,15.628016646891355,11.558237070311593,0.48454636091724823,0.4844116547780932,0.4781420765027322,0.34930139720558884,0.40369088811995385,0.6195219123505976,-0.032381016167970546,0.5113955356219831,0.4806143918852045,0.8438519907397196,311,191,326,175,201,-0.4859882740294106,-0.15369371747269933,0.37950423081222867,-0.25024507043236527,-0.6517655270324025,0.4626865671641791,0.4427860696517413,2.0,0.8146939348096727,0.18031369332368577,-0.0007990142058834016,0.054142546310180506,5.452383708034176
mlp_price_history,Multilayer perceptron using lagged price-history features,elm_coffee_forecasting,price_history,test,1003,2022-09-07,2026-09-01,0.059494756173812405,0.04606011262833833,0.03640524967382923,-0.004776554654851006,1.1169980016770702,1.4817963059869965,-0.24892972989802353,0.004239094604247832,17.23059488048074,12.318858553314817,0.5154536390827518,0.5154372529840716,0.5154639175257731,0.499001996007984,0.5070993914807302,0.5318725099601593,0.030891214947598212,0.5192364275433198,0.5200579384295942,0.1717543565379844,267,235,251,250,201,0.8575235099711973,0.16797696338348422,0.37843739159268064,0.6003749981041976,-0.6921691739225979,0.5373134328358209,0.9203980099502488,2.0,0.7366130341566083,0.17622565382075658,-0.04552581751303325,0.05933228740548024,1.002588083036244
elm_price_history,Extreme Learning Machine using lagged price-history features,elm_coffee_forecasting,price_history,test,1003,2022-09-07,2026-09-01,0.05401398715702601,0.04293610136607257,0.03588316149652107,-0.0020843505873942734,1.0140980415273266,1.5847708443422048,-0.029421179983082135,0.0732344941665738,15.331385710429007,11.41555168727973,0.5174476570289133,0.5174889265294114,0.5156537753222836,0.5588822355289421,0.5363984674329502,0.4760956175298805,0.03509821579533101,0.5351408736312236,0.5176436275558967,0.14150576065610213,239,263,221,280,201,-0.07758089429537851,-0.020045527150279074,0.37975731563324666,0.13553024585973739,-0.4361409457406442,0.5124378109452736,1.0298507462686568,2.0,0.7834711155561883,0.14070121540788705,-0.0461012263968642,0.05400068187362315,0.01658745895838365
hedonic_weather_cot_ridge,Regularized hedonic/econometric model with weather and released COT,hedonic_weather,hedonic_weather_cot,test,1003,2022-09-07,2026-09-01,0.06149758697620146,0.047448182925596,0.03730443091625765,-0.02441978740845686,1.1546006098368558,1.4130867808534007,-0.3344330099205055,-0.03480426816033557,16.83784935061621,12.384020170897854,0.5064805583250249,0.5060834506286233,0.5294117647058824,0.10778443113772455,0.1791044776119403,0.9043824701195219,0.020127425305012863,0.47674372370796253,0.5010249012419847,0.3523890898534536,454,48,447,54,201,-0.6035639533979802,-0.20705436392250998,0.379083675189307,-0.4188124379849853,-0.7827611147898641,0.5124378109452736,0.34328358208955223,2.0,0.8308279700812456,0.23712062841926596,0.02253593890220301,0.05646951793198484,0.06388958398019895
threshold_ar_npi,Threshold autoregression using the NPI/PER proxy regime,financialization_thresholds,threshold_ar,test,1003,2022-09-07,2026-09-01,0.0535756581613962,0.042564793913040654,0.03625799495575052,-0.0021368215277778333,1.005868532849869,1.7159869469968656,-0.012781257378922994,0.014017910174356428,15.298914164771736,11.339141402001804,0.5094715852442672,0.5095744765449182,0.5074380165289256,0.6127744510978044,0.5551537070524413,0.4063745019920319,0.019570257200745327,0.4984095553912096,0.49280817026251444,0.2849067989463329,204,298,194,307,201,0.9857358394646734,0.18768890106163894,0.3781472931094543,0.6416363803813454,-0.35280702638209904,0.5323383084577115,0.7213930348258707,2.0,0.811210886924778,0.13939336423885165,-0.0729192437387422,0.05355973493396291,0.010929042007774115
cot_contract_stress_forest,"COT crowding, reversal, contract-shock, and default-stress proxy model","contract_behavior,strategic_default,financialization_thresholds",cot_contract_stress,test,1003,2022-09-07,2026-09-01,0.053658040482434964,0.04248153703516106,0.03599754751723068,-0.002514295311846469,1.0074152387092052,1.716389901511804,-0.015898322927221153,0.041032782844008985,15.275881336973656,11.28631264610013,0.5104685942173479,0.5106241699867198,0.5075987841945289,0.6666666666666666,0.5763589301121657,0.3545816733067729,0.022365223041602662,0.4925964803460807,0.48270576907171076,0.26386422469367987,178,324,167,334,201,0.08770201775672004,0.021303287246077218,0.37951056597397226,0.24512414038450647,-0.562981838354458,0.5323383084577115,0.4427860696517413,2.0,0.8102831146349233,0.14931226054667393,-0.06954163007920386,0.053625840383794615,5.636500291991979
hist_gradient_boosting_integrated,"Integrated histogram gradient boosting using price, COT, weather, and safe news features","elm_coffee_forecasting,arima_coffee_forecasting,coffee_c_ml,volatility_models,hedonic_weather,contract_behavior,strategic_default,financialization_thresholds",integrated,test,1003,2022-09-07,2026-09-01,0.05683953329951259,0.04457260873278809,0.03424077112437862,-0.011195709378285519,1.0671469083145662,1.5268590105786322,-0.1399390533903324,0.00897936348997341,16.090305987744227,11.857786656475248,0.5004985044865404,0.5003161008659971,0.5,0.31736526946107785,0.3882783882783883,0.6832669322709163,0.0006793092949783083,0.49497817114774434,0.49739751980322033,0.5000000000000001,343,159,342,159,201,-0.4575393816548575,-0.14218463493432287,0.37959306776883345,-0.21376621381201352,-0.6126003275798919,0.47761194029850745,0.43283582089552236,2.0,0.8371505454071695,0.22897866984649587,-0.016129855657057355,0.05575381446573929,1.3155742500093766
xgboost_integrated,"Integrated nonlinear model using price, COT, weather, and safe news features","elm_coffee_forecasting,arima_coffee_forecasting,coffee_c_ml,volatility_models,hedonic_weather,contract_behavior,strategic_default,financialization_thresholds",integrated,test,1003,2022-09-07,2026-09-01,0.054664718636726374,0.04314824119445428,0.03507320117069061,-0.0071382687213822895,1.0263153495591497,1.6451828470180159,-0.054374417495949956,0.019389672824171155,15.51881718020362,11.450201346188082,0.5074775672981057,0.5073379138138067,0.5096952908587258,0.36726546906187624,0.42691415313225056,0.647410358565737,0.015288054022910374,0.49628631183847444,0.4783023663657966,0.3292349495933582,325,177,317,184,201,-0.2554796719493282,-0.07130410584073343,0.3797327603984657,-0.005092455822918936,-0.5649736171103357,0.4975124378109453,0.572139303482587,2.0,0.8239065148778396,0.1925625857336259,-0.05315818578978785,0.0542236848346696,0.6353970000054687
