trading_date,event_count,max_impact_score_0_1,mean_impact_score_0_1,signed_impact_score,bullish_events,bearish_events,neutral_events,Close,future_return_5d,future_return_20d,top_event_summary
2000-01-03,50,0.5098116418850501,0.44122043806206873,7.390105606583829,31,19,0,116.5,0.0090129017318265,-0.0416308881898805,"MILITARY -> EMBRAER; event code 190; Goldstein -10.0; tone 4.31547619047619; Minas Gerais, Acre, Brazil | PRESIDENT -> CONGRESS; event code 1822; Goldstein -9.0; tone 4.43645083932854; Antioquia, Tolima, Colombia | BRAZIL -> BRITISH; event code 111; Goldstein -2.0; tone 8.40108401084011; Jose Augusto, Minas Gerais, Brazil"
2000-01-04,50,0.5600578798354654,0.47346689940679837,12.70362123179551,35,15,0,116.25,0.0133333595850133,-0.0344086021505376,"Unknown actor -> VIETNAMESE; event code 173; Goldstein -5.0; tone 6.84602749226273; Ho Chi Minh City, H? Chíinh, Vietnam, Republic Of | VIETNAMESE -> AIR FORCE; event code 190; Goldstein -10.0; tone 6.83961931301344; Ho Chi Minh City, H? Chíinh, Vietnam, Republic Of | REBEL -> POLICE; event code 180; Goldstein -9.0; tone 2.29372012698272; Jakarta, Jakarta Raya, Indonesia"
2000-01-05,50,0.4919867895011918,0.3654012821802779,-7.870057195562086,11,38,1,118.5999984741211,0.0029510832936265,-0.0476391365815382,"COLOMBIA -> INTERNATIONAL COMMITTEE OF THE RED CROSS; event code 192; Goldstein -9.5; tone 4.28571428571429; Medellin, Antioquia, Colombia | MEDELLIN -> unknown target; event code 181; Goldstein -9.0; tone 4.28571428571429; Medellin, Antioquia, Colombia | BRAZIL -> unknown target; event code 115; Goldstein -2.0; tone 3.20754716981132; Monsanto, Minas Gerais, Brazil"
2000-01-06,50,0.5598249822184808,0.4311363907214511,-2.0990068554289363,18,30,2,116.8499984741211,0.0145486059036039,-0.033803996575293,"PRISON -> unknown target; event code 190; Goldstein -10.0; tone 4.82069322308364; India | GOVERNMENT -> REBEL; event code 164; Goldstein -7.0; tone 7.54334506852886; Chenalho, Chiapas, Mexico | REBEL -> GOVERNMENT; event code 164; Goldstein -7.0; tone 7.54334506852886; Chenalho, Chiapas, Mexico"
2000-01-07,50,0.5290226466215121,0.43940134598196273,8.859482140412805,36,14,0,114.1500015258789,-0.0140166312109805,-0.0214630271124548,"PRISON -> SENATOR; event code 084; Goldstein 7.0; tone 3.65853658536585; Itagui, Antioquia, Colombia | STUDENTS AND TEACHER -> unknown target; event code 051; Goldstein 3.4; tone 2.78241239389411; Fuente, Coahuila de Zaragoza, Mexico | SENATOR -> SPOKESMEN; event code 046; Goldstein 7.0; tone 3.65853658536585; Medellin, Antioquia, Colombia"
2000-01-10,50,0.5058950541743428,0.45244658458875864,-9.099950242924125,16,34,0,117.5500030517578,-0.0153126584859827,-0.0765631626231201,"Unknown actor -> SPOKESMEN; event code 040; Goldstein 1.0; tone 3.65853658536585; Santa Rosa, NariñO, Colombia | SPOKESMEN -> unknown target; event code 040; Goldstein 1.0; tone 3.65853658536585; Santa Rosa, NariñO, Colombia | GUERRILLA -> unknown target; event code 0871; Goldstein 9.0; tone 2.54372019077901; Ecopetrol, Tolima, Colombia"
2000-01-11,50,0.5142682267058506,0.43343233202744746,5.717718952878057,33,17,0,117.8000030517578,-0.0093379123516006,-0.0857385894894922,"UNITED STATES -> COLOMBIA; event code 033; Goldstein 5.2; tone 11.7370892018779; White House, District of Columbia, United States | PUBLICATION -> unknown target; event code 084; Goldstein 7.0; tone 5.27704485488127; Sao Paulo, SãPaulo, Brazil | CIVILIAN -> GUERRILLA; event code 0256; Goldstein -0.3; tone 9.15750915750916; Medellin, Antioquia, Colombia"
2000-01-12,50,0.657705449098733,0.5457468206765634,19.803599865828474,44,6,0,118.9499969482422,-0.0584278867301384,-0.0857502918027013,"BUSINESS -> BRAZILIAN; event code 061; Goldstein 6.4; tone 11.7977528089888; Sao Paulo, SãPaulo, Brazil | BUSINESS -> unknown target; event code 061; Goldstein 6.4; tone 11.7977528089888; Sao Paulo, SãPaulo, Brazil | GOVERNMENT -> BELIZE; event code 057; Goldstein 8.0; tone 3.32645034414946; Colombia"
2000-01-13,50,0.6345565054983425,0.549891969025967,-3.386639153945949,24,26,0,118.5500030517578,-0.0619992063627923,-0.0822437768790544,"DELEGATE -> unknown target; event code 036; Goldstein 4.0; tone 7.93854837972485; Los Pozos, Tolima, Colombia | FARC -> GOVERNMENT; event code 046; Goldstein 7.0; tone 7.91855203619909; Los Pozos, Tolima, Colombia | Unknown actor -> GOVERNMENT; event code 036; Goldstein 4.0; tone 7.95454545454545; Los Pozos, Tolima, Colombia"
2000-01-14,50,0.480649005806499,0.4312701135027256,-4.861841402782929,21,29,0,112.5500030517578,-0.0057752244180746,-0.06708132249704,"MINISTRY -> unknown target; event code 071; Goldstein 7.4; tone 5.83756345177665; Pantanal, ParanáR, Brazil | BRAZIL -> unknown target; event code 036; Goldstein 4.0; tone 5.34389047213327; Buarque, Minas Gerais, Brazil | FARC -> unknown target; event code 036; Goldstein 4.0; tone 5.80711458366223; Uraba, Antioquia, Colombia"
2000-01-18,50,0.5890859887703933,0.5143514540982355,-25.71757270491177,0,50,0,115.75,-0.0250540088628846,-0.085961096745073,"TRADER -> unknown target; event code 061; Goldstein 6.4; tone 6.40098293177065; Medellin, Antioquia, Colombia | FEDERAL SUPREME COURT -> GOVERNMENT; event code 070; Goldstein 7.0; tone 6.64615772819533; Minas Gerais, Acre, Brazil | BRASILIA -> unknown target; event code 071; Goldstein 7.4; tone 10.2985074626866; Piaui, Minas Gerais, Brazil"
2000-01-19,50,0.5168486416456477,0.46715533126874165,-20.874436067601057,3,47,0,116.6999969482422,-0.0132818805732337,-0.1006855210562795,"MINIST -> BRAZIL; event code 0311; Goldstein 5.2; tone 10.3716682595306; Espirito Santo, ParáR, Brazil | HUMAN RIGHTS GROUP -> COLOMBIA; event code 051; Goldstein 3.4; tone 3.47719565156105; Antioquia, Tolima, Colombia | BRASILIA -> unknown target; event code 020; Goldstein 3.0; tone 10.4531697992992; Espirito Santo, ParáR, Brazil"
2000-01-20,50,0.576783440552799,0.47634550135474074,1.5671524968502424,23,27,0,112.0,0.0232142720903669,-0.0593750136239188,"RIO DE JANEIRO -> PETROBRAS; event code 173; Goldstein -5.0; tone 1.89944328790579; Rio De Janeiro, Estado do Rio, Brazil | COMPANY -> unknown target; event code 172; Goldstein -5.0; tone 1.87771227599701; Rio De Janeiro, Estado do Rio, Brazil | VIETNAM -> unknown target; event code 173; Goldstein -5.0; tone 6.02455486791244; Hanoi, Ha N?i, Vietnam, Republic Of"
2000-01-21,50,0.5837759340521005,0.4437985617963719,-9.972123279027642,11,38,1,111.1999969482422,0.0314748210076756,-0.0620503065274002,"JOSE SARNEY -> COMPANY; event code 172; Goldstein -5.0; tone 2.62634284487911; Ipanema, Minas Gerais, Brazil | JOSE SARNEY -> COMPANY; event code 172; Goldstein -5.0; tone 2.65225933202358; Surui, Estado do Rio, Brazil | ENVIRONMENT MINIST -> COMPANY; event code 172; Goldstein -5.0; tone 2.62379601708758; Ipanema, Minas Gerais, Brazil"
2000-01-24,50,0.507369924958978,0.41416479960165975,9.442935876579801,36,11,3,111.9000015258789,-0.0071492675679079,-0.0777480291242415,"AFRICA -> unknown target; event code 190; Goldstein -10.0; tone 5.12820512820513; Coffee Bay, Eastern Cape, South Africa | AFRICA -> unknown target; event code 071; Goldstein 7.4; tone 5.12820512820513; Coffee Bay, Eastern Cape, South Africa | GOVERNMENT -> unknown target; event code 020; Goldstein 3.0; tone 5.12820512820513; Coffee Bay, Eastern Cape, South Africa"
2000-01-25,50,0.5131806054199952,0.4674799074121217,-23.373995370606085,0,50,0,112.8499984741211,-0.0106335575052521,-0.0819672142230575,"GOVERNOR -> unknown target; event code 071; Goldstein 7.4; tone 7.25469728601253; Sao Paulo, SãPaulo, Brazil | INVESTOR -> unknown target; event code 0311; Goldstein 5.2; tone 7.6; Sao Paulo, SãPaulo, Brazil | Unknown actor -> ARGENTINA; event code 020; Goldstein 3.0; tone 6.01871728206933; Itamaraty, Minas Gerais, Brazil"
2000-01-26,50,0.5499216225889073,0.5111109321198036,-25.55554660599018,0,50,0,115.1500015258789,-0.0251845548193688,-0.1163699639453966,"FARC -> BISHOP; event code 046; Goldstein 7.0; tone 7.73480662983425; Marulanda, Departamento de Caldas, Colombia | BISHOP -> FARC; event code 046; Goldstein 7.0; tone 7.73480662983425; Marulanda, Departamento de Caldas, Colombia | CONGRESS -> COLOMBIA; event code 0331; Goldstein 5.2; tone 9.03010033444816; Fidel Castro, Antioquia, Colombia"
2000-01-27,50,0.5414370502393093,0.4455645497161925,0.5329150376108338,27,22,1,114.5999984741211,-0.0143979192656925,-0.1378708170395939,"BRASILIA -> ARGENTINA; event code 046; Goldstein 7.0; tone 8.21005917159763; Itamaraty, Minas Gerais, Brazil | COLOMBIA -> INTERIOR MINIST; event code 040; Goldstein 1.0; tone 6.97614866842259; Los Pozos, Tolima, Colombia | POLICE CHIEF -> COLOMBIA; event code 073; Goldstein 7.4; tone 3.98860398860399; Tolima, Amazonas, Colombia"
2000-01-28,50,0.5257354855446789,0.4816668919950074,-24.08334459975037,0,50,0,114.6999969482422,-0.015693072975194,-0.1137750285054675,"DEPUTY -> MINISTERS OF STATE; event code 060; Goldstein 6.0; tone 5.98328316424493; Sao Paulo, SãPaulo, Brazil | THE INTERNATIONAL COMMUNITY -> BILL CLINTON; event code 051; Goldstein 3.4; tone 6.86693512170294; Ibague, Tolima, Colombia | COLOMBIA -> unknown target; event code 071; Goldstein 7.4; tone 6.88976377952756; Tolima, Amazonas, Colombia"
