Date,Close,target_close_5d,target_return_5d,target_direction_5d,arima_111_predicted_return_5d,arima_111_predicted_close_5d,arima_111_close_error,zero_return_predicted_return_5d,zero_return_predicted_close_5d,zero_return_close_error,simple_exp_smoothing_predicted_return_5d,simple_exp_smoothing_predicted_close_5d,simple_exp_smoothing_close_error,ar_ridge_predicted_return_5d,ar_ridge_predicted_close_5d,ar_ridge_close_error
2022-09-07,226.8999938964844,217.6000061035156,-0.0409871663425941,0.0,0.0011095534517712,227.15175156791915,9.551745464403552,0.0,226.8999938964844,9.299987792968807,0.0004934761521969,227.011963632406,9.411957528890412,0.0029065448153178,227.5594888973399,9.959482793824293
2022-09-08,225.8500061035156,219.1499938964844,-0.0296657605754516,0.0,0.0007089216478681,226.0101160620135,6.860122165529106,0.0,225.8500061035156,6.700012207031193,8.355485597611045e-05,225.86887696824775,6.718883071763344,0.0028518296222952,226.49409184111715,7.34409794463275
2022-09-09,231.5,218.0500030517578,-0.0580993388692967,0.0,0.0002447468854033,231.55665890397088,13.506655852213072,0.0,231.5,13.449996948242188,-0.0004008588619607,231.4072011734561,13.357198121698275,-0.000911357639902,231.2890207063627,13.23901765460488
2022-09-12,227.75,224.0500030517578,-0.0162458702447516,0.0,0.0008863220854552,227.9518598549624,3.901856803204595,0.0,227.75,3.6999969482421875,0.0002594066791238,227.80907987117047,3.7590768194126554,0.0026107143417797,228.34459019134033,4.294587139582518
2022-09-13,223.9499969482422,228.1000061035156,0.0185309632142238,1.0,0.0008988589586473,224.15129640928816,-3.948709694227432,0.0,223.9499969482422,-4.150009155273409,0.0002782123401514,224.0123026009701,-4.087703502545509,0.0043254851109286,224.91868932563432,-3.1813167778812783
2022-09-14,217.6000061035156,221.3000030517578,0.0170036619690261,1.0,0.0010866679491818,217.83646505589007,-3.463537995867739,0.0,217.6000061035156,-3.699996948242216,0.0004729702561133,217.70292443413268,-3.5970786176251295,0.006404597031335,218.99364645662467,-2.3063565951331384
2022-09-15,219.1499938964844,223.5500030517578,0.020077614774435,1.0,0.0005242875208686,219.26489150348277,-4.28511154827504,0.0,219.1499938964844,-4.400009155273409,-0.0001078600206233,219.1263563736231,-4.423646678134702,-0.0040355420914626,218.26560487177136,-5.284398179986454
2022-09-16,218.0500030517578,220.4499969482422,0.0110066217055484,1.0,0.0007107665664274,218.2049857037364,-2.2450112445057755,0.0,218.0500030517578,-2.399993896484375,8.01760523555502e-05,218.0674854402186,-2.3825115080235832,-0.0028143504859994,217.43633391969692,-3.013663028545267
2022-09-19,224.0500030517578,223.8000030517578,-0.0011158223458815,0.0,0.0002064863788695,224.09626632557368,0.2962632738158675,0.0,224.0500030517578,0.25,-0.0004405602521313,223.9512955259233,0.1512924741655013,-0.00701253856509,222.4788437648488,-1.3211592869090225
2022-09-20,228.1000061035156,224.3500061035156,-0.0164401573856082,0.0,0.0003477675854454,228.17933189187832,3.8293257883627234,0.0,228.1000061035156,3.75,-0.0002988139779634,228.0318466333183,3.681840529802713,-0.0018705717165803,227.67332868354657,3.3233225800309754
2022-09-21,221.3000030517578,228.6999969482422,0.0334387428578284,1.0,0.00110617311833,221.54479916622,-7.155197782022185,0.0,221.3000030517578,-7.399993896484375,0.0004880153189933,221.40800084334032,-7.29199610490187,0.0021068749527824,221.76625448523825,-6.933742463003938
2022-09-22,223.5500030517578,225.6999969482422,0.0096175077930398,1.0,0.0004770018782938,223.65663682310608,-2.043360125136104,0.0,223.5500030517578,-2.149993896484375,-0.0001567466985036,223.51496232682896,-2.185034621413223,0.0051973524768818,224.7118712138258,-0.9881257344163998
2022-09-23,220.4499969482422,221.5500030517578,0.0049898213596886,1.0,0.0008508320742886,220.63756287642255,-0.9124401753352629,0.0,220.4499969482422,-1.100006103515625,0.0002248333812746,220.4995614664581,-1.0504415852997226,0.0037309253814738,221.27247943720224,-0.2775236145555766
2022-09-26,223.8000030517578,215.75,-0.0359696288739375,0.0,0.0003970668324129,223.8888666100636,8.138866610063587,0.0,223.8000030517578,8.050003051757812,-0.0002418687837845,223.74587281720872,7.995872817208721,0.0041271265266196,224.72365398101027,8.973653981010273
2022-09-27,224.3500061035156,219.3000030517578,-0.0225094847977302,0.0,0.0005921471584168,224.4828543221206,5.182851270362789,0.0,224.3500061035156,5.050003051757784,-4.390163965909956e-05,224.34015677039017,5.040153718632354,0.0029544673802897,225.01284087831624,5.712837826558427
2022-09-28,228.6999969482422,224.6499938964844,-0.0177088023865359,0.0,0.0003303784478873,228.7755544982658,4.1255606017813875,0.0,228.6999969482422,4.050003051757784,-0.0003133339315747,228.62833747904727,3.9783435825628715,0.0039022052352883,229.59243127364405,4.942437377159649
2022-09-29,225.6999969482422,217.6999969482422,-0.035445281826187,0.0,0.0008377982193648,225.88908800379608,8.189091055553888,0.0,225.6999969482422,8.0,0.0002099092336085,225.74737346162703,8.047376513384847,0.0049907346372543,226.82640574063996,9.126408792397768
2022-09-30,221.5500030517578,218.1000061035156,-0.0155720916304218,0.0,0.0009257395291944,221.75510064727595,3.655094543760356,0.0,221.5500030517578,3.449996948242216,0.0003056245566029,221.61771417320588,3.5177080696902863,0.0045537482700055,222.5588859948745,4.45887989135889
2022-10-03,215.75,217.4499969482422,0.0078794760057574,1.0,0.0010517026500569,215.9769048467498,-1.4730921014923979,0.0,215.75,-1.6999969482421875,0.0004369898574869,215.8442805617528,-1.6057163864893766,0.0060001960545425,217.04454229876757,-0.4054546494746205
2022-10-04,219.3000030517578,217.8500061035156,-0.0066119330965079,0.0,0.0003790963226284,219.38313887646711,1.533132772951518,0.0,219.3000030517578,1.449996948242216,-0.000258575127722,219.24329752545924,1.393291421943644,0.0046493267624516,220.31960042495209,2.469594321436489
2022-10-05,224.6499938964844,209.75,-0.0663253696919756,0.0,0.0002518182918252,224.70656487420595,14.956564874205952,0.0,224.6499938964844,14.899993896484403,-0.0003965673414132,224.56090504565637,14.81090504565637,0.0025034050505772,225.212383825817,15.462383825817
2022-10-06,217.6999969482422,202.1499938964844,-0.0714285864480501,0.0,0.0011237137929487,217.94462943753783,15.794635541053424,0.0,217.6999969482422,15.550003051757784,0.0005053308372282,217.81000746996463,15.660013573480228,0.0056831440587434,218.93721739248707,16.787223496002667
2022-10-07,218.1000061035156,196.6999969482422,-0.0981201676130005,0.0,0.0006072661125098,218.23245084636045,21.532453898118263,0.0,218.1000061035156,21.40000915527341,-2.1663202612168555e-05,218.0952813588937,21.3952844106515,0.0079594444155568,219.8359609791291,23.135964030886925
