phase,variant,learner,rows,mae,rmse,r2,directional_accuracy
validation,without_news,hist_gradient_boosting,998,0.04068202480566577,0.05422659482435719,-0.16944520961243237,0.5040080160320641
test,without_news,hist_gradient_boosting,1003,0.04330390962771666,0.055054838386520644,-0.06947739614162884,0.5064805583250249
validation,structured_news,hist_gradient_boosting,998,0.04083498021008132,0.054440523194521216,-0.17869052527010187,0.49599198396793587
test,structured_news,hist_gradient_boosting,1003,0.04315723189758039,0.05511138524889189,-0.07167544630988476,0.5054835493519442
validation,all_inputs,hist_gradient_boosting,998,0.04083498021008132,0.054440523194521216,-0.17869052527010187,0.49599198396793587
test,all_inputs,hist_gradient_boosting,1003,0.04315723189758039,0.05511138524889189,-0.07167544630988476,0.5054835493519442
