weather_brazil_minas_gerais_temperature_2m_mean,weather_brazil_minas_gerais_temperature_2m_max,weather_brazil_minas_gerais_temperature_2m_min,weather_brazil_minas_gerais_precipitation_sum,weather_brazil_minas_gerais_rain_sum,weather_brazil_minas_gerais_relative_humidity_2m_mean,weather_brazil_minas_gerais_wind_speed_10m_mean,weather_brazil_minas_gerais_shortwave_radiation_sum,weather_brazil_minas_gerais_et0_fao_evapotranspiration,weather_brazil_minas_gerais_soil_moisture_0_to_100cm_mean,weather_brazil_minas_gerais_soil_temperature_0_to_100cm_mean,weather_brazil_minas_gerais_vapour_pressure_deficit_max,Date
19.2,20.1,18.8,93.4,93.4,94,17.6,2.32,0.76,0.509,21.3,0.21,2000-01-03
19.4,20.4,18.7,14.8,14.8,95,13.0,4.88,0.98,0.5,21.1,0.21,2000-01-04
21.7,26.3,17.8,4.0,4.0,83,8.4,20.81,3.96,0.499,21.3,1.28,2000-01-05
21.9,27.4,17.5,4.1,4.1,82,4.8,22.86,4.49,0.497,21.6,1.47,2000-01-06
22.7,27.6,17.5,0.0,0.0,72,6.5,26.59,5.32,0.493,21.9,2.04,2000-01-07
22.4,27.1,17.7,0.0,0.0,63,8.4,26.97,5.59,0.486,22.0,1.93,2000-01-08
22.6,27.7,18.0,0.0,0.0,68,8.1,27.81,5.56,0.479,22.1,2.11,2000-01-09
22.1,27.0,16.6,0.0,0.0,73,6.2,26.16,5.18,0.473,22.2,1.65,2000-01-10
22.3,27.9,16.7,0.0,0.0,69,7.8,28.45,5.67,0.466,22.3,2.1,2000-01-11
22.9,28.1,17.2,0.0,0.0,67,7.2,27.79,5.65,0.46,22.4,2.14,2000-01-12
23.4,28.9,17.4,0.0,0.0,70,7.3,28.59,5.82,0.453,22.5,2.08,2000-01-13
24.2,28.9,19.0,0.5,0.5,71,6.2,25.96,5.38,0.448,22.8,1.97,2000-01-14
24.3,29.7,19.8,0.1,0.1,74,6.3,26.47,5.48,0.443,23.0,2.0,2000-01-15
23.1,28.5,19.8,8.5,8.5,82,4.7,21.02,4.24,0.443,23.1,1.6,2000-01-16
23.1,27.6,19.5,15.2,15.2,86,5.1,19.43,3.87,0.453,23.2,1.25,2000-01-17
23.4,29.3,19.4,12.8,12.8,84,4.6,23.49,4.78,0.459,23.3,1.71,2000-01-18
23.0,28.4,19.9,19.3,19.3,86,5.3,21.51,4.36,0.462,23.3,1.46,2000-01-19
22.2,26.6,19.8,7.8,7.8,84,7.3,18.49,3.73,0.472,23.3,1.22,2000-01-20
21.5,25.8,18.6,2.2,2.2,81,7.8,18.33,3.7,0.474,23.1,1.08,2000-01-21
22.5,27.5,18.9,1.8,1.8,80,8.4,22.06,4.32,0.471,23.1,1.47,2000-01-22
23.2,27.4,19.0,0.8,0.8,77,6.4,23.25,4.74,0.468,23.2,1.56,2000-01-23
22.8,27.6,20.2,2.4,2.4,81,7.0,16.36,3.4,0.464,23.2,1.51,2000-01-24
22.6,26.6,19.3,6.8,6.8,83,7.9,20.88,4.06,0.464,23.2,1.17,2000-01-25
21.8,25.5,19.7,13.2,13.2,89,9.0,14.42,2.82,0.473,23.1,0.85,2000-01-26
19.4,20.4,17.6,47.8,47.8,94,6.4,3.76,0.9,0.492,22.7,0.29,2000-01-27
19.7,23.4,16.2,3.8,3.8,77,8.1,19.22,3.8,0.504,22.4,1.15,2000-01-28
18.8,21.2,16.0,4.3,4.3,81,10.1,11.53,2.46,0.498,22.1,0.63,2000-01-29
21.0,25.7,17.5,2.8,2.8,81,7.4,16.15,3.29,0.495,22.1,1.1,2000-01-30
21.7,26.1,18.7,12.0,12.0,86,8.0,16.32,3.21,0.494,22.3,1.03,2000-01-31
20.8,24.3,18.9,15.5,15.5,92,9.8,11.84,2.2,0.5,22.2,0.51,2000-02-01
22.1,26.7,19.0,7.0,7.0,81,12.1,21.52,4.24,0.497,22.2,1.63,2000-02-02
22.6,27.7,17.5,0.2,0.2,77,10.5,23.13,4.74,0.486,22.3,1.76,2000-02-03
23.3,26.8,20.2,0.3,0.3,83,9.3,19.92,3.93,0.48,22.6,1.1,2000-02-04
22.4,25.8,19.8,21.8,21.8,88,7.4,17.54,3.36,0.481,22.6,0.86,2000-02-05
22.0,26.7,19.0,14.3,14.3,87,4.7,15.77,3.2,0.488,22.6,1.22,2000-02-06
20.8,24.8,18.4,13.9,13.9,86,9.2,13.35,2.73,0.495,22.5,0.97,2000-02-07
19.5,21.2,18.3,21.7,21.7,94,9.5,5.52,1.13,0.503,22.2,0.26,2000-02-08
20.1,22.5,18.6,18.6,18.6,95,8.5,8.37,1.59,0.502,21.9,0.29,2000-02-09
21.2,24.8,19.0,4.6,4.6,86,10.0,12.48,2.57,0.496,22.0,1.05,2000-02-10
21.6,25.6,19.1,3.4,3.4,84,8.9,14.45,2.94,0.491,22.0,1.13,2000-02-11
22.3,27.0,19.3,1.2,1.2,80,9.1,21.58,4.31,0.483,22.1,1.44,2000-02-12
22.4,27.1,18.7,0.7,0.7,74,8.2,24.08,4.81,0.476,22.3,1.77,2000-02-13
22.6,27.5,18.6,0.3,0.3,74,9.3,25.24,5.06,0.467,22.4,1.7,2000-02-14
22.9,27.6,17.9,0.0,0.0,72,5.7,26.12,5.17,0.459,22.6,1.82,2000-02-15
22.8,28.2,18.7,6.3,6.3,76,5.4,26.13,5.23,0.453,22.7,1.73,2000-02-16
19.9,24.0,17.4,13.5,13.5,88,7.5,13.32,2.6,0.46,22.6,0.79,2000-02-17
18.8,22.3,16.0,3.9,3.9,82,9.6,13.76,2.72,0.464,22.1,0.8,2000-02-18
20.0,25.1,16.0,1.2,1.2,77,10.1,19.71,3.93,0.462,21.9,1.28,2000-02-19
20.9,25.1,17.5,0.2,0.2,74,11.2,18.25,3.88,0.458,22.0,1.36,2000-02-20
20.9,25.3,18.0,0.1,0.1,75,9.2,17.94,3.69,0.452,22.0,1.4,2000-02-21
21.5,26.0,17.0,0.9,0.9,75,7.8,21.56,4.32,0.448,22.0,1.44,2000-02-22
22.2,27.3,17.1,0.4,0.4,76,6.3,25.48,5.05,0.442,22.3,1.5,2000-02-23
22.6,27.8,17.6,0.0,0.0,77,6.5,25.25,5.06,0.437,22.5,1.62,2000-02-24
22.5,28.1,18.0,5.6,5.6,80,5.7,24.4,4.84,0.434,22.6,1.63,2000-02-25
22.5,27.4,18.8,2.1,2.1,79,7.7,22.99,4.6,0.434,22.7,1.45,2000-02-26
22.6,27.7,18.9,2.4,2.4,78,7.3,23.95,4.77,0.431,22.8,1.63,2000-02-27
22.6,27.3,18.9,3.8,3.8,80,7.0,23.45,4.62,0.429,22.9,1.42,2000-02-28
21.9,26.7,18.4,7.0,7.0,81,8.1,20.33,4.01,0.428,22.9,1.44,2000-02-29
21.5,25.6,17.8,0.8,0.8,78,8.9,21.64,4.19,0.429,22.8,1.32,2000-03-01
21.9,25.9,18.4,0.4,0.4,72,10.5,21.01,4.43,0.425,22.7,1.5,2000-03-02
21.7,25.7,17.4,0.3,0.3,72,9.5,21.47,4.37,0.421,22.7,1.49,2000-03-03
22.3,27.0,17.9,0.0,0.0,70,10.5,20.38,4.39,0.417,22.7,1.84,2000-03-04
22.4,27.1,18.2,0.6,0.6,76,7.6,23.46,4.67,0.413,22.8,1.6,2000-03-05
22.7,27.5,17.7,0.3,0.3,76,5.5,23.27,4.6,0.409,22.9,1.69,2000-03-06
22.4,27.8,19.4,3.6,3.6,79,6.5,21.01,4.23,0.407,23.0,1.71,2000-03-07
20.5,23.7,17.9,8.2,8.2,86,7.3,13.86,2.73,0.41,22.8,0.81,2000-03-08
19.5,23.8,16.0,5.6,5.6,81,9.0,16.03,3.17,0.413,22.5,0.98,2000-03-09
19.4,22.6,17.1,10.1,10.1,86,8.0,8.91,1.87,0.419,22.2,0.69,2000-03-10
18.6,20.4,17.7,22.4,22.4,94,7.5,3.86,0.88,0.437,21.9,0.34,2000-03-11
19.9,24.0,17.5,4.0,4.0,87,5.3,11.34,2.31,0.444,21.7,0.98,2000-03-12
19.7,25.0,16.0,1.0,1.0,80,8.0,17.46,3.47,0.443,21.7,1.18,2000-03-13
20.5,25.3,14.8,0.2,0.2,74,7.7,20.76,4.14,0.44,21.8,1.48,2000-03-14
21.3,25.2,17.8,0.7,0.7,78,9.0,16.43,3.41,0.437,21.9,1.14,2000-03-15
21.2,25.3,19.6,9.4,9.4,86,8.6,11.13,2.32,0.436,21.9,1.03,2000-03-16
20.9,25.1,18.9,12.1,12.1,89,7.2,10.72,2.14,0.447,21.9,1.02,2000-03-17
20.5,24.3,18.7,24.3,24.3,91,5.5,9.44,1.85,0.458,21.8,0.74,2000-03-18
20.5,23.8,18.8,6.0,6.0,91,7.3,10.07,1.99,0.47,21.8,0.68,2000-03-19
20.7,25.7,17.2,1.4,1.4,82,10.7,17.94,3.54,0.471,21.7,1.18,2000-03-20
21.1,24.7,18.0,0.6,0.6,78,8.6,15.81,3.26,0.469,21.8,1.13,2000-03-21
21.8,25.7,18.3,0.0,0.0,74,9.0,16.2,3.44,0.465,21.9,1.46,2000-03-22
21.7,26.0,18.5,0.0,0.0,75,9.9,16.41,3.52,0.461,21.9,1.44,2000-03-23
22.0,26.0,19.0,0.0,0.0,78,7.0,16.41,3.35,0.458,22.0,1.28,2000-03-24
21.8,27.4,17.9,4.3,4.3,83,5.5,19.66,3.88,0.455,22.1,1.46,2000-03-25
21.5,26.3,18.1,1.3,1.3,81,8.1,18.95,3.7,0.455,22.1,1.37,2000-03-26
21.8,26.6,18.0,0.1,0.1,78,7.2,20.84,4.04,0.452,22.2,1.53,2000-03-27
21.6,27.3,17.6,3.6,3.6,82,5.6,21.11,4.11,0.449,22.2,1.31,2000-03-28
20.9,25.9,17.6,11.8,11.8,85,6.7,17.6,3.36,0.451,22.3,1.36,2000-03-29
20.4,24.9,17.5,2.2,2.2,84,8.3,16.32,3.15,0.457,22.2,1.16,2000-03-30
20.8,25.5,17.9,2.7,2.7,80,8.7,18.32,3.56,0.459,22.1,1.27,2000-03-31
20.6,26.0,16.5,3.6,3.6,83,5.8,20.19,3.82,0.459,22.1,1.24,2000-04-01
20.5,25.0,16.7,0.0,0.0,77,7.7,18.86,3.73,0.458,22.0,1.45,2000-04-02
19.6,23.3,15.9,0.0,0.0,73,9.9,14.54,3.12,0.454,21.9,1.26,2000-04-03
18.3,22.7,14.1,0.0,0.0,68,12.8,17.51,3.72,0.451,21.5,1.33,2000-04-04
18.8,24.0,14.0,0.0,0.0,73,12.0,19.5,3.87,0.447,21.3,1.47,2000-04-05
19.2,24.1,14.6,0.0,0.0,75,10.4,16.47,3.25,0.443,21.2,1.37,2000-04-06
19.8,24.0,16.5,0.1,0.1,77,9.6,13.66,2.83,0.44,21.2,1.27,2000-04-07
20.7,25.6,17.2,0.0,0.0,76,8.9,16.16,3.27,0.437,21.3,1.6,2000-04-08
21.4,26.3,17.5,0.0,0.0,73,8.6,19.74,4.02,0.433,21.4,1.76,2000-04-09
20.9,26.1,17.4,0.0,0.0,72,8.3,20.31,3.94,0.429,21.5,1.88,2000-04-10
20.7,25.3,15.7,0.1,0.1,76,6.4,18.66,3.6,0.426,21.5,1.48,2000-04-11
20.8,25.9,16.3,0.6,0.6,78,5.9,18.31,3.54,0.424,21.5,1.44,2000-04-12
21.0,26.3,16.3,2.1,2.1,82,6.7,19.13,3.61,0.422,21.6,1.3,2000-04-13
20.7,26.4,15.8,0.7,0.7,84,5.2,18.35,3.54,0.421,21.7,1.38,2000-04-14
21.1,26.2,16.7,0.0,0.0,77,6.2,17.69,3.52,0.419,21.8,1.6,2000-04-15
20.6,25.2,16.9,0.0,0.0,74,6.3,15.49,3.04,0.417,21.7,1.58,2000-04-16
19.6,24.8,15.0,0.0,0.0,73,7.0,17.62,3.33,0.414,21.5,1.7,2000-04-17
20.4,25.0,15.6,0.1,0.1,77,7.6,17.0,3.24,0.411,21.4,1.35,2000-04-18
20.5,24.5,16.7,10.2,10.2,85,6.7,13.01,2.51,0.412,21.5,0.93,2000-04-19
20.7,25.1,17.8,0.4,0.4,83,10.9,13.6,2.82,0.419,21.5,1.09,2000-04-20
17.6,23.0,12.8,0.0,0.0,69,9.1,22.27,4.09,0.416,21.2,1.62,2000-04-21
16.9,23.3,10.5,0.0,0.0,70,6.5,21.77,3.92,0.412,20.8,1.54,2000-04-22
17.6,23.3,11.7,0.0,0.0,74,4.6,20.66,3.57,0.409,20.7,1.47,2000-04-23
18.2,24.2,12.5,0.0,0.0,74,5.8,21.11,3.74,0.406,20.6,1.52,2000-04-24
18.3,24.8,12.5,0.0,0.0,64,8.3,21.6,4.18,0.403,20.5,2.09,2000-04-25
17.7,23.8,12.0,0.0,0.0,66,7.6,21.15,3.93,0.4,20.4,1.72,2000-04-26
18.0,23.6,12.8,0.0,0.0,68,8.2,20.57,3.87,0.397,20.4,1.61,2000-04-27
18.6,24.1,13.5,0.0,0.0,70,7.8,18.54,3.51,0.395,20.4,1.74,2000-04-28
18.7,24.7,12.9,0.0,0.0,69,5.6,19.51,3.61,0.392,20.4,1.81,2000-04-29
19.4,24.6,14.7,0.2,0.2,76,7.9,18.64,3.5,0.39,20.4,1.43,2000-04-30
19.7,23.8,16.3,0.2,0.2,80,9.1,12.56,2.51,0.388,20.5,1.05,2000-05-01
20.3,26.0,15.3,0.0,0.0,73,7.9,19.41,3.75,0.386,20.6,1.71,2000-05-02
20.4,26.0,14.9,0.5,0.5,76,6.5,18.19,3.51,0.384,20.7,1.6,2000-05-03
20.1,25.0,16.2,0.0,0.0,76,8.3,17.24,3.31,0.382,20.8,1.53,2000-05-04
19.7,25.5,14.1,0.0,0.0,70,7.2,19.25,3.77,0.38,20.8,1.77,2000-05-05
20.0,25.7,13.7,0.0,0.0,70,8.8,14.84,3.22,0.378,20.7,1.7,2000-05-06
19.9,23.6,16.6,0.0,0.0,81,6.3,11.55,2.26,0.377,20.8,1.06,2000-05-07
19.0,23.0,15.9,0.1,0.1,84,7.3,11.37,2.16,0.376,20.7,0.93,2000-05-08
19.5,25.3,15.1,0.0,0.0,75,8.6,16.84,3.43,0.376,20.7,1.76,2000-05-09
16.6,22.0,12.1,0.0,0.0,69,6.3,18.42,3.35,0.373,20.5,1.53,2000-05-10
15.8,21.6,10.2,0.0,0.0,67,9.9,16.93,3.33,0.372,20.1,1.49,2000-05-11
15.2,20.2,10.6,0.0,0.0,68,11.6,18.76,3.42,0.37,19.9,1.26,2000-05-12
15.8,21.3,11.2,0.0,0.0,71,7.5,18.32,3.18,0.369,19.7,1.28,2000-05-13
16.6,22.4,10.3,0.0,0.0,69,5.5,18.55,3.21,0.367,19.6,1.38,2000-05-14
17.1,23.7,10.5,0.0,0.0,73,6.3,18.2,3.3,0.365,19.6,1.54,2000-05-15
18.7,25.0,12.9,0.0,0.0,68,7.8,17.58,3.55,0.364,19.7,1.84,2000-05-16
19.2,25.1,12.4,0.0,0.0,66,11.5,14.93,3.54,0.363,19.8,1.78,2000-05-17
17.3,21.3,13.2,0.0,0.0,65,11.9,18.36,3.55,0.361,19.9,1.47,2000-05-18
15.1,20.4,9.7,0.0,0.0,64,5.3,18.3,3.19,0.359,19.5,1.39,2000-05-19
15.4,21.4,10.6,0.0,0.0,71,6.7,16.29,2.84,0.358,19.2,1.5,2000-05-20
15.7,19.7,12.5,0.0,0.0,75,10.2,9.21,2.04,0.357,19.1,0.93,2000-05-21
15.9,19.7,11.8,0.0,0.0,74,9.2,10.25,2.09,0.357,19.0,0.96,2000-05-22
16.1,21.1,11.2,0.0,0.0,74,6.2,12.4,2.2,0.356,18.9,1.28,2000-05-23
16.3,21.9,10.8,0.0,0.0,69,8.2,17.1,3.15,0.355,18.9,1.42,2000-05-24
15.7,21.6,10.4,0.0,0.0,68,9.3,17.58,3.24,0.354,18.9,1.51,2000-05-25
16.4,23.4,9.6,0.0,0.0,67,8.0,17.5,3.36,0.353,18.7,1.72,2000-05-26
17.7,24.0,12.4,3.6,3.6,74,7.2,13.73,2.78,0.353,18.9,1.5,2000-05-27
17.0,22.1,11.9,1.4,1.4,75,8.6,13.27,2.59,0.357,19.0,1.44,2000-05-28
13.9,20.6,7.5,0.0,0.0,67,4.8,17.67,2.88,0.357,18.5,1.5,2000-05-29
15.0,23.0,7.1,0.0,0.0,67,7.6,17.28,3.27,0.355,18.2,1.66,2000-05-30
17.4,23.3,12.7,0.6,0.6,74,9.5,13.72,2.71,0.354,18.5,1.2,2000-05-31
17.0,22.1,13.9,5.2,5.2,89,7.8,11.18,1.95,0.357,18.6,0.83,2000-06-01
16.5,21.8,13.7,0.0,0.0,82,5.2,11.03,1.96,0.36,18.5,1.24,2000-06-02
16.7,21.5,12.8,0.0,0.0,77,10.5,11.11,2.28,0.359,18.4,1.14,2000-06-03
16.7,21.7,13.3,0.0,0.0,72,11.2,15.96,3.09,0.357,18.5,1.29,2000-06-04
14.9,20.1,11.0,0.0,0.0,75,10.2,14.39,2.56,0.356,18.4,1.1,2000-06-05
14.8,21.1,9.1,0.0,0.0,72,8.0,16.52,2.88,0.355,18.2,1.32,2000-06-06
15.4,21.5,9.5,0.0,0.0,76,6.8,15.72,2.66,0.353,18.0,1.3,2000-06-07
16.2,22.3,9.8,0.0,0.0,70,6.6,16.14,2.95,0.352,18.1,1.51,2000-06-08
16.5,22.9,9.5,0.0,0.0,66,3.7,16.63,2.86,0.351,18.0,1.72,2000-06-09
16.4,22.8,9.9,0.0,0.0,65,7.3,16.47,3.11,0.349,18.0,1.75,2000-06-10
16.5,22.0,10.4,0.0,0.0,69,6.5,15.2,2.8,0.348,18.1,1.47,2000-06-11
16.4,23.1,10.0,0.0,0.0,67,4.1,15.66,2.76,0.347,18.0,1.68,2000-06-12
16.5,23.6,10.3,0.0,0.0,68,5.2,15.53,2.85,0.346,18.0,1.74,2000-06-13
17.5,24.0,11.5,0.0,0.0,71,7.1,15.65,2.94,0.345,18.1,1.7,2000-06-14
17.5,22.6,13.3,0.0,0.0,74,8.5,14.99,2.77,0.344,18.3,1.34,2000-06-15
16.8,22.4,12.4,0.0,0.0,73,5.9,15.57,2.67,0.343,18.4,1.52,2000-06-16
15.9,23.0,9.4,0.0,0.0,71,4.2,16.39,2.76,0.342,18.2,1.66,2000-06-17
16.5,23.4,10.1,0.0,0.0,71,6.7,15.72,2.89,0.341,18.1,1.58,2000-06-18
16.7,23.6,10.1,0.0,0.0,75,6.1,15.62,2.86,0.34,18.2,1.53,2000-06-19
18.2,23.8,11.8,0.0,0.0,71,4.7,13.96,2.65,0.339,18.3,1.49,2000-06-20
15.9,19.3,11.2,2.0,2.0,81,10.0,9.53,1.85,0.34,18.2,0.84,2000-06-21
13.3,20.0,7.2,0.0,0.0,71,5.2,16.68,2.64,0.34,17.8,1.46,2000-06-22
13.9,21.6,7.0,0.0,0.0,62,8.7,16.89,3.12,0.339,17.5,1.72,2000-06-23
14.5,22.6,7.1,0.0,0.0,65,8.6,16.69,3.2,0.338,17.5,1.8,2000-06-24
15.5,23.6,7.2,0.0,0.0,61,6.6,16.48,3.18,0.337,17.4,1.83,2000-06-25
17.1,24.5,9.2,0.0,0.0,64,4.5,16.38,3.01,0.336,17.6,1.91,2000-06-26
17.3,24.1,9.3,0.0,0.0,62,3.8,16.47,2.91,0.335,17.6,1.95,2000-06-27
17.0,23.8,11.3,0.0,0.0,62,10.7,16.67,3.49,0.335,17.8,2.06,2000-06-28
16.2,23.7,8.8,0.0,0.0,67,8.6,16.31,3.18,0.334,17.7,1.69,2000-06-29
18.0,24.7,11.7,0.0,0.0,70,11.9,14.77,3.26,0.333,17.9,1.73,2000-06-30
17.0,23.4,10.8,0.0,0.0,75,6.2,15.75,2.85,0.332,18.0,1.5,2000-07-01
17.5,23.5,12.5,0.0,0.0,74,8.4,15.54,2.95,0.332,18.2,1.54,2000-07-02
17.8,24.0,11.2,0.0,0.0,72,5.8,13.19,2.65,0.331,18.3,1.58,2000-07-03
17.0,20.6,14.3,0.0,0.0,76,12.3,9.01,2.17,0.331,18.3,1.08,2000-07-04
16.4,20.6,12.8,0.0,0.0,75,11.5,9.8,2.16,0.33,18.2,1.07,2000-07-05
16.5,21.0,13.0,0.0,0.0,72,11.2,10.32,2.29,0.33,18.2,1.31,2000-07-06
17.3,22.3,11.9,0.0,0.0,66,7.6,15.67,2.95,0.33,18.3,1.57,2000-07-07
17.1,22.9,12.8,0.0,0.0,70,6.8,12.64,2.5,0.329,18.3,1.59,2000-07-08
17.0,23.5,10.8,0.0,0.0,72,5.9,16.39,2.97,0.328,18.3,1.66,2000-07-09
16.8,23.4,10.1,0.0,0.0,71,8.2,16.1,3.1,0.328,18.3,1.55,2000-07-10
17.9,24.5,11.5,0.0,0.0,71,9.4,15.43,3.15,0.327,18.4,1.68,2000-07-11
17.7,23.1,13.1,0.0,0.0,73,8.7,12.95,2.75,0.327,18.5,1.37,2000-07-12
15.8,19.5,12.2,0.3,0.3,81,5.4,7.7,1.52,0.327,18.4,0.77,2000-07-13
15.7,19.4,12.7,0.0,0.0,76,11.4,8.33,1.92,0.327,18.2,0.99,2000-07-14
16.5,22.1,12.1,5.7,5.7,75,10.9,13.1,2.61,0.327,18.2,1.38,2000-07-15
14.3,16.0,10.9,11.7,11.7,84,13.3,5.56,1.26,0.341,18.0,0.55,2000-07-16
10.5,14.7,5.1,0.0,0.0,52,5.6,18.14,2.8,0.343,17.3,1.09,2000-07-17
11.0,18.5,2.6,0.0,0.0,59,6.1,17.29,2.84,0.341,16.6,1.36,2000-07-18
13.3,20.7,5.9,0.0,0.0,62,7.8,13.96,2.89,0.34,16.5,1.44,2000-07-19
13.5,19.0,8.7,0.0,0.0,60,6.0,17.15,2.96,0.339,16.7,1.29,2000-07-20
14.9,23.1,7.8,0.0,0.0,72,7.3,17.04,3.07,0.337,16.7,1.45,2000-07-21
18.0,24.2,11.8,0.0,0.0,76,10.0,16.75,3.21,0.336,17.1,1.39,2000-07-22
17.2,18.8,15.2,8.8,8.8,89,10.1,4.88,1.03,0.339,17.4,0.4,2000-07-23
14.9,18.9,12.6,0.0,0.0,76,5.7,15.22,2.55,0.343,17.3,1.05,2000-07-24
14.9,19.4,10.4,0.0,0.0,79,9.4,7.95,1.66,0.342,17.1,0.68,2000-07-25
16.9,21.8,13.6,0.0,0.0,77,7.0,11.03,2.15,0.341,17.3,1.32,2000-07-26
15.6,20.9,12.5,0.0,0.0,74,11.4,13.19,2.59,0.341,17.3,1.29,2000-07-27
14.1,20.3,8.9,0.0,0.0,68,8.8,18.31,3.17,0.339,17.1,1.44,2000-07-28
13.7,20.5,8.0,0.0,0.0,70,6.7,18.74,3.05,0.338,16.9,1.39,2000-07-29
14.5,21.2,7.1,0.0,0.0,67,5.3,18.68,3.1,0.337,16.8,1.5,2000-07-30
14.8,22.0,8.2,0.0,0.0,68,7.0,17.88,3.19,0.335,16.8,1.53,2000-07-31
16.3,22.2,10.7,0.0,0.0,66,11.1,17.13,3.42,0.334,16.9,1.52,2000-08-01
16.8,21.6,12.4,0.0,0.0,73,9.0,11.19,2.25,0.333,17.1,1.36,2000-08-02
16.8,23.3,10.2,2.2,2.2,76,6.4,16.83,3.05,0.332,17.2,1.45,2000-08-03
16.5,21.2,12.7,2.0,2.0,79,8.9,15.21,2.83,0.335,17.4,1.03,2000-08-04
14.0,19.6,9.6,0.0,0.0,65,11.5,19.24,3.48,0.335,17.2,1.31,2000-08-05
15.0,21.9,8.2,0.0,0.0,71,6.8,17.37,3.02,0.333,17.1,1.3,2000-08-06
16.7,23.5,11.0,0.0,0.0,74,4.4,16.34,2.93,0.332,17.3,1.53,2000-08-07
17.9,25.2,11.7,0.0,0.0,69,5.1,18.81,3.57,0.331,17.6,2.03,2000-08-08
18.4,25.8,11.6,0.0,0.0,62,8.4,17.33,3.78,0.329,17.7,2.25,2000-08-09
19.2,26.8,11.1,0.0,0.0,62,6.6,17.84,3.74,0.328,17.9,2.34,2000-08-10
18.0,22.3,14.3,0.1,0.1,75,10.2,15.65,3.15,0.327,18.2,1.21,2000-08-11
14.3,19.0,10.9,0.0,0.0,60,11.6,18.41,3.56,0.326,18.0,1.34,2000-08-12
13.4,19.7,7.9,0.0,0.0,62,9.9,19.32,3.46,0.326,17.6,1.37,2000-08-13
15.5,22.5,9.3,0.0,0.0,63,9.0,19.99,3.73,0.325,17.7,1.56,2000-08-14
16.8,23.8,9.8,0.0,0.0,66,7.3,19.21,3.59,0.324,17.9,1.71,2000-08-15
18.4,25.4,13.1,3.4,3.4,73,6.5,18.57,3.56,0.323,18.2,1.68,2000-08-16
16.6,20.9,14.4,4.8,4.8,81,10.6,7.46,1.67,0.327,18.1,0.95,2000-08-17
17.2,23.2,12.9,2.2,2.2,80,6.6,16.84,3.07,0.331,18.1,1.29,2000-08-18
17.0,21.7,13.3,0.0,0.0,77,8.5,9.09,1.93,0.33,18.0,1.26,2000-08-19
17.4,24.0,12.6,0.0,0.0,73,7.9,16.7,3.08,0.33,18.1,1.73,2000-08-20
18.2,24.9,12.2,0.0,0.0,63,6.3,20.63,3.9,0.328,18.3,2.01,2000-08-21
18.2,24.4,11.0,0.0,0.0,61,5.0,21.35,3.97,0.326,18.4,1.91,2000-08-22
18.8,25.4,11.3,0.0,0.0,57,6.7,21.54,4.26,0.325,18.5,2.21,2000-08-23
19.0,26.2,10.8,0.0,0.0,59,5.6,21.27,4.14,0.323,18.6,2.25,2000-08-24
20.4,27.7,12.8,0.0,0.0,56,8.9,20.66,4.65,0.322,18.9,2.53,2000-08-25
22.9,29.5,16.8,0.0,0.0,49,9.2,18.66,4.77,0.32,19.4,2.98,2000-08-26
23.9,29.5,18.3,0.0,0.0,46,12.3,16.21,4.88,0.319,19.8,2.76,2000-08-27
20.1,25.2,14.5,3.8,3.8,66,6.8,10.47,2.53,0.319,19.9,1.69,2000-08-28
16.3,20.2,13.3,6.5,6.5,80,5.1,9.86,1.96,0.326,19.4,0.91,2000-08-29
17.9,24.1,11.9,0.0,0.0,75,8.6,17.25,3.43,0.327,19.2,1.74,2000-08-30
18.7,21.8,16.6,3.1,3.1,83,9.5,8.34,1.81,0.327,19.3,0.74,2000-08-31
19.4,24.4,15.8,4.1,4.1,84,4.5,13.8,2.67,0.328,19.4,1.27,2000-09-01
18.2,22.2,16.6,38.0,38.0,92,7.2,10.27,1.88,0.346,19.3,0.63,2000-09-02
17.1,19.8,14.2,27.8,27.8,94,6.0,7.7,1.44,0.378,19.2,0.39,2000-09-03
14.4,16.3,12.9,1.6,1.6,79,12.4,6.03,1.57,0.391,18.6,0.6,2000-09-04
15.7,19.3,13.0,0.0,0.0,75,10.6,9.82,2.13,0.39,18.4,0.83,2000-09-05
14.5,15.8,13.2,21.7,21.7,90,12.1,4.68,1.01,0.4,18.1,0.33,2000-09-06
15.5,19.2,12.6,0.0,0.0,79,9.9,9.18,1.91,0.407,17.9,0.83,2000-09-07
16.3,21.2,12.8,0.1,0.1,75,9.5,10.96,2.27,0.405,17.8,1.19,2000-09-08
16.0,18.5,14.2,8.6,8.6,84,10.7,7.84,1.6,0.41,17.8,0.52,2000-09-09
18.0,23.2,12.2,0.0,0.0,78,7.2,18.21,3.38,0.412,17.9,1.21,2000-09-10
19.0,23.9,15.0,0.0,0.0,76,8.9,14.49,2.93,0.409,18.2,1.25,2000-09-11
18.9,24.0,13.8,0.0,0.0,77,7.6,16.18,3.18,0.407,18.3,1.3,2000-09-12
20.1,25.5,16.0,0.0,0.0,73,7.6,20.25,3.95,0.404,18.6,1.56,2000-09-13
20.3,25.5,15.6,0.3,0.3,80,5.9,16.59,3.29,0.402,18.9,1.38,2000-09-14
20.6,25.1,16.3,2.7,2.7,80,8.1,18.6,3.58,0.4,19.2,1.18,2000-09-15
20.3,25.4,16.2,2.9,2.9,81,5.9,18.47,3.58,0.402,19.4,1.3,2000-09-16
