source_file,source_dataset,source_archive,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2020/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2020,COFFEE C - ICE FUTURES U.S.,201229,2020-12-29,083731,ICUS,1,83,258174,86049,151211,45818,27171,4912,38894,19256,23965,23268,2226,22760,245666,251501,12508,6673,220096,67957,123427,40250,25160,2742,38833,22814,19819,24181,5134,15028,208810,214124,11286,5972,38078,18092,27784,6715,3158,1023,3949,330,258,5091,3096,1728,36856,37377,1222,701,1757.0,-2361.0,-1223.0,-281.0,23.0,119.0,1562.0,516.0,52.0,1234.0,375.0,1460.0,1785.0,1322.0,-28.0,435.0,100,33.3,58.6,17.7,10.5,1.9,15.1,7.5,9.3,9.0,0.9,8.8,95.2,97.4,4.8,2.6,100,30.9,56.1,18.3,11.4,1.2,17.6,10.4,9.0,11.0,2.3,6.8,94.9,97.3,5.1,2.7,100,47.5,73.0,17.6,8.3,2.7,10.4,0.9,0.7,13.4,8.1,4.5,96.8,98.2,3.2,1.8,406,101.0,91.0,23.0,15.0,16.0,69.0,43.0,52.0,99.0,21.0,55.0,351,250,405.0,97.0,89.0,24.0,14.0,13.0,69.0,46.0,48.0,93.0,28.0,53.0,343.0,242.0,147.0,59.0,50.0,10.0,9.0,8.0,10.0,7.0,,25.0,,7.0,108.0,81.0,17.9,27.2,26.1,39.2,10.1,18.3,15.0,26.9,17.2,26.9,26.1,39.0,11.1,19.0,16.9,28.3,42.1,40.9,55.5,57.7,37.7,40.8,50.5,55.3,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2020/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2020,COFFEE C - ICE FUTURES U.S.,201221,2020-12-21,083731,ICUS,1,83,256417,88410,152434,46099,27148,4793,37332,18740,23913,22034,1851,21300,243881,250179,12536,6238,219439,71049,125107,40629,25410,2496,37236,21777,20157,22635,4955,13943,208145,213845,11294,5594,36978,17361,27327,6721,2989,1046,3610,477,242,5296,2793,1460,35736,36334,1242,644,1164.0,-1077.0,1645.0,40.0,122.0,-611.0,1590.0,-402.0,-21.0,666.0,-12.0,853.0,1440.0,1574.0,-276.0,-410.0,100,34.5,59.4,18.0,10.6,1.9,14.6,7.3,9.3,8.6,0.7,8.3,95.1,97.6,4.9,2.4,100,32.4,57.0,18.5,11.6,1.1,17.0,9.9,9.2,10.3,2.3,6.4,94.9,97.5,5.1,2.5,100,46.9,73.9,18.2,8.1,2.8,9.8,1.3,0.7,14.3,7.6,3.9,96.6,98.3,3.4,1.7,395,100.0,89.0,25.0,14.0,18.0,65.0,41.0,50.0,93.0,20.0,50.0,338,245,394.0,96.0,86.0,25.0,14.0,14.0,65.0,44.0,46.0,87.0,27.0,48.0,329.0,236.0,143.0,58.0,50.0,10.0,9.0,8.0,9.0,6.0,,23.0,4.0,6.0,105.0,80.0,19.2,28.4,27.3,40.5,10.2,18.4,15.1,27.1,17.9,28.3,27.0,40.4,11.2,19.3,16.9,28.4,43.2,41.2,57.0,58.8,39.4,41.1,52.5,56.3,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2020/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2020,COFFEE C - ICE FUTURES U.S.,201215,2020-12-15,083731,ICUS,1,83,255253,89487,150789,46059,27026,5404,35742,19142,23934,21368,1863,20447,242441,248605,12812,6648,218170,72116,123294,40248,25094,3318,35897,22327,19831,21796,4982,13209,206415,212055,11755,6115,37083,17371,27495,6906,3027,991,3676,646,272,5304,2613,1506,36026,36550,1057,533,-1265.0,-2631.0,-2074.0,-1282.0,1697.0,-490.0,1693.0,-2659.0,-129.0,216.0,-18.0,2203.0,-420.0,-1470.0,-845.0,205.0,100,35.1,59.1,18.0,10.6,2.1,14.0,7.5,9.4,8.4,0.7,8.0,95.0,97.4,5.0,2.6,100,33.1,56.5,18.4,11.5,1.5,16.5,10.2,9.1,10.0,2.3,6.1,94.6,97.2,5.4,2.8,100,46.8,74.1,18.6,8.2,2.7,9.9,1.7,0.7,14.3,7.0,4.1,97.1,98.6,2.9,1.4,405,102.0,93.0,25.0,14.0,18.0,64.0,46.0,51.0,96.0,23.0,53.0,349,251,403.0,97.0,90.0,25.0,14.0,14.0,65.0,48.0,47.0,91.0,28.0,51.0,338.0,242.0,144.0,59.0,50.0,10.0,9.0,8.0,10.0,5.0,,22.0,5.0,6.0,106.0,80.0,19.3,28.3,27.6,40.3,10.3,18.2,15.3,26.8,18.1,28.0,27.4,40.0,11.0,19.2,16.9,27.9,43.0,41.7,56.6,59.5,39.8,41.7,52.8,57.0,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2020/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2020,COFFEE C - ICE FUTURES U.S.,201208,2020-12-08,083731,ICUS,1,83,256518,92118,152863,47341,25329,5894,34049,21801,24063,21152,1881,18244,242861,250075,13657,6443,219884,74958,125716,41037,23438,3901,34170,24785,20113,21683,4609,11494,207356,214056,12528,5828,36634,17160,27147,7268,2855,1029,3608,745,221,4751,2554,1468,35505,36019,1129,615,-4422.0,-1568.0,-3025.0,-1323.0,-400.0,-1222.0,-1836.0,-971.0,1032.0,10.0,-109.0,170.0,-4737.0,-4525.0,315.0,103.0,100,35.9,59.6,18.5,9.9,2.3,13.3,8.5,9.4,8.2,0.7,7.1,94.7,97.5,5.3,2.5,100,34.1,57.2,18.7,10.7,1.8,15.5,11.3,9.1,9.9,2.1,5.2,94.3,97.3,5.7,2.7,100,46.8,74.1,19.8,7.8,2.8,9.8,2.0,0.6,13.0,7.0,4.0,96.9,98.3,3.1,1.7,396,103.0,93.0,25.0,13.0,18.0,57.0,47.0,49.0,100.0,22.0,42.0,338,242,394.0,98.0,88.0,25.0,13.0,14.0,58.0,49.0,46.0,95.0,26.0,40.0,328.0,231.0,145.0,60.0,47.0,9.0,8.0,8.0,9.0,6.0,,25.0,5.0,7.0,109.0,76.0,20.4,27.8,28.9,39.1,10.5,17.5,15.4,26.2,19.8,27.1,29.2,38.8,11.4,18.4,17.5,27.3,43.2,41.9,56.7,59.9,40.4,41.8,53.6,57.3,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2020/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2020,COFFEE C - ICE FUTURES U.S.,201201,2020-12-01,083731,ICUS,1,83,260940,93686,155888,48664,25729,7116,35885,22772,23031,21142,1990,18074,247598,254600,13342,6340,225082,76602,128900,42299,23571,5383,35980,25669,19441,21493,4795,11569,212767,219328,12315,5754,35858,17084,26988,7032,2825,1066,3376,574,119,4681,2227,1473,34831,35272,1027,586,7372.0,-544.0,2520.0,1428.0,126.0,1091.0,-1173.0,294.0,3846.0,2491.0,-625.0,24.0,7163.0,7276.0,209.0,96.0,100,35.9,59.7,18.6,9.9,2.7,13.8,8.7,8.8,8.1,0.8,6.9,94.9,97.6,5.1,2.4,100,34.0,57.3,18.8,10.5,2.4,16.0,11.4,8.6,9.5,2.1,5.1,94.5,97.4,5.5,2.6,100,47.6,75.3,19.6,7.9,3.0,9.4,1.6,0.3,13.1,6.2,4.1,97.1,98.4,2.9,1.6,407,104.0,90.0,25.0,14.0,17.0,63.0,49.0,54.0,103.0,23.0,44.0,348,249,405.0,99.0,84.0,25.0,14.0,14.0,64.0,51.0,51.0,98.0,27.0,42.0,338.0,238.0,146.0,57.0,49.0,10.0,9.0,8.0,9.0,6.0,,22.0,7.0,7.0,106.0,80.0,20.4,28.0,28.7,39.2,10.7,17.3,15.8,26.1,19.6,27.2,28.3,38.5,11.4,18.3,17.5,27.0,43.7,42.0,56.7,60.4,41.0,41.8,53.6,57.6,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2020/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2020,COFFEE C - ICE FUTURES U.S.,201124,2020-11-24,083731,ICUS,1,83,253568,94230,153368,47236,25603,6025,37058,22478,19185,18651,2615,18050,240435,247324,13133,6244,218789,77406,126627,41608,23463,4363,37062,24806,16172,18190,5850,11789,206590,213070,12199,5719,34779,16824,26741,6191,2703,1099,2894,570,115,5240,1544,1482,33845,34254,934,525,-2404.0,-4759.0,2108.0,-1597.0,-639.0,-80.0,2656.0,-4507.0,2883.0,-267.0,-813.0,-1139.0,-2303.0,-2187.0,-101.0,-217.0,100,37.2,60.5,18.6,10.1,2.4,14.6,8.9,7.6,7.4,1.0,7.1,94.8,97.5,5.2,2.5,100,35.4,57.9,19.0,10.7,2.0,16.9,11.3,7.4,8.3,2.7,5.4,94.4,97.4,5.6,2.6,100,48.4,76.9,17.8,7.8,3.2,8.3,1.6,0.3,15.1,4.4,4.3,97.3,98.5,2.7,1.5,390,101.0,87.0,24.0,15.0,15.0,59.0,49.0,48.0,90.0,23.0,42.0,328,237,388.0,98.0,82.0,24.0,15.0,14.0,59.0,50.0,45.0,85.0,28.0,38.0,318.0,229.0,137.0,57.0,48.0,10.0,8.0,7.0,7.0,4.0,,22.0,4.0,7.0,101.0,74.0,20.2,28.1,28.1,39.7,10.5,17.4,16.0,26.6,19.6,27.1,28.0,38.6,11.6,18.6,17.9,27.3,42.5,42.7,55.8,60.4,40.1,42.1,52.9,57.3,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2020/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2020,COFFEE C - ICE FUTURES U.S.,201117,2020-11-17,083731,ICUS,1,83,255972,98989,151260,48833,26242,6105,34402,26985,16302,18918,3428,19189,242738,249511,13234,6461,221516,81908,124770,43188,23915,4416,34619,29224,13239,18653,6768,13196,209219,215528,12297,5988,34456,17081,26490,6175,2857,1159,2782,760,64,4780,1175,1478,33519,33983,937,473,-26380.0,-3003.0,-692.0,2551.0,-1184.0,-2602.0,-534.0,-8304.0,-7153.0,-8112.0,757.0,-4272.0,-23125.0,-23450.0,-3255.0,-2930.0,100,38.7,59.1,19.1,10.3,2.4,13.4,10.5,6.4,7.4,1.3,7.5,94.8,97.5,5.2,2.5,100,37.0,56.3,19.5,10.8,2.0,15.6,13.2,6.0,8.4,3.1,6.0,94.4,97.3,5.6,2.7,100,49.6,76.9,17.9,8.3,3.4,8.1,2.2,0.2,13.9,3.4,4.3,97.3,98.6,2.7,1.4,398,104.0,92.0,23.0,16.0,15.0,70.0,41.0,52.0,78.0,32.0,41.0,337,243,396.0,98.0,89.0,23.0,16.0,14.0,70.0,44.0,47.0,75.0,34.0,38.0,323.0,237.0,138.0,58.0,48.0,10.0,9.0,7.0,9.0,4.0,,20.0,5.0,6.0,104.0,73.0,21.0,26.6,29.1,38.5,11.3,17.1,17.5,24.8,19.9,26.0,29.1,37.2,12.3,17.1,19.8,25.7,42.7,42.5,55.9,59.9,40.4,41.9,53.4,56.9,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2020/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2020,COFFEE C - ICE FUTURES U.S.,201110,2020-11-10,083731,ICUS,1,83,282352,101992,151952,46282,27426,8707,34936,35289,23455,27030,2671,23461,265863,272961,16489,9391,248488,85054,126453,42430,25754,6755,35674,38223,19197,25733,5206,18009,232852,239597,15636,8891,33864,16938,25499,4656,2476,1148,3486,1290,34,4750,918,1999,33011,33364,853,500,-3280.0,1727.0,3717.0,2706.0,-2442.0,-1382.0,174.0,3978.0,-5535.0,23.0,234.0,-1323.0,-3610.0,-2753.0,330.0,-527.0,100,36.1,53.8,16.4,9.7,3.1,12.4,12.5,8.3,9.6,0.9,8.3,94.2,96.7,5.8,3.3,100,34.2,50.9,17.1,10.4,2.7,14.4,15.4,7.7,10.4,2.1,7.2,93.7,96.4,6.3,3.6,100,50.0,75.3,13.7,7.3,3.4,10.3,3.8,0.1,14.0,2.7,5.9,97.5,98.5,2.5,1.5,394,105.0,90.0,24.0,17.0,17.0,55.0,57.0,54.0,78.0,28.0,48.0,332,257,392.0,100.0,89.0,24.0,17.0,16.0,55.0,59.0,51.0,75.0,30.0,46.0,322.0,253.0,138.0,59.0,46.0,11.0,7.0,7.0,7.0,7.0,,18.0,6.0,7.0,103.0,74.0,19.2,22.8,28.6,34.6,10.4,15.2,17.1,22.6,18.5,21.6,28.7,32.8,11.6,13.5,19.1,21.3,42.1,43.1,54.3,61.6,40.7,42.6,52.6,56.4,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2020/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2020,COFFEE C - ICE FUTURES U.S.,201103,2020-11-03,083731,ICUS,1,83,285632,100265,148235,43576,29868,10089,34762,31311,28990,27007,2437,24784,269473,275714,16159,9918,253063,84422,123153,39851,29166,8138,35914,34184,24338,25706,5304,19301,237670,243584,15393,9479,32569,15843,25082,4544,1521,1132,3479,1758,21,4892,724,1892,31803,32130,766,439,9148.0,6111.0,-694.0,335.0,218.0,1536.0,-2305.0,4850.0,675.0,-502.0,-257.0,2655.0,8505.0,8983.0,643.0,165.0,100,35.1,51.9,15.3,10.5,3.5,12.2,11.0,10.1,9.5,0.9,8.7,94.3,96.5,5.7,3.5,100,33.4,48.7,15.7,11.5,3.2,14.2,13.5,9.6,10.2,2.1,7.6,93.9,96.3,6.1,3.7,100,48.6,77.0,14.0,4.7,3.5,10.7,5.4,0.1,15.0,2.2,5.8,97.6,98.7,2.4,1.3,398,108.0,88.0,25.0,15.0,16.0,56.0,57.0,56.0,84.0,24.0,49.0,339,256,396.0,106.0,86.0,24.0,16.0,16.0,56.0,59.0,53.0,80.0,28.0,47.0,332.0,252.0,137.0,60.0,45.0,10.0,7.0,6.0,8.0,,,20.0,7.0,10.0,109.0,70.0,18.5,22.0,27.2,33.7,10.2,15.1,16.6,22.3,17.8,20.7,27.4,31.7,11.2,12.9,18.4,20.7,41.3,44.7,53.9,61.1,40.1,44.2,52.2,58.2,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2020/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2020,COFFEE C - ICE FUTURES U.S.,201027,2020-10-27,083731,ICUS,1,83,276484,94154,148929,43241,29650,8553,37067,26461,28315,27509,2694,22129,260968,266731,15516,9753,243776,78245,124024,39502,28977,6561,38742,29339,23082,26054,5677,16811,228997,234471,14779,9305,32708,15909,24905,4602,1536,1129,3537,2334,21,4971,533,1802,31971,32260,737,448,2857.0,3983.0,-732.0,1299.0,1034.0,141.0,-4571.0,3363.0,89.0,2736.0,89.0,-1247.0,2430.0,2737.0,427.0,120.0,100,34.1,53.9,15.6,10.7,3.1,13.4,9.6,10.2,9.9,1.0,8.0,94.4,96.5,5.6,3.5,100,32.1,50.9,16.2,11.9,2.7,15.9,12.0,9.5,10.7,2.3,6.9,93.9,96.2,6.1,3.8,100,48.6,76.1,14.1,4.7,3.5,10.8,7.1,0.1,15.2,1.6,5.5,97.7,98.6,2.3,1.4,398,106.0,92.0,25.0,16.0,15.0,61.0,51.0,56.0,80.0,27.0,48.0,336,259,396.0,103.0,89.0,24.0,17.0,15.0,60.0,54.0,53.0,78.0,29.0,44.0,327.0,253.0,136.0,60.0,45.0,10.0,8.0,6.0,8.0,4.0,,18.0,6.0,10.0,106.0,72.0,18.4,22.5,27.6,34.4,10.3,15.7,16.5,23.2,17.7,21.3,27.8,32.4,11.4,13.9,18.3,22.1,41.7,44.6,54.8,61.9,40.6,44.1,53.0,59.7,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
