source_file,source_dataset,source_archive,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2019/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2019,COFFEE C - ICE FUTURES U.S.,191231,2019-12-31,083731,ICUS,1,83,277161,77581,162625,46459,10650,5129,57403,15813,45305,13674,8949,21057,266608,269528,10553,7633,232627,52713,127694,45542,9539,3021,55266,19194,41791,14193,13763,10677,223203,225679,9424,6948,44534,24868,34931,2365,2559,660,5609,91,42,6191,1896,3670,43405,43849,1129,685,562.0,785.0,687.0,464.0,-167.0,158.0,-765.0,1209.0,65.0,465.0,-827.0,-368.0,804.0,757.0,-242.0,-195.0,100,28.0,58.7,16.8,3.8,1.9,20.7,5.7,16.3,4.9,3.2,7.6,96.2,97.2,3.8,2.8,100,22.7,54.9,19.6,4.1,1.3,23.8,8.3,18.0,6.1,5.9,4.6,95.9,97.0,4.1,3.0,100,55.8,78.4,5.3,5.7,1.5,12.6,0.2,0.1,13.9,4.3,8.2,97.5,98.5,2.5,1.5,410,103.0,103.0,22.0,9.0,14.0,86.0,42.0,72.0,59.0,43.0,52.0,344,284,409.0,99.0,102.0,22.0,9.0,13.0,84.0,47.0,67.0,62.0,46.0,44.0,329.0,279.0,169.0,64.0,58.0,9.0,11.0,5.0,20.0,,,24.0,13.0,12.0,125.0,95.0,14.0,21.7,22.1,34.5,8.8,13.8,15.5,22.8,11.8,23.7,21.2,34.7,10.1,17.0,18.1,25.9,38.2,35.3,52.3,49.5,29.1,32.3,37.1,42.3,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2019/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2019,COFFEE C - ICE FUTURES U.S.,191224,2019-12-24,083731,ICUS,1,83,276599,76796,161938,45995,10817,4971,58168,14604,45240,13209,9776,21425,265804,268771,10795,7828,232267,51797,127169,45038,9697,2845,55952,17722,41992,13855,14578,11193,222672,225196,9595,7071,44332,24999,34769,2429,2592,654,5429,95,35,6005,1849,3581,43132,43575,1200,757,2756.0,497.0,1546.0,97.0,1369.0,-991.0,3264.0,-1555.0,843.0,-1704.0,979.0,549.0,2555.0,2740.0,201.0,16.0,100,27.8,58.5,16.6,3.9,1.8,21.0,5.3,16.4,4.8,3.5,7.7,96.1,97.2,3.9,2.8,100,22.3,54.8,19.4,4.2,1.2,24.1,7.6,18.1,6.0,6.3,4.8,95.9,97.0,4.1,3.0,100,56.4,78.4,5.5,5.8,1.5,12.2,0.2,0.1,13.5,4.2,8.1,97.3,98.3,2.7,1.7,406,104.0,103.0,22.0,8.0,14.0,85.0,43.0,70.0,54.0,45.0,51.0,338,284,405.0,98.0,102.0,22.0,8.0,13.0,83.0,48.0,66.0,56.0,49.0,43.0,322.0,279.0,168.0,66.0,58.0,9.0,10.0,5.0,19.0,,,24.0,14.0,12.0,126.0,94.0,14.0,21.7,22.1,34.6,8.9,14.2,15.6,23.2,11.9,23.7,21.4,34.9,10.2,17.2,18.1,26.1,37.9,34.9,51.4,49.9,27.9,32.3,35.9,42.4,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2019/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2019,COFFEE C - ICE FUTURES U.S.,191217,2019-12-17,083731,ICUS,1,83,273843,76299,160392,45898,9448,5962,54904,16159,44397,14913,8797,20876,263249,266031,10594,7812,230512,50894,126642,44697,8536,3589,52983,17629,42569,15721,13680,10738,221191,223383,9321,7129,43331,25405,33750,2615,2326,959,3644,253,105,5961,1886,3369,42058,42648,1273,683,-9744.0,-2891.0,2908.0,-1198.0,1170.0,-1009.0,3155.0,-5207.0,-1543.0,-3684.0,-2854.0,-2218.0,-9388.0,-8753.0,-356.0,-991.0,100,27.9,58.6,16.8,3.5,2.2,20.0,5.9,16.2,5.4,3.2,7.6,96.1,97.1,3.9,2.9,100,22.1,54.9,19.4,3.7,1.6,23.0,7.6,18.5,6.8,5.9,4.7,96.0,96.9,4.0,3.1,100,58.6,77.9,6.0,5.4,2.2,8.4,0.6,0.2,13.8,4.4,7.8,97.1,98.4,2.9,1.6,414,106.0,98.0,22.0,7.0,15.0,90.0,37.0,66.0,70.0,40.0,52.0,358,268,413.0,99.0,97.0,22.0,7.0,13.0,88.0,41.0,63.0,71.0,44.0,44.0,341.0,263.0,167.0,69.0,57.0,9.0,9.0,6.0,15.0,,,24.0,14.0,12.0,127.0,94.0,13.4,21.9,21.2,34.6,9.2,14.9,15.4,23.8,12.5,23.8,20.7,35.0,10.3,18.4,17.8,27.3,37.1,33.3,49.6,47.5,25.3,30.7,33.0,41.1,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2019/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2019,COFFEE C - ICE FUTURES U.S.,191210,2019-12-10,083731,ICUS,1,83,283587,79190,157484,47096,8278,6971,51749,21366,45940,18597,11651,23094,272637,274784,10950,8803,242339,54717,126421,46749,7569,3654,50699,21761,44901,18524,16467,13395,232639,234168,9700,8171,41248,24473,31063,2806,3168,858,2069,624,20,6748,1859,3024,39998,40616,1250,632,-287.0,-7745.0,6852.0,-537.0,-172.0,-1581.0,6751.0,-9355.0,-515.0,3198.0,3574.0,863.0,434.0,-334.0,-721.0,47.0,100,27.9,55.5,16.6,2.9,2.5,18.2,7.5,16.2,6.6,4.1,8.1,96.1,96.9,3.9,3.1,100,22.6,52.2,19.3,3.1,1.5,20.9,9.0,18.5,7.6,6.8,5.5,96.0,96.6,4.0,3.4,100,59.3,75.3,6.8,7.7,2.1,5.0,1.5,0.0,16.4,4.5,7.3,97.0,98.5,3.0,1.5,430,103.0,101.0,23.0,7.0,15.0,81.0,41.0,69.0,78.0,48.0,51.0,354,288,429.0,98.0,100.0,22.0,8.0,13.0,81.0,45.0,65.0,77.0,55.0,45.0,341.0,282.0,168.0,69.0,60.0,10.0,9.0,6.0,12.0,4.0,,21.0,17.0,14.0,124.0,101.0,13.3,21.5,21.1,33.2,9.2,13.9,15.6,22.5,12.6,23.0,20.9,33.9,10.3,17.1,17.8,25.6,36.9,32.1,51.2,46.4,26.3,29.2,34.0,40.8,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2019/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2019,COFFEE C - ICE FUTURES U.S.,191203,2019-12-03,083731,ICUS,1,83,283874,86935,150632,47633,8450,8552,44998,30721,46455,15399,8077,22231,272203,275118,11671,8756,244496,61785,122345,47630,7679,5485,45753,31321,44516,16061,12096,12811,234041,236253,10455,8243,39378,25150,28287,2446,3214,624,1036,1191,148,5549,2192,3209,38162,38865,1216,513,8886.0,2616.0,11020.0,1757.0,2014.0,-518.0,7184.0,-3984.0,-1419.0,-382.0,1398.0,-857.0,8381.0,7654.0,505.0,1232.0,100,30.6,53.1,16.8,3.0,3.0,15.9,10.8,16.4,5.4,2.8,7.8,95.9,96.9,4.1,3.1,100,25.3,50.0,19.5,3.1,2.2,18.7,12.8,18.2,6.6,4.9,5.2,95.7,96.6,4.3,3.4,100,63.9,71.8,6.2,8.2,1.6,2.6,3.0,0.4,14.1,5.6,8.1,96.9,98.7,3.1,1.3,412,100.0,95.0,23.0,8.0,13.0,72.0,45.0,67.0,72.0,46.0,56.0,342,280,411.0,94.0,94.0,24.0,7.0,11.0,72.0,47.0,61.0,70.0,53.0,49.0,327.0,272.0,159.0,68.0,54.0,10.0,9.0,4.0,9.0,4.0,,22.0,14.0,14.0,117.0,95.0,14.8,22.3,23.3,33.1,9.2,12.4,15.2,20.3,14.0,24.1,23.3,34.2,10.2,15.9,17.3,24.2,40.6,31.0,55.6,45.7,31.6,29.6,39.5,42.0,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2019/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2019,COFFEE C - ICE FUTURES U.S.,191126,2019-11-26,083731,ICUS,1,83,274988,84319,139612,45876,6436,9070,37814,34705,47874,15781,6679,23088,263822,267464,11166,7524,240747,62089,116356,45782,5202,6609,38804,35008,46259,16317,9552,14739,230599,233725,10148,7022,34241,22230,23256,2044,3184,511,605,1292,20,4594,2257,3219,33223,33739,1018,502,4339.0,-2635.0,12292.0,1619.0,-650.0,1640.0,183.0,-13184.0,5507.0,1081.0,1175.0,4131.0,11526.0,10911.0,-7187.0,-6572.0,100,30.7,50.8,16.7,2.3,3.3,13.8,12.6,17.4,5.7,2.4,8.4,95.9,97.3,4.1,2.7,100,25.8,48.3,19.0,2.2,2.7,16.1,14.5,19.2,6.8,4.0,6.1,95.8,97.1,4.2,2.9,100,64.9,67.9,6.0,9.3,1.5,1.8,3.8,0.1,13.4,6.6,9.4,97.0,98.5,3.0,1.5,406,103.0,95.0,23.0,8.0,13.0,59.0,56.0,66.0,80.0,36.0,53.0,334,279,405.0,98.0,94.0,24.0,7.0,11.0,61.0,55.0,62.0,75.0,45.0,49.0,325.0,271.0,154.0,71.0,52.0,9.0,8.0,4.0,7.0,4.0,,22.0,13.0,13.0,116.0,90.0,16.1,21.6,24.7,32.0,9.0,12.0,14.8,19.6,15.2,23.1,24.8,33.2,9.9,15.7,16.8,23.8,41.5,27.4,56.8,44.1,33.4,25.8,42.4,39.5,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2019/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2019,COFFEE C - ICE FUTURES U.S.,191119,2019-11-19,083731,ICUS,1,83,270649,86954,127320,44257,7086,7430,37631,47889,42367,14700,5504,18957,252296,256553,18353,14096,239780,66307,106244,43635,5063,5623,37669,47408,41813,15246,7439,13227,223520,226817,16260,12963,30869,20647,21076,1950,3351,479,516,1035,0,3483,2094,1701,28776,29736,2093,1133,-25801.0,-20666.0,-22107.0,-588.0,2559.0,-1509.0,-179.0,-2532.0,-272.0,-259.0,395.0,-166.0,-23639.0,-23632.0,-2162.0,-2169.0,100,32.1,47.0,16.4,2.6,2.7,13.9,17.7,15.7,5.4,2.0,7.0,93.2,94.8,6.8,5.2,100,27.7,44.3,18.2,2.1,2.3,15.7,19.8,17.4,6.4,3.1,5.5,93.2,94.6,6.8,5.4,100,66.9,68.3,6.3,10.9,1.6,1.7,3.4,0.0,11.3,6.8,5.5,93.2,96.3,6.8,3.7,401,104.0,89.0,24.0,8.0,14.0,58.0,65.0,62.0,70.0,35.0,50.0,318,282,401.0,101.0,88.0,25.0,7.0,12.0,59.0,66.0,60.0,67.0,41.0,47.0,312.0,277.0,148.0,69.0,49.0,9.0,8.0,4.0,8.0,6.0,0.0,19.0,11.0,10.0,110.0,84.0,16.5,20.5,24.4,30.7,9.3,11.1,15.0,18.0,15.6,21.5,24.4,31.6,10.4,14.1,16.8,21.3,42.3,27.6,55.5,47.0,33.7,26.4,42.7,43.0,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2019/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2019,COFFEE C - ICE FUTURES U.S.,191112,2019-11-12,083731,ICUS,1,83,296450,107620,149427,44845,4527,8939,37810,50421,42639,14959,5109,19123,275935,280185,20515,16265,267111,86791,129456,44345,2277,7499,37769,49890,41818,16136,6220,14593,248951,251753,18160,15358,29339,20829,19971,1529,3279,411,744,1234,118,1957,2023,1396,26984,28432,2355,907,-14515.0,-1374.0,13118.0,-3050.0,732.0,-2484.0,4774.0,-24300.0,-4408.0,-7875.0,749.0,546.0,-13871.0,-16047.0,-644.0,1532.0,100,36.3,50.4,15.1,1.5,3.0,12.8,17.0,14.4,5.0,1.7,6.5,93.1,94.5,6.9,5.5,100,32.5,48.5,16.6,0.9,2.8,14.1,18.7,15.7,6.0,2.3,5.5,93.2,94.3,6.8,5.7,100,71.0,68.1,5.2,11.2,1.4,2.5,4.2,0.4,6.7,6.9,4.8,92.0,96.9,8.0,3.1,419,106.0,92.0,25.0,7.0,13.0,63.0,70.0,64.0,72.0,39.0,61.0,343,294,419.0,105.0,89.0,25.0,7.0,11.0,62.0,72.0,60.0,72.0,43.0,59.0,337.0,288.0,145.0,67.0,49.0,8.0,8.0,,12.0,4.0,,18.0,10.0,12.0,111.0,83.0,17.2,21.7,25.8,31.3,8.9,9.2,13.6,15.9,16.3,22.5,25.5,32.4,9.7,11.9,14.9,18.9,42.3,28.7,55.0,48.7,33.2,26.4,41.9,43.4,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2019/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2019,COFFEE C - ICE FUTURES U.S.,191105,2019-11-05,083731,ICUS,1,83,310965,108994,136309,47895,3795,11423,33036,74721,47047,22834,4360,18577,289806,296232,21159,14733,283714,90656,118070,47437,2282,9953,33136,74158,46037,23550,4778,15053,265822,270331,17892,13383,27251,18338,18239,1500,2555,428,793,1456,117,1632,1930,1176,23984,25901,3267,1350,83.0,2345.0,14538.0,731.0,-77.0,-27.0,2216.0,-16451.0,3592.0,-4009.0,101.0,-421.0,4427.0,1255.0,-4344.0,-1172.0,100,35.1,43.8,15.4,1.2,3.7,10.6,24.0,15.1,7.3,1.4,6.0,93.2,95.3,6.8,4.7,100,32.0,41.6,16.7,0.8,3.5,11.7,26.1,16.2,8.3,1.7,5.3,93.7,95.3,6.3,4.7,100,67.3,66.9,5.5,9.4,1.6,2.9,5.3,0.4,6.0,7.1,4.3,88.0,95.0,12.0,5.0,433,107.0,93.0,24.0,9.0,15.0,60.0,82.0,62.0,80.0,29.0,59.0,350,298,431.0,106.0,90.0,25.0,8.0,14.0,61.0,83.0,57.0,81.0,31.0,56.0,344.0,290.0,141.0,67.0,45.0,10.0,6.0,,9.0,5.0,,17.0,11.0,12.0,107.0,79.0,15.2,20.6,24.7,31.1,9.3,11.5,14.1,17.4,14.7,21.4,24.0,32.1,9.9,13.5,15.3,19.8,39.6,29.4,51.2,49.2,31.8,28.7,39.7,45.2,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
raw_cot_data/disaggregated_futures_only/fut_disagg_xls_2019/f_year.xls,disaggregated_futures_only,fut_disagg_xls_2019,COFFEE C - ICE FUTURES U.S.,191029,2019-10-29,083731,ICUS,1,83,310882,106649,121771,47164,3872,11450,30820,91172,43455,26843,4259,18998,285379,294977,25503,15905,284416,88492,103943,46000,1602,10702,30704,90543,42520,27375,5006,15319,261112,269635,23304,14781,26466,18157,17828,1491,2597,421,955,1468,96,1915,1700,1232,24267,25342,2199,1124,-1713.0,-1994.0,2527.0,570.0,98.0,279.0,1664.0,-4292.0,-3237.0,-2052.0,-93.0,-428.0,-5198.0,-5146.0,3485.0,3433.0,100,34.3,39.2,15.2,1.2,3.7,9.9,29.3,14.0,8.6,1.4,6.1,91.8,94.9,8.2,5.1,100,31.1,36.5,16.2,0.6,3.8,10.8,31.8,14.9,9.6,1.8,5.4,91.8,94.8,8.2,5.2,100,68.6,67.4,5.6,9.8,1.6,3.6,5.5,0.4,7.2,6.4,4.7,91.7,95.8,8.3,4.2,446,108.0,88.0,25.0,9.0,15.0,60.0,86.0,63.0,93.0,28.0,56.0,358,298,445.0,107.0,82.0,25.0,9.0,13.0,62.0,87.0,58.0,93.0,31.0,54.0,354.0,286.0,140.0,67.0,46.0,10.0,6.0,,8.0,6.0,,16.0,11.0,12.0,106.0,80.0,13.9,18.9,24.0,28.9,9.4,12.3,14.0,18.8,12.9,19.5,23.1,29.8,10.0,14.1,15.3,21.5,41.1,30.4,53.3,49.4,32.9,30.0,41.8,45.5,"(CONTRACTS OF 37,500 POUNDS)",A50,FutOnly
