GLOBALEVENTID,SQLDATE,event_date,trading_date,event_to_trade_lag_days,Year,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor2Geo_FullName,Actor2Geo_CountryCode,ActionGeo_FullName,ActionGeo_CountryCode,DATEADDED,keyword_relevant,coffee_country_relevant,coffee_country_name_relevant,coffee_region_relevant,primary_country,relevance_mode,event_summary,impact_direction,impact_bucket,relevance_score_0_1,event_intensity_score_0_1,price_response_score_0_1,direction_alignment_score_0_1,rule_impact_score_0_1,final_impact_score_0_1,Close,Volume,return_1d,future_return_1d,future_return_5d,future_return_10d,future_return_20d,realized_vol_20d,Open_Interest_All,managed_money_net,commercial_net,noncommercial_net,managed_money_weekly_net_change,commercial_weekly_net_change,noncommercial_weekly_net_change,open_interest_change_pct,source_archive,source_url
1281761238,20260101,2026-01-01,2026-01-02,1,2026,USAMED,REUTERS,USA,MED,CHN,CHINA,CHN,,0,046,046,04,1,7.0,6,2,6,-0.563648238066845,"Beijing, Beijing, China",CH,"Beijing, Beijing, China",CH,"Sao Paulo, SãPaulo, Brazil",BR,20260101,False,True,True,True,BR,strict,"REUTERS -> CHINA; event code 046; Goldstein 7.0; tone -0.563648238066845; Sao Paulo, SãPaulo, Brazil",bearish,moderate,0.65,0.44050183955631417,0.37158527952995857,0.0,0.45676431976190385,0.45676431976190385,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281804534,20260101,2026-01-01,2026-01-02,1,2026,,,,,MEX,MEXICO,MEX,,0,042,042,04,1,1.9,10,1,10,-4.337899543379,,,"Saltillo, Coahuila de Zaragoza, Mexico",MX,"Saltillo, Coahuila de Zaragoza, Mexico",MX,20260101,False,True,True,True,MX,strict,"Unknown actor -> MEXICO; event code 042; Goldstein 1.9; tone -4.337899543379; Saltillo, Coahuila de Zaragoza, Mexico",bearish,moderate,0.65,0.43328131941673587,0.37158527952995857,0.0,0.455031394928405,0.455031394928405,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281740382,20260101,2026-01-01,2026-01-02,1,2026,BRA,BRAZIL,BRA,,,,,,1,043,043,04,1,2.8,8,1,8,-4.32098765432099,"Mandaguari, Minas Gerais, Brazil",BR,,,"Birigui, SãPaulo, Brazil",BR,20260101,False,True,True,True,BR,strict,"BRAZIL -> unknown target; event code 043; Goldstein 2.8; tone -4.32098765432099; Birigui, SãPaulo, Brazil",bearish,moderate,0.65,0.42710847339695573,0.37158527952995857,0.0,0.4535499118836578,0.4535499118836578,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281817536,20260101,2026-01-01,2026-01-02,1,2026,COL,COLOMBIA,COL,,,,,,1,051,051,05,1,3.4,4,1,4,6.74846625766871,"Fidel Castro, Antioquia, Colombia",CO,,,"Fidel Castro, Antioquia, Colombia",CO,20260101,False,True,True,True,CO,strict,"COLOMBIA -> unknown target; event code 051; Goldstein 3.4; tone 6.74846625766871; Fidel Castro, Antioquia, Colombia",bearish,moderate,0.65,0.4095871233935698,0.37158527952995857,0.0,0.44934478788284515,0.44934478788284515,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281817578,20260101,2026-01-01,2026-01-02,1,2026,CUBELI,FIDEL CASTRO,CUB,ELI,COL,COLOMBIA,COL,,1,051,051,05,1,3.4,4,1,4,6.74846625766871,"Fidel Castro, Antioquia, Colombia",CO,"Fidel Castro, Antioquia, Colombia",CO,"Fidel Castro, Antioquia, Colombia",CO,20260101,False,True,True,True,CO,strict,"FIDEL CASTRO -> COLOMBIA; event code 051; Goldstein 3.4; tone 6.74846625766871; Fidel Castro, Antioquia, Colombia",bearish,moderate,0.65,0.4095871233935698,0.37158527952995857,0.0,0.44934478788284515,0.44934478788284515,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281760743,20260101,2026-01-01,2026-01-02,1,2026,BRA,BRAZILIAN,BRA,,CHN,CHINA,CHN,,0,014,014,01,1,0.0,12,2,12,-0.563648238066845,"Sao Paulo, SãPaulo, Brazil",BR,"Beijing, Beijing, China",CH,"Sao Paulo, SãPaulo, Brazil",BR,20260101,False,True,True,True,BR,strict,"BRAZILIAN -> CHINA; event code 014; Goldstein 0.0; tone -0.563648238066845; Sao Paulo, SãPaulo, Brazil",bearish,moderate,0.65,0.4042019583373063,0.37158527952995857,0.0,0.4480523482693419,0.4480523482693419,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281760748,20260101,2026-01-01,2026-01-02,1,2026,BRABUS,BRAZILIAN,BRA,BUS,,,,,0,012,012,01,1,-0.4,12,2,12,-0.563648238066845,"Sao Paulo, SãPaulo, Brazil",BR,,,"Beijing, Beijing, China",CH,20260101,False,True,True,True,CH,strict,"BRAZILIAN -> unknown target; event code 012; Goldstein -0.4; tone -0.563648238066845; Beijing, Beijing, China",bearish,moderate,0.65,0.4042019583373063,0.37158527952995857,0.0,0.4480523482693419,0.4480523482693419,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281760745,20260101,2026-01-01,2026-01-02,1,2026,BRA,BRAZIL,BRA,,CHN,CHINA,CHN,,0,046,046,04,1,7.0,4,2,4,-0.563648238066845,"Sao Paulo, SãPaulo, Brazil",BR,"Beijing, Beijing, China",CH,"Sao Paulo, SãPaulo, Brazil",BR,20260101,False,True,True,True,BR,strict,"BRAZIL -> CHINA; event code 046; Goldstein 7.0; tone -0.563648238066845; Sao Paulo, SãPaulo, Brazil",bearish,moderate,0.65,0.4004429168439153,0.37158527952995857,0.0,0.4471501783109281,0.4471501783109281,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281760783,20260101,2026-01-01,2026-01-02,1,2026,CHN,CHINA,CHN,,BRA,BRAZIL,BRA,,0,046,046,04,1,7.0,4,2,4,-0.563648238066845,"Beijing, Beijing, China",CH,"Sao Paulo, SãPaulo, Brazil",BR,"Sao Paulo, SãPaulo, Brazil",BR,20260101,False,True,True,True,BR,strict,"CHINA -> BRAZIL; event code 046; Goldstein 7.0; tone -0.563648238066845; Sao Paulo, SãPaulo, Brazil",bearish,moderate,0.65,0.4004429168439153,0.37158527952995857,0.0,0.4471501783109281,0.4471501783109281,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
1281740221,20260101,2026-01-01,2026-01-02,1,2026,,,,,BRA,BRAZIL,BRA,,1,042,042,04,1,1.9,6,1,6,-4.32098765432099,,,"Mandaguari, Minas Gerais, Brazil",BR,"Birigui, SãPaulo, Brazil",BR,20260101,False,True,True,True,BR,strict,"Unknown actor -> BRAZIL; event code 042; Goldstein 1.9; tone -4.32098765432099; Birigui, SãPaulo, Brazil",bearish,moderate,0.65,0.3791880693835066,0.37158527952995857,0.0,0.44204901492043,0.44204901492043,357.29998779296875,11467.0,0.024516094030017976,0.005737526953778493,0.04212151924076557,-0.0036383650640424703,0.027847782107388808,0.3355794420839567,164520.0,30403.0,-25809.0,24543.0,806.0,-808.0,870.0,0.0184901531728665,20260101.export.CSV.zip,https://data.gdeltproject.org/events/20260101.export.CSV.zip
