cot_feature,corr_with_return_5d,corr_with_return_20d,corr_with_abs_return_5d_z,corr_with_price_drift_score,missing_rate,max_abs_corr
managed_money_weekly_net_change,0.33060806474623133,0.5281213368624045,0.11697567906255256,0.15708621547049542,0.24020926756352765,0.5281213368624045
commercial_weekly_net_change,-0.35811064394144254,-0.516469317640532,-0.10884973956410687,-0.145355669827437,0.00029895366218236175,0.516469317640532
noncommercial_weekly_net_change,0.3398922645558147,0.5046496047657781,0.11359439145547098,0.15397879946268567,0.00029895366218236175,0.5046496047657781
Pct_of_OI_Comm_Long_All,-0.06384899891343662,-0.29369182334508837,-0.03145085903257385,-0.0453423523289436,0.00029895366218236175,0.29369182334508837
producer_merchant_net,-0.05584791213780207,-0.29107126031581754,-0.031171531974668234,-0.0398029359946653,0.23946188340807176,0.29107126031581754
Pct_of_OI_NonComm_Long_All,0.05853602622319228,0.28243863766074156,0.03176587515284698,0.04260237001996413,0.00029895366218236175,0.28243863766074156
commercial_net,-0.04562634934346183,-0.269101595665534,-0.02712895817314122,-0.03354227417644275,0.00029895366218236175,0.269101595665534
managed_money_net_pct_oi,0.02818849124595173,0.25443144289084596,0.03461881053289904,0.0473164206575062,0.23946188340807176,0.25443144289084596
noncommercial_net,0.039700462567687674,0.2500008510338618,0.025441780324495747,0.03217595637201704,0.00029895366218236175,0.2500008510338618
Pct_of_OI_M_Money_Long_All,0.03144759704415533,0.24406954549366683,0.03421764876554042,0.021135962416199586,0.23946188340807176,0.24406954549366683
managed_money_net,0.029985382979576796,0.24213773772010405,0.02498761353114752,0.033129496900566616,0.23946188340807176,0.24213773772010405
Pct_of_OI_M_Money_Short_All,-0.021988720122467973,-0.22079094569908606,-0.029475600858574837,-0.0546684547421044,0.23946188340807176,0.22079094569908606
Pct_of_OI_NonComm_Short_All,-0.008661326261000888,-0.2132341220509526,-0.03931550995097918,-0.07149089268783586,0.00029895366218236175,0.2132341220509526
Pct_of_OI_Comm_Short_All,0.009528041068867774,0.20686029658709823,0.03723354968138202,0.06552939299921363,0.00029895366218236175,0.20686029658709823
nonreportable_net,0.04681651850307269,0.12509017702935712,0.01027532654194465,0.005833399259816787,0.00029895366218236175,0.12509017702935712
other_reportable_net,0.05982160947642161,-0.032686181109415756,-0.03900360083994766,-0.08866736200389749,0.23946188340807176,0.08866736200389749
Open_Interest_All,0.035652233515628365,0.06765745406439644,0.023414172805172936,0.02574919660591414,0.00029895366218236175,0.06765745406439644
swap_dealer_net,-0.004326827043202948,-0.0263306213199285,0.013942687429617519,0.03273313132854166,0.23946188340807176,0.03273313132854166
