GLOBALEVENTID,SQLDATE,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor2Geo_FullName,Actor2Geo_CountryCode,ActionGeo_FullName,ActionGeo_CountryCode,DATEADDED,keyword_relevant,coffee_country_relevant,coffee_country_name_relevant,event_date,trading_date,Close,Open,High,Low,Volume,return_1d,future_close_1d,future_close_5d,future_close_10d,future_close_20d,future_return_1d,future_return_5d,future_return_10d,future_return_20d,realized_vol_20d,abs_return_5d_p95,Open_Interest_All,managed_money_net,commercial_net,noncommercial_net,managed_money_weekly_net_change,commercial_weekly_net_change,noncommercial_weekly_net_change,open_interest_change_pct,event_to_trade_lag_days,event_summary,primary_country,relevance_score_0_1,event_intensity_score_0_1,price_response_score_0_1,impact_direction,direction_alignment_score_0_1,rule_impact_score_0_1,ollama_impact_score_0_1,ollama_direction,ollama_rationale,ollama_status,final_impact_score_0_1,impact_bucket
33072860,20000717,GOV,GOVERNMENT,,GOV,MIL,ECHELON,,MIL,0,046,046,04,1,7.0,18,2,18,5.59675930062848,"Jakarta, Jakarta Raya, Indonesia",ID,"Jakarta, Jakarta Raya, Indonesia",ID,"Jakarta, Jakarta Raya, Indonesia",ID,20130203,False,True,True,2000-07-17,2000-07-17,98.6500015258789,98.5,98.6500015258789,98.5,59.0,0.10656197237688536,116.5,86.30000305175781,86.44999694824219,78.80000305175781,0.18094270854561012,-0.12519004848551685,-0.12366958326337463,-0.20121640311291666,0.7539132254353563,0.11567201622131366,47824.0,,-1394.0,-2674.0,,-1647.0,826.0,-0.0113332218133154,0,"GOVERNMENT -> ECHELON; event code 046; Goldstein 7.0; tone 5.59675930062848; Jakarta, Jakarta Raya, Indonesia",ID,0.65,0.6432675284078239,1.0,bearish,1.0,0.7813842068178778,,,,not_selected_for_ollama,0.7813842068178778,strong
33095894,20000718,VNM,VIETNAM,VNM,,RUS,RUSSIA,RUS,,0,070,070,07,2,7.0,27,2,27,7.63003104839762,"Hanoi, Ha N?i, Vietnam, Republic Of",VM,Russia,RS,Russia,RS,20130203,False,True,True,2000-07-18,2000-07-18,116.5,119.0,119.0,113.0,93.0,0.18094270854561012,111.1500015258789,85.19999694824219,86.30000305175781,78.5999984741211,-0.04592273368344291,-0.2686695540923417,-0.2592274416158128,-0.3253219015096902,0.9711101221783477,0.12438691820464909,46846.0,,-11104.0,5341.0,,-9710.0,8015.0,-0.0208769158519404,0,VIETNAM -> RUSSIA; event code 070; Goldstein 7.0; tone 7.63003104839762; Russia,RS,0.65,0.723321070372751,1.0,bearish,1.0,0.8005970568894603,,,,not_selected_for_ollama,0.8005970568894603,severe
33087551,20000718,GOV,PRESIDENT,,GOV,PERELI,ALEJANDRO TOLEDO,PER,ELI,1,070,070,07,2,7.0,17,2,17,9.17654761038772,Mexico,MX,"Alberto Fujimori, Region de La Libertad, Peru",PE,Mexico,MX,20130203,False,True,True,2000-07-18,2000-07-18,116.5,119.0,119.0,113.0,93.0,0.18094270854561012,111.1500015258789,85.19999694824219,86.30000305175781,78.5999984741211,-0.04592273368344291,-0.2686695540923417,-0.2592274416158128,-0.3253219015096902,0.9711101221783477,0.12438691820464909,46846.0,,-11104.0,5341.0,,-9710.0,8015.0,-0.0208769158519404,0,PRESIDENT -> ALEJANDRO TOLEDO; event code 070; Goldstein 7.0; tone 9.17654761038772; Mexico,MX,0.65,0.6964936584305731,1.0,bearish,1.0,0.7941584780233376,,,,not_selected_for_ollama,0.7941584780233376,strong
33090678,20000718,LEG,PARLIAMENT,,LEG,KEN,KENYA,KEN,,1,071,071,07,2,7.4,18,2,18,6.47428229665072,Kenya,KE,Kenya,KE,Kenya,KE,20130203,False,True,True,2000-07-18,2000-07-18,116.5,119.0,119.0,113.0,93.0,0.18094270854561012,111.1500015258789,85.19999694824219,86.30000305175781,78.5999984741211,-0.04592273368344291,-0.2686695540923417,-0.2592274416158128,-0.3253219015096902,0.9711101221783477,0.12438691820464909,46846.0,,-11104.0,5341.0,,-9710.0,8015.0,-0.0208769158519404,0,PARLIAMENT -> KENYA; event code 071; Goldstein 7.4; tone 6.47428229665072; Kenya,KE,0.65,0.6658929116748612,1.0,bearish,1.0,0.7868142988019667,,,,not_selected_for_ollama,0.7868142988019667,strong
33094965,20000718,TZA,TANZANIA,TZA,,BDI,BURUNDI,BDI,,1,043,043,04,1,2.8,26,4,21,8.13417372218196,"Arusha, Arusha, Tanzania",TZ,Burundi,BY,"Arusha, Arusha, Tanzania",TZ,20130203,False,True,True,2000-07-18,2000-07-18,116.5,119.0,119.0,113.0,93.0,0.18094270854561012,111.1500015258789,85.19999694824219,86.30000305175781,78.5999984741211,-0.04592273368344291,-0.2686695540923417,-0.2592274416158128,-0.3253219015096902,0.9711101221783477,0.12438691820464909,46846.0,,-11104.0,5341.0,,-9710.0,8015.0,-0.0208769158519404,0,"TANZANIA -> BURUNDI; event code 043; Goldstein 2.8; tone 8.13417372218196; Arusha, Arusha, Tanzania",TZ,0.65,0.659102384289038,1.0,bearish,1.0,0.7851845722293691,,,,not_selected_for_ollama,0.7851845722293691,strong
33091035,20000718,MEX,MEXICO,MEX,,,,,,1,036,036,03,1,4.0,18,3,18,9.02714728604129,Mexico,MX,,,Mexico,MX,20130203,False,True,True,2000-07-18,2000-07-18,116.5,119.0,119.0,113.0,93.0,0.18094270854561012,111.1500015258789,85.19999694824219,86.30000305175781,78.5999984741211,-0.04592273368344291,-0.2686695540923417,-0.2592274416158128,-0.3253219015096902,0.9711101221783477,0.12438691820464909,46846.0,,-11104.0,5341.0,,-9710.0,8015.0,-0.0208769158519404,0,MEXICO -> unknown target; event code 036; Goldstein 4.0; tone 9.02714728604129; Mexico,MX,0.65,0.656004567720994,1.0,bearish,1.0,0.7844410962530386,,,,not_selected_for_ollama,0.7844410962530386,strong
33093739,20000718,RUS,RUSSIA,RUS,,VNM,VIETNAM,VNM,,1,050,050,05,1,3.5,14,2,14,13.103878478281,Russia,RS,"Vietnam, Republic Of",VM,"Vietnam, Republic Of",VM,20130203,False,True,True,2000-07-18,2000-07-18,116.5,119.0,119.0,113.0,93.0,0.18094270854561012,111.1500015258789,85.19999694824219,86.30000305175781,78.5999984741211,-0.04592273368344291,-0.2686695540923417,-0.2592274416158128,-0.3253219015096902,0.9711101221783477,0.12438691820464909,46846.0,,-11104.0,5341.0,,-9710.0,8015.0,-0.0208769158519404,0,"RUSSIA -> VIETNAM; event code 050; Goldstein 3.5; tone 13.103878478281; Vietnam, Republic Of",VM,0.65,0.6518447857886042,1.0,bearish,1.0,0.783442748589265,,,,not_selected_for_ollama,0.783442748589265,strong
33095891,20000718,VNM,VIETNAM,VNM,,RUS,RUSSIA,RUS,,1,050,050,05,1,3.5,14,2,14,13.103878478281,"Vietnam, Republic Of",VM,Russia,RS,"Vietnam, Republic Of",VM,20130203,False,True,True,2000-07-18,2000-07-18,116.5,119.0,119.0,113.0,93.0,0.18094270854561012,111.1500015258789,85.19999694824219,86.30000305175781,78.5999984741211,-0.04592273368344291,-0.2686695540923417,-0.2592274416158128,-0.3253219015096902,0.9711101221783477,0.12438691820464909,46846.0,,-11104.0,5341.0,,-9710.0,8015.0,-0.0208769158519404,0,"VIETNAM -> RUSSIA; event code 050; Goldstein 3.5; tone 13.103878478281; Vietnam, Republic Of",VM,0.65,0.6518447857886042,1.0,bearish,1.0,0.783442748589265,,,,not_selected_for_ollama,0.783442748589265,strong
33095893,20000718,VNM,VIETNAM,VNM,,RUS,RUSSIAN,RUS,,1,051,051,05,1,3.4,27,2,27,7.63003104839762,"Hanoi, Ha N?i, Vietnam, Republic Of",VM,Russia,RS,"Hanoi, Ha N?i, Vietnam, Republic Of",VM,20130203,False,True,True,2000-07-18,2000-07-18,116.5,119.0,119.0,113.0,93.0,0.18094270854561012,111.1500015258789,85.19999694824219,86.30000305175781,78.5999984741211,-0.04592273368344291,-0.2686695540923417,-0.2592274416158128,-0.3253219015096902,0.9711101221783477,0.12438691820464909,46846.0,,-11104.0,5341.0,,-9710.0,8015.0,-0.0208769158519404,0,"VIETNAM -> RUSSIAN; event code 051; Goldstein 3.4; tone 7.63003104839762; Hanoi, Ha N?i, Vietnam, Republic Of",VM,0.65,0.6513210703727509,1.0,bearish,1.0,0.7833170568894602,,,,not_selected_for_ollama,0.7833170568894602,strong
33087733,20000718,GOV,PREMIER,,GOV,TZA,TANZANIAN,TZA,,1,020,020,02,1,3.0,18,2,18,10.0414618402105,Tanzania,TZ,Tanzania,TZ,Tanzania,TZ,20130203,False,True,True,2000-07-18,2000-07-18,116.5,119.0,119.0,113.0,93.0,0.18094270854561012,111.1500015258789,85.19999694824219,86.30000305175781,78.5999984741211,-0.04592273368344291,-0.2686695540923417,-0.2592274416158128,-0.3253219015096902,0.9711101221783477,0.12438691820464909,46846.0,,-11104.0,5341.0,,-9710.0,8015.0,-0.0208769158519404,0,PREMIER -> TANZANIAN; event code 020; Goldstein 3.0; tone 10.0414618402105; Tanzania,TZ,0.65,0.6373459040675242,1.0,bearish,1.0,0.7799630169762058,,,,not_selected_for_ollama,0.7799630169762058,strong
