feature,is_cot_feature,is_weather_feature,train_mean,test_mean,train_std,standardized_mean_diff,abs_standardized_mean_diff,corr_with_target_train,corr_with_target_test,corr_with_abs_error_test,corr_with_signed_error_test,missing_rate_train,missing_rate_test
Pct_of_OI_Swap_Short_All,True,False,4.755373831775701,14.183720930232557,3.326938738874213,2.8339406999863392,2.8339406999863392,-0.032367556219803986,-0.06083549888536655,-0.049599030686524596,0.009478281136287315,0.7740232312565998,0.6570289132602194
swap_dealer_net,True,False,29771.71105919003,3332.095930232558,11016.06513781836,-2.400096114009872,2.400096114009872,0.030626017825863463,0.06912382512376784,0.024436985862488596,-0.0027601411641024584,0.7740232312565998,0.6570289132602194
Traders_Swap_Short_Old,True,False,9.293469041560645,18.088757396449704,3.6919197448013876,2.3823075697335385,2.3823075697335385,0.013641232655579686,-0.011513915332292924,0.0018628703799830092,0.039027438395905854,0.7925026399155227,0.6630109670987039
Pct_of_OI_Swap_Short_Old,True,False,5.525233644859813,15.134011627906977,4.064888957508165,2.3638475942372317,2.3638475942372317,-0.007535772555652534,-0.048543251092457315,-0.0451643403061966,0.018367095463316194,0.7740232312565998,0.6570289132602194
Traders_Swap_Short_All,True,False,9.857859531772576,17.898255813953487,3.531310769288059,2.276887197838416,2.276887197838416,0.0012580070366937487,-0.06361485637697743,0.0345065681367953,0.006569637395770431,0.789510735656459,0.6570289132602194
Swap__Positions_Short_All,True,False,9194.032710280373,26342.34011627907,8737.827321467652,1.9625367697376717,1.9625367697376717,0.016276044298692366,-0.019401296640554733,-0.050575456987857155,0.04919039068781498,0.7740232312565998,0.6570289132602194
Pct_of_OI_NonComm_Spread_All,True,False,13.122439690487028,22.920637329286798,5.197344036353032,1.8852316818486294,1.8852316818486294,-0.007204959864968981,0.006347995155893386,0.023500810818295376,0.006128508570696464,0.22668074621612108,0.34297108673978066
Pct_of_OI_Comm_Long_All,True,False,51.39547109695039,40.694992412746586,5.903514752012719,-1.812560675071681,1.812560675071681,0.023931571817108626,-0.04365604248485278,-0.06594191397649109,-0.07836555219531373,0.22668074621612108,0.34297108673978066
Pct_of_OI_M_Money_Long_Other,True,False,12.146728971962618,25.622093023255815,7.969111073573261,1.6909494580869222,1.6909494580869222,0.04523705039307985,-0.020215372889738226,-0.130754422153419,0.045018657489429896,0.7740232312565998,0.6570289132602194
Swap_Positions_Short_Old,True,False,7907.626168224299,19866.97965116279,7398.902899259728,1.616368486757009,1.616368486757009,0.028560734704955296,0.04176274254651763,-0.014990418462308502,0.08074651566624794,0.7740232312565998,0.6570289132602194
Pct_of_OI_Other_Rept_Long_Other,True,False,10.908333333333333,19.30377906976744,5.234844943723474,1.6037620649108548,1.6037620649108548,-0.08246331084442818,0.10682748377252473,-0.023197163930595694,0.025697549950394544,0.7740232312565998,0.6570289132602194
Traders_Swap_Short_Other,True,False,7.2209737827715355,12.819767441860465,3.6292380051336126,1.5426912346804895,1.5426912346804895,-0.00675384635545023,-0.06220890612751577,0.007206943761798359,-0.006430303356918763,0.8120380147835269,0.6570289132602194
Other_Rept_Positions_Short_ALL,True,False,6133.063084112149,9957.816860465116,2678.429578489832,1.4279836987573378,1.4279836987573378,-0.043217762883989,0.0981811843985965,0.026293205182860973,0.13549779985245744,0.7740232312565998,0.6570289132602194
Pct_of_OI_NonComm_Long_Other,True,False,25.31024123805189,44.747192716236725,13.902049947706594,1.3981356383625514,1.3981356383625514,0.016750275521102673,0.023200155167168342,-0.01077099853776359,0.04203128637789645,0.22668074621612108,0.34297108673978066
weather_colombia_huila_soil_temperature_0_to_100cm_mean_roll20,False,True,25.57792750162774,29.011789631106677,2.49557682074551,1.3759793330878627,1.3759793330878627,0.030844113810741137,0.09065622189527804,0.005003137446556617,0.09402542380106718,0.0015839493136219642,0.0
