trading_date,event_count,max_impact_score_0_1,mean_impact_score_0_1,signed_impact_score,bullish_events,bearish_events,neutral_events,Close,future_return_5d,future_return_20d,top_event_summary
2000-10-24,1701,0.6845921596637076,0.5583381047433396,-360.08704885099553,561,1102,38,79.25,-0.06119871891635453,-0.13501573436267744,"Unknown actor -> AFRICA; event code 042; Goldstein 1.9; tone 5.85774058577406; India | Unknown actor -> BRAZIL; event code 040; Goldstein 1.0; tone 9.47521865889213; Iguacu, Bahia, Brazil | Unknown actor -> BRAZIL; event code 173; Goldstein -5.0; tone 3.64741641337386; Foz Do Iguacu, ParanáR, Brazil"
2000-12-11,4010,0.5975801879635215,0.4671926142283457,-814.3840758874851,1253,2706,51,64.0999984741211,-0.021840838447864552,-0.011700468297246469,"Unknown actor -> BRAZIL; event code 080; Goldstein 5.0; tone 6.84931506849315; Nicolau, Minas Gerais, Brazil | Unknown actor -> PRODUCER; event code 046; Goldstein 7.0; tone 3.82436260623229; Brazil | Unknown actor -> EXPORTER; event code 050; Goldstein 3.5; tone 6.08108108108108; Kampala, Kampala, Uganda"
2000-12-12,1861,0.5714572623572668,0.4074367555236434,-228.69918464391804,528,1305,28,64.19999694824219,0.013239971089109126,-0.009345771069191988,"Unknown actor -> BRAZIL; event code 043; Goldstein 2.8; tone 8.125; Brazil | Unknown actor -> BRAZIL; event code 036; Goldstein 4.0; tone 5.4590570719603; Bahia, Bahia, Brazil | Unknown actor -> GENEVA; event code 040; Goldstein 1.0; tone 3.84774423221743; Jakarta, Jakarta Raya, Indonesia"
2000-12-13,1750,0.5898973485582166,0.4428214677825035,-214.1329296469684,519,1199,32,63.75,0.026666618795955888,0.019607843137254832,"Unknown actor -> AFRICA; event code 036; Goldstein 4.0; tone 4.21052631578947; Kampala, Kampala, Uganda | Unknown actor -> FARMER; event code 031; Goldstein 5.2; tone 5.67010309278351; Tanzania | Unknown actor -> AUSTRALIAN; event code 172; Goldstein -5.0; tone 5.69105691056911; Balibo, Nusa Tenggara Timur, Indonesia"
2000-12-14,1645,0.7358872031829798,0.573182310852386,-373.1381248927309,416,1195,34,61.54999923706055,0.08123483146506127,0.09504471748711163,"Unknown actor -> AFRICA; event code 112; Goldstein -2.0; tone 9.18727915194346; Kampala, Kampala, Uganda | Unknown actor -> BRAZIL; event code 036; Goldstein 4.0; tone 8.84820747520976; Bahia, Bahia, Brazil | Unknown actor -> BRAZIL; event code 040; Goldstein 1.0; tone 4.23280423280423; Brazil"
2000-12-15,1619,0.6150333126060926,0.46577263533517654,-315.6379882902999,376,1202,41,62.900001525878906,0.03974562701674067,0.11605715811246609,"Unknown actor -> BANGLADESH; event code 042; Goldstein 1.9; tone 9.25925925925926; India | Unknown actor -> BRAZILIAN; event code 040; Goldstein 1.0; tone 8.15602836879433; Brasilia, Distrito Federal, Brazil | Unknown actor -> PRODUCER; event code 173; Goldstein -5.0; tone 1.77777777777778; Bombay, Maharashtra, India"
2000-12-18,3767,0.7047133071502484,0.5540604391052252,-756.0483289282535,1013,2694,60,62.70000076293945,0.07336526687153277,0.06459328848133628,"Unknown actor -> FLORIANOPOLIS; event code 040; Goldstein 1.0; tone 1.94174757281553; Florianopolis, Santa Catarina, Brazil | Unknown actor -> BRAZIL; event code 040; Goldstein 1.0; tone 5.98290598290598; Brazil | Unknown actor -> BRAZIL; event code 057; Goldstein 8.0; tone 5.47024952015355; Brazil"
2000-12-19,1512,0.5775228712174826,0.42651023645112035,-186.94100263904434,441,1053,18,65.05000305175781,0.02075324228727471,0.049961565680697984,"Unknown actor -> AUSTRIA; event code 057; Goldstein 8.0; tone 21.0144927536232; Austria | Unknown actor -> BANK; event code 036; Goldstein 4.0; tone 2.53164556962025; Ahmedabad, Gujarat, India | Unknown actor -> BANK; event code 040; Goldstein 1.0; tone 2.53164556962025; Ahmedabad, Gujarat, India"
2000-12-20,1864,0.5877717962405384,0.4480898015953793,-235.6718160134927,549,1273,42,65.44999694824219,0.02902981840291652,0.0886173158471566,"Unknown actor -> BANGLADESH; event code 040; Goldstein 1.0; tone 10.2739726027397; New Delhi, Delhi, India | Unknown actor -> BRAZILIAN; event code 057; Goldstein 8.0; tone 5.73913043478261; Rio De Janeiro, Estado do Rio, Brazil | Unknown actor -> BANK; event code 051; Goldstein 3.4; tone 9.56937799043062; El Salvador"
2000-12-21,1431,0.5666388983885166,0.45808629122662836,-383.59840660815576,327,1075,29,66.55000305175781,-0.01502629532897648,0.049586705800701125,"Unknown actor -> AFGHANISTAN; event code 042; Goldstein 1.9; tone 6.52463382157124; New Delhi, Delhi, India | Unknown actor -> AFRICA; event code 036; Goldstein 4.0; tone 2.92792792792793; Kenya | Unknown actor -> AUSTRALIA; event code 042; Goldstein 1.9; tone 2.32930298719773; Indonesia"
