event_id,event_start,event_end,peak_date,peak_close,peak_drift_score,return_5d,return_20d,return_5d_z,return_20d_z,realized_vol_20d_z,trend_distance_z,trading_days_in_event
75,2014-01-30,2014-03-24,2014-02-19,171.75,6.543066959715205,0.25227858288955085,0.4780551162707938,5.578302774189779,6.543066959715205,5.423445242161241,6.309654201746019,36
2,2000-07-07,2000-08-16,2000-07-18,116.5,6.486810654141129,0.29300779104298913,0.335243553008596,5.373580571908805,5.78713702890016,5.696469530406187,6.486810654141129,25
116,2021-07-21,2021-08-18,2021-07-26,207.8000030517578,6.026926655092171,0.3384863320564111,0.3214626585167428,6.026926655092171,3.0817603730550185,4.637079626150424,3.5113338541745738,21
102,2018-08-15,2018-11-19,2018-10-15,119.3499984741211,5.633480911266463,0.06705409121427297,0.2771535834316159,2.0406604627817417,5.633480911266463,1.9796769733205473,4.448650339949722,57
148,2026-07-01,2026-07-31,2026-07-09,356.95001220703125,5.437074305077505,0.10067846328414332,0.4605156347025827,1.6109030444168997,3.522230043472171,5.437074305077505,2.2359324996293655,22
54,2010-06-11,2010-07-12,2010-06-15,159.35000610351562,4.563449588385764,0.19318609106851858,0.1843181158622338,4.563449588385764,2.4413053609154964,1.3654553032660552,3.473294031785349,21
111,2020-03-03,2020-04-09,2020-03-24,125.5999984741211,4.164270787475203,0.220602493796205,0.1727357634320621,4.164270787475203,1.4709838535063495,2.880251699152244,1.1342330833410659,27
40,2007-09-10,2007-10-26,2007-09-20,133.14999389648438,4.162823963525768,0.14586916861789634,0.16339010438505208,4.162823963525768,2.4190913865209773,1.304254466296791,2.5307322180196343,34
41,2008-02-14,2008-04-14,2008-03-20,130.89999389648438,4.128066416757882,-0.15874043212182865,-0.16277589519364266,-4.128066416757882,-2.3317778287730895,3.4338168889150897,-1.8287616906265851,36
133,2024-04-05,2024-05-15,2024-04-17,247.9499969482422,4.045415833780514,0.1551362869724413,0.3545478984675774,3.371473926250306,4.045415833780514,-1.5339956869136957,2.942413997226019,19
