period_id,period_start,period_end,event_count,unique_event_ids,event_day_count,explicit_coffee_event_count,producer_country_event_count,severe_rule_event_count,max_rule_impact_score_0_1,mean_rule_impact_score_0_1,max_row_final_impact_score_0_1,mean_row_final_impact_score_0_1,mean_event_intensity_score_0_1,mean_price_response_score_0_1,bullish_event_count,bearish_event_count,neutral_event_count,signed_rule_score_mean,period_start_close,period_end_close,close_period_return,period_future_return_5d_mean,period_future_return_5d_abs_max,period_future_return_20d_mean,open_interest_last,commercial_net_last,noncommercial_net_last,open_interest_change_pct_mean,top_countries,top_event_roots,top_event_digest,event_volume_score_0_1,period_price_response_score_0_1,direction_concentration_score_0_1,deterministic_period_score_0_1
2000-05-15,2000-05-15,2000-05-21,5128,5128,3,0,5128,425,0.8160656457801089,0.5862199980195847,0.8006693700073043,0.5850885779006164,0.4121902763856582,0.7363489893658575,1719,3348,61,-0.1351355308303153,91.8000030517578,97.9499969482422,0.06699339533809145,0.06897937923189511,0.1094770706782766,-0.06531944237294611,51422.0,-17.0,-3335.0,0.0390105402356967,ET:509; ID:503; UG:497; IN:474; CO:318; US:258,4:1398; 1:635; 19:590; 3:398; 11:388; 5:305,"2000-05-18 score=0.816 dir=bullish articles=19: ETHIOPIA -> unknown target; event code 190; Goldstein -10.0; tone 8.27183985141241; Ethiopia | 2000-05-18 score=0.816 dir=bullish articles=32: ERITREA -> ETHIOPIA; event code 190; Goldstein -10.0; tone 6.86243046640993; Ethiopia | 2000-05-18 score=0.816 dir=bullish articles=32: ETHIOPIA -> ERITREA; event code 190; Goldstein -10.0; tone 6.86243046640993; Ethiopia | 2000-05-18 score=0.806 dir=bullish articles=15: PRISON -> unknown target; event code 173; Goldstein -5.0; tone 7.86455493902303; Lai Chau, Vietnam (general),  | 2000-05-17 score=0.804 dir=bullish articles=31: CIVILIAN -> STUDENT; event code 173; Goldstein -5.0; tone 4.40219679905963; Jakarta, Jakarta Raya, Indonesia",0.9190373318624352,0.8399704016626931,0.3176677067082683,0.7476913948297143
2000-05-22,2000-05-22,2000-05-28,10462,10462,7,0,10462,140,0.7883417859943871,0.5889929356567234,0.7883417859943871,0.5889929356567234,0.4145754586500192,0.6095805449741516,2906,7470,86,-0.2915162420045897,103.3000030517578,99.1999969482422,-0.03969028056525148,-0.060032605114887304,0.103182230116966,-0.14790924119387155,47482.0,-5683.0,1055.0,-0.05858094237196683,ET:1274; IN:1171; ID:1120; UG:746; ER:703; KE:547,4:2982; 1:1362; 3:948; 19:930; 5:685; 2:672,"2000-05-23 score=0.788 dir=bearish articles=10: LE KHA PHIEU -> FRENCH; event code 057; Goldstein 8.0; tone 11.3564668769716; Paris, RhôAlpes, France | 2000-05-23 score=0.788 dir=bearish articles=10: FRENCH -> LE KHA PHIEU; event code 057; Goldstein 8.0; tone 11.3564668769716; Vietnam, Republic Of | 2000-05-23 score=0.787 dir=bearish articles=14: ETHIOPIA -> ERITREAN; event code 0874; Goldstein 10.0; tone 6.35930047694753; Asmara, Ma'akel, Eritrea | 2000-05-23 score=0.784 dir=bearish articles=10: IRANIAN -> UNITED NATIONS; event code 046; Goldstein 7.0; tone 11.4503816793893; Nairobi, Nairobi Area, Kenya | 2000-05-23 score=0.783 dir=bearish articles=18: Unknown actor -> PAKISTAN; event code 063; Goldstein 7.4; tone 6.94164989939638; India",0.9957362729584526,0.7916728017915279,0.43624545975912826,0.7551799508070988
2000-05-29,2000-05-29,2000-06-04,3857,3857,3,0,3857,355,0.7923949426461185,0.6961967358120282,0.7923949426461185,0.6961967358120282,0.42319355503736994,1.0,1229,2589,39,-0.2805225624344377,100.4000015258789,100.4000015258789,,-0.1120517911257225,0.1120517911257225,-0.1185259098109833,48432.0,-6580.0,1737.0,0.0196151304922365,ID:411; ET:402; UG:335; IN:323; PE:307; ER:202,4:1099; 1:506; 19:411; 3:271; 11:267; 5:245,"2000-05-29 score=0.792 dir=bearish articles=27: JAPAN -> ABDURRAHMAN WAHID; event code 071; Goldstein 7.4; tone 5.09950248756219; Tokyo, Tokyo, Japan | 2000-05-27 score=0.790 dir=bearish articles=12: PAKISTAN -> unknown target; event code 057; Goldstein 8.0; tone 9.34851694915254; India | 2000-05-27 score=0.790 dir=bearish articles=12: Unknown actor -> PAKISTAN; event code 057; Goldstein 8.0; tone 9.34851694915254; India | 2000-05-27 score=0.788 dir=bearish articles=21: VIETNAM -> THE EU; event code 061; Goldstein 6.4; tone 5.10160874428004; Hanoi, Ha N?i, Vietnam, Republic Of | 2000-05-27 score=0.788 dir=bearish articles=27: VIETNAMESE -> unknown target; event code 043; Goldstein 2.8; tone 9.50357898742003; Hanoi, Ha N?i, Vietnam, Re",0.8884020805614673,0.859725122491549,0.35260565206118744,0.7605010535544294
2000-07-10,2000-07-10,2000-07-16,3451,3451,2,0,3451,0,0.7340938110358357,0.5183020407207839,0.7340938110358357,0.5183020407207839,0.4072140279179678,0.42869809583624596,835,2555,61,-0.24809012475554618,99.1999969482422,89.1500015258789,-0.10131044084211915,0.034755483879633405,0.0841278729291201,-0.1464627792553791,47824.0,-1394.0,-2674.0,-0.0113332218133154,IN:364; ID:303; CO:276; UG:269; KE:267; US:250,4:917; 1:458; 3:332; 5:294; 19:247; 2:224,"2000-07-14 score=0.734 dir=bullish articles=23: RESIDENTS -> unknown target; event code 174; Goldstein -5.0; tone 5.41906326605756; Bombay, Maharashtra, India | 2000-07-14 score=0.733 dir=bullish articles=27: PRESIDENTIAL CANDIDATE -> unknown target; event code 172; Goldstein -5.0; tone 5.07570333764433; Abidjan, Lagu | 2000-07-14 score=0.727 dir=bullish articles=17: GOVERNMENT OFFICIAL -> unknown target; event code 190; Goldstein -10.0; tone 5.39729293298518; Delhi, Delhi, I | 2000-07-14 score=0.724 dir=bullish articles=23: RESIDENTS -> unknown target; event code 100; Goldstein -5.0; tone 5.41906326605756; Bombay, Maharashtra, India | 2000-07-14 score=0.724 dir=bullish articles=17: Unknown actor -> MALE; event code 193; Goldstein -10.0; tone 4.69444798380431; Bihar, Uttar Pradesh, India",0.8764394817553477,0.645476927519974,0.4984062590553463,0.6813537188777345
2000-07-17,2000-07-17,2000-07-23,10266,10266,7,0,10266,576,0.8005970568894603,0.6855275690567297,0.8005970568894603,0.6855275690567297,0.40280205804801533,0.9571241411439168,2612,7511,143,-0.3568177678862366,98.6500015258789,96.6500015258789,-0.020273694567306655,-0.16529423869100462,0.2686695540923417,-0.24146598165542987,46846.0,-11104.0,5341.0,-0.0189681770442154,IN:1603; ID:1140; CO:884; KE:839; UG:821; TZ:448,4:3218; 1:1297; 3:946; 19:787; 5:635; 2:564,"2000-07-18 score=0.801 dir=bearish articles=27: VIETNAM -> RUSSIA; event code 070; Goldstein 7.0; tone 7.63003104839762; Russia | 2000-07-15 score=0.800 dir=bearish articles=26: AUTHORITIES -> unknown target; event code 0353; Goldstein 7.0; tone 7.63946947528229; Bombay, Maharashtra, Ind | 2000-07-16 score=0.795 dir=bearish articles=18: PRESIDENT -> COLOMBIA; event code 072; Goldstein 8.3; tone 8.73493975903614; Colombia | 2000-07-18 score=0.794 dir=bearish articles=17: PRESIDENT -> ALEJANDRO TOLEDO; event code 070; Goldstein 7.0; tone 9.17654761038772; Mexico | 2000-07-16 score=0.793 dir=bearish articles=17: CONGRESS -> BRAZILIAN; event code 057; Goldstein 8.0; tone 5.73267004375795; Pernambuco, Estado de Pernambuco,",0.993701858500027,1.0,0.4772063120981882,0.8181968686502408
2000-07-24,2000-07-24,2000-07-30,6349,6349,4,0,6349,0,0.5532135925358939,0.38247744908808273,0.5532135925358939,0.38247744908808273,0.40274304139377487,0.04540230604710456,1620,4654,75,-0.13634681370856677,86.30000305175781,85.19999694824219,-0.012746304340868986,0.0073244611317553,0.0129108702220244,-0.09852015616255826,42333.0,-8028.0,3715.0,-0.06374202724541365,IN:987; ID:859; CO:618; UG:520; KE:509; VM:266,4:1910; 1:748; 3:582; 5:493; 19:456; 11:370,"2000-07-25 score=0.553 dir=bullish articles=23: FARC -> unknown target; event code 190; Goldstein -10.0; tone 4.31815032201636; Putumayo, Magdalena, Colombia | 2000-07-25 score=0.546 dir=bullish articles=23: Unknown actor -> DEMONSTRATOR; event code 190; Goldstein -10.0; tone 3.33714424841801; Lima, Lima, Peru | 2000-07-25 score=0.546 dir=bullish articles=23: DEMONSTRATOR -> unknown target; event code 190; Goldstein -10.0; tone 3.33714424841801; Lima, Lima, Peru | 2000-07-25 score=0.545 dir=bullish articles=19: ETHIOPIA -> ERITREAN; event code 190; Goldstein -10.0; tone 2.80253010823209; Lafa, Oromiya, Ethiopia | 2000-07-25 score=0.543 dir=bullish articles=19: ERITREA -> ETHIOPIA; event code 190; Goldstein -10.0; tone 2.7711763050187; Teseney, Gash Barka, Eritrea",0.9420108397020277,0.09905954533692733,0.4778705307922507,0.5031825565350136
2000-10-09,2000-10-09,2000-10-15,2989,2989,2,0,2989,0,0.6821452019671952,0.5104166509413378,0.6821452019671952,0.5104166509413378,0.4022608315965141,0.4763137928470863,978,1964,47,-0.1154775809204622,81.30000305175781,81.05000305175781,-0.003075030634880127,0.052334280718831,0.0664205866394198,-0.08746179093641845,42404.0,-1230.0,-3080.0,0.0157532308272804,ID:551; CO:314; IN:275; KE:201; US:175; TZ:145,4:715; 1:413; 2:211; 5:202; 3:200; 19:190,"2000-10-12 score=0.682 dir=bullish articles=27: Unknown actor -> CHRISTIAN; event code 190; Goldstein -10.0; tone 2.23572245259259; Ambon, Maluku, Indonesia | 2000-10-12 score=0.682 dir=bullish articles=27: Unknown actor -> CHRISTIAN; event code 193; Goldstein -10.0; tone 2.23572245259259; Ambon, Maluku, Indonesia | 2000-10-12 score=0.680 dir=bullish articles=25: INDONESIAN -> SUHARTO; event code 173; Goldstein -5.0; tone 2.87387813962749; Jakarta, Jakarta Raya, Indonesia | 2000-10-12 score=0.676 dir=bullish articles=24: Unknown actor -> SUHARTO; event code 173; Goldstein -5.0; tone 3.01769983669768; Jakarta, Jakarta Raya, Indone | 2000-10-12 score=0.675 dir=bullish articles=14: HENRI KONAN BEDIE -> PARIS; event code 113; Goldstein -2.0; tone 8.77577775553193; Paris, RhôAlpes, France",0.8609820544582243,0.5096165479449183,0.329876212780194,0.6171426395882161
2000-10-16,2000-10-16,2000-10-22,10679,10679,7,0,10679,314,0.7999637736210592,0.6632025481078139,0.7999637736210592,0.6632025481078139,0.4028096276456969,0.87949381562363,2768,7738,173,-0.3399762591245292,85.6500015258789,84.1500015258789,-0.017513134539136943,-0.10762428332644627,0.1303344385249414,-0.19109908770331557,43747.0,-7834.0,1432.0,0.027710044524200644,ID:1396; CO:1086; KE:925; IN:883; UG:678; VM:677,4:3394; 1:1294; 3:938; 5:728; 19:699; 11:591,"2000-10-17 score=0.800 dir=bearish articles=35: NEIGHBORHOOD -> unknown target; event code 0874; Goldstein 10.0; tone 4.58802987556318; Gulu, Gulu, Uganda | 2000-10-19 score=0.796 dir=bearish articles=19: YEMENI -> AFGHAN; event code 062; Goldstein 7.4; tone 3.49485039068018; Afghanistan | 2000-10-18 score=0.795 dir=bearish articles=22: KENYA -> TANZANIA; event code 046; Goldstein 7.0; tone 4.25317029941381; Tanzania | 2000-10-18 score=0.795 dir=bearish articles=22: TANZANIA -> KENYA; event code 046; Goldstein 7.0; tone 4.25317029941381; Tanzania | 2000-10-18 score=0.792 dir=bearish articles=20: COLOMBIA -> unknown target; event code 070; Goldstein 7.0; tone 7.42468845117911; Bogota, Cundinamarca, Colomb",0.9979446747799782,1.0,0.46539938196460345,0.8135333968198442
2000-10-23,2000-10-23,2000-10-29,5030,5030,4,0,5030,0,0.6845921596637076,0.5628090034939547,0.6845921596637076,0.5628090034939547,0.40894996237912273,0.526686234727716,1448,3479,103,-0.25902229535014154,78.44999694824219,79.25,0.010197617372574408,-0.062148098405279906,0.0630974778942053,-0.11913309847016273,42900.0,-4720.0,-274.0,0.005477829102420501,ID:611; PE:573; IV:487; KE:374; IN:337; CO:316,4:1473; 1:574; 3:373; 2:352; 11:342; 5:288,"2000-10-24 score=0.685 dir=bearish articles=50: Unknown actor -> POPULATION; event code 072; Goldstein 8.3; tone 6.77512482769635; Abidjan, Lagunes, Cote D'iv | 2000-10-24 score=0.674 dir=bearish articles=28: Unknown actor -> DEMONSTRATOR; event code 060; Goldstein 6.0; tone 6.99555608601939; Abidjan, Lagunes, Cote D' | 2000-10-24 score=0.669 dir=bearish articles=31: Unknown actor -> POPULATION; event code 060; Goldstein 6.0; tone 7.05564905584916; Abidjan, Lagunes, Cote D'iv | 2000-10-24 score=0.667 dir=bearish articles=34: RIVIERA -> DEMONSTRATOR; event code 060; Goldstein 6.0; tone 6.50324597706141; Abidjan, Lagunes, Cote D'ivoire | 2000-10-23 score=0.663 dir=bearish articles=18: VIETNAM -> unknown target; event code 070; Goldstein 7.0; tone 8.69109508636592; Hanoi, Ha N?i, Vietnam, Repub",0.9169618661659742,0.48411976610564583,0.40377733598409543,0.6403312255151478
2000-12-11,2000-12-11,2000-12-17,10885,10885,7,0,10885,0,0.7358872031829798,0.4688645431019176,0.7358872031829798,0.4688645431019176,0.406518862614747,0.2917532892478534,3092,7607,186,-0.1787774279615436,64.0999984741211,62.900001525878906,-0.018720701666266937,0.027809241983800435,0.0812348314650612,0.041932695874078815,44640.0,3064.0,-6603.0,0.014284323426638301,ID:1681; IN:952; KE:836; CO:684; UG:609; VM:484,4:2872; 1:1290; 5:1067; 3:928; 19:854; 11:667,"2000-12-14 score=0.736 dir=bullish articles=54: JAKARTA -> unknown target; event code 120; Goldstein -4.0; tone 7.03109018066719; Jakarta, Jakarta Raya, Indon | 2000-12-14 score=0.723 dir=bullish articles=18: INDONESIA -> unknown target; event code 120; Goldstein -4.0; tone 10.4531318464054; Papua, Indonesia (general) | 2000-12-14 score=0.715 dir=bullish articles=17: RUSSIA -> UGANDA; event code 172; Goldstein -5.0; tone 6.38260009886307; Moscow, Moskva, Russia | 2000-12-14 score=0.710 dir=bullish articles=12: INDONESIAN -> EAST TIMOR; event code 174; Goldstein -5.0; tone 7.47339461632237; Jakarta, Jakarta Raya, Indone | 2000-12-14 score=0.707 dir=bullish articles=18: JAKARTA -> unknown target; event code 161; Goldstein -4.0; tone 4.05555162575747; Jakarta, Jakarta Raya, Indon",1.0,0.6232798666602284,0.41479099678456594,0.6829844865815157
2000-12-18,2000-12-18,2000-12-24,8574,8574,6,0,8574,0,0.7047133071502484,0.49251108287177164,0.7047133071502484,0.49251108287177164,0.40340669722065686,0.3997333546893392,2330,6095,149,-0.18220895196978615,62.70000076293945,66.55000305175781,0.06140354452904573,0.027030508058186877,0.0733652668715327,0.06318971895247294,45209.0,3578.0,-7258.0,0.010352350559460474,ID:1190; IN:1107; KE:757; CO:715; UG:668; VM:499,4:2447; 1:1040; 19:685; 5:676; 3:657; 11:571,"2000-12-18 score=0.705 dir=bullish articles=63: Unknown actor -> SUHARTO; event code 173; Goldstein -5.0; tone 3.49351175758377; Jakarta, Jakarta Raya, Indone | 2000-12-17 score=0.702 dir=bullish articles=14: ACEHNESE -> unknown target; event code 193; Goldstein -10.0; tone 6.42032801871994; Jakarta, Jakarta Raya, Ind | 2000-12-17 score=0.702 dir=bullish articles=21: JAKARTA -> SEPARATIST; event code 192; Goldstein -9.5; tone 5.83943586940755; Bangkok, Krung Thep Mahanakhon,  | 2000-12-17 score=0.700 dir=bullish articles=14: ACEHNESE -> WORKER; event code 182; Goldstein -9.5; tone 6.42032801871994; Jakarta, Jakarta Raya, Indonesia | 2000-12-17 score=0.695 dir=bullish articles=14: MUSLIM MILITANT -> ARMY; event code 190; Goldstein -10.0; tone 7.63283923425191; Handwara, Jammu and Kashmir, ",0.974328069980243,0.5629000876655726,0.4391182645206438,0.6629616803193195
