strategy,model,split,accuracy,precision,recall,f1,roc_auc
global_candidate,ensemble_top3_weighted_soft_vote,valid,0.555333998005982,0.5723981900452488,0.49607843137254903,0.5315126050420168,0.5591973909239152
global_candidate,ensemble_top3_soft_vote,valid,0.5533399800598205,0.572429906542056,0.4803921568627451,0.5223880597014925,0.5570218351032097
global_candidate,logistic_l2,valid,0.5443668993020937,0.5412130637636081,0.6823529411764706,0.603642671292281,0.5696217635127073
global_candidate,hist_gradient_boosting_cls,valid,0.5044865403788634,0.5184135977337111,0.3588235294117647,0.4241019698725377,0.5218947619615797
global_candidate,random_forest_cls,valid,0.4935194416749751,0.5028571428571429,0.34509803921568627,0.40930232558139534,0.4803324981108062
global_candidate,gradient_boosting_cls,valid,0.4935194416749751,0.5043478260869565,0.22745098039215686,0.31351351351351353,0.4760808177226266
global_candidate,extra_trees_cls,valid,0.47756729810568294,0.48055555555555557,0.3392156862745098,0.39770114942528734,0.46410134033329353
global_candidate,extra_trees_cls,holdout,0.5573280159521435,0.5696821515892421,0.46506986027944114,0.512087912087912,0.5411408259178854
global_candidate,random_forest_cls,holdout,0.5483549351944168,0.5454545454545454,0.5748502994011976,0.5597667638483965,0.553438938855357
global_candidate,hist_gradient_boosting_cls,holdout,0.522432701894317,0.5236051502145923,0.4870259481037924,0.5046535677352637,0.5251389650976931
global_candidate,ensemble_top3_soft_vote,holdout,0.4865403788634098,0.4740740740740741,0.2554890219560878,0.3320363164721141,0.5323854283464944
global_candidate,ensemble_top3_weighted_soft_vote,holdout,0.48554336989032904,0.47104247104247104,0.2435129740518962,0.32105263157894737,0.5317890116181978
global_candidate,gradient_boosting_cls,holdout,0.48554336989032904,0.4845360824742268,0.469061876247505,0.4766734279918864,0.5272164833679256
global_candidate,logistic_l2,holdout,0.4795613160518445,0.425531914893617,0.11976047904191617,0.18691588785046728,0.5068071029256229
global_selected,ensemble_top3_weighted_soft_vote,holdout,0.48554336989032904,0.47104247104247104,0.2435129740518962,0.32105263157894737,0.5317890116181978
regime_specific,per_regime_VotingClassifier,valid,0.5004985044865404,0.5083179297597042,0.5392156862745098,0.5233111322549953,0.5348009386310305
regime_specific,per_regime_VotingClassifier,holdout,0.5284147557328016,0.5284552845528455,0.5189620758483033,0.5236656596173213,0.5393913368482158
