feature_set,model,split,selected,rows,date_start,date_end,mae,rmse,r2,directional_accuracy,mean_predicted_return,mean_actual_return,notes
baseline_no_events,extra_trees_shallow,test,True,11,2000-10-27,2000-12-22,0.05586058380493054,0.06397011958035974,-2.0471231464456845,0.6363636363636364,0.070992075787362,0.01728474328371959,Yahoo + top COT + compact weather features only.
event_scored_explanatory,extra_trees_shallow,test,True,11,2000-10-27,2000-12-22,0.07991306948816361,0.09208126499846403,-5.313617028630544,0.36363636363636365,-0.06262832620444402,0.01728474328371959,Adds weekly Ollama/final impact scores. Explanatory/audit only because scoring used price/COT context.
event_safe,extra_trees_shallow,test,True,11,2000-10-27,2000-12-22,0.08761119769892793,0.09852948445264319,-6.228831501985708,0.36363636363636365,-0.07032645441520835,0.01728474328371959,Adds raw weekly event-count/intensity/direction features only; avoids Ollama/final scores.
event_safe,extra_trees_shallow,valid,False,11,2000-10-12,2000-10-26,0.04450350263115794,0.05591501905676557,0.14241969170220925,0.6363636363636364,-0.016127206630027844,-0.05692473845427051,Adds raw weekly event-count/intensity/direction features only; avoids Ollama/final scores.
event_scored_explanatory,extra_trees_shallow,valid,False,11,2000-10-12,2000-10-26,0.04769000028901285,0.05819488885708706,0.07106028238598572,0.6363636363636364,-0.011155028740773348,-0.05692473845427051,Adds weekly Ollama/final impact scores. Explanatory/audit only because scoring used price/COT context.
baseline_no_events,extra_trees_shallow,valid,False,11,2000-10-12,2000-10-26,0.06576574980120661,0.07323874534919181,-0.4712945875584009,0.6363636363636364,0.007720425471806322,-0.05692473845427051,Yahoo + top COT + compact weather features only.
event_scored_explanatory,gradient_boosting_small,valid,False,11,2000-10-12,2000-10-26,0.08215898421777326,0.0956180621076847,-1.5078278494770077,0.2727272727272727,0.025234245763502753,-0.05692473845427051,Adds weekly Ollama/final impact scores. Explanatory/audit only because scoring used price/COT context.
event_scored_explanatory,random_forest_shallow,valid,False,11,2000-10-12,2000-10-26,0.08527463612056846,0.09596923793442991,-1.5262826423976317,0.2727272727272727,0.028349897666297943,-0.05692473845427051,Adds weekly Ollama/final impact scores. Explanatory/audit only because scoring used price/COT context.
event_scored_explanatory,ridge_alpha_10,valid,False,11,2000-10-12,2000-10-26,0.08494723559261762,0.10153415427261371,-1.8277574624271762,0.6363636363636364,0.028022497138347105,-0.05692473845427051,Adds weekly Ollama/final impact scores. Explanatory/audit only because scoring used price/COT context.
event_safe,random_forest_shallow,valid,False,11,2000-10-12,2000-10-26,0.08502466901951387,0.10321095688735192,-1.9219276268825842,0.36363636363636365,0.02809993056524336,-0.05692473845427051,Adds raw weekly event-count/intensity/direction features only; avoids Ollama/final scores.
baseline_no_events,random_forest_shallow,valid,False,11,2000-10-12,2000-10-26,0.08570834234519932,0.10691187347025136,-2.13523230691638,0.36363636363636365,0.028783603890928818,-0.05692473845427051,Yahoo + top COT + compact weather features only.
event_safe,gradient_boosting_small,valid,False,11,2000-10-12,2000-10-26,0.09047214944346747,0.10853529909125179,-2.2311703908290226,0.2727272727272727,0.03354741098919695,-0.05692473845427051,Adds raw weekly event-count/intensity/direction features only; avoids Ollama/final scores.
baseline_no_events,ridge_alpha_3,valid,False,11,2000-10-12,2000-10-26,0.10027755670909623,0.10893286087924685,-2.254885119533941,0.5454545454545454,0.043352818254825724,-0.05692473845427051,Yahoo + top COT + compact weather features only.
event_safe,ridge_alpha_10,valid,False,11,2000-10-12,2000-10-26,0.09918313655641299,0.1091161482489416,-2.265847490690012,0.5454545454545454,0.04225839810214247,-0.05692473845427051,Adds raw weekly event-count/intensity/direction features only; avoids Ollama/final scores.
baseline_no_events,bayesian_ridge,valid,False,11,2000-10-12,2000-10-26,0.10724447576729138,0.11654392953752706,-2.7256080226974406,0.36363636363636365,0.050319737313020856,-0.05692473845427051,Yahoo + top COT + compact weather features only.
baseline_no_events,ridge_alpha_10,valid,False,11,2000-10-12,2000-10-26,0.10726984706646862,0.11663980248759086,-2.7317401644492456,0.36363636363636365,0.0503451086121981,-0.05692473845427051,Yahoo + top COT + compact weather features only.
event_scored_explanatory,ridge_alpha_3,valid,False,11,2000-10-12,2000-10-26,0.10446190302510519,0.12054331217645993,-2.98569522724633,0.5454545454545454,0.0475371645708347,-0.05692473845427051,Adds weekly Ollama/final impact scores. Explanatory/audit only because scoring used price/COT context.
event_scored_explanatory,bayesian_ridge,valid,False,11,2000-10-12,2000-10-26,0.10556626273956494,0.12153516070446714,-3.051554869884588,0.5454545454545454,0.04864152428529444,-0.05692473845427051,Adds weekly Ollama/final impact scores. Explanatory/audit only because scoring used price/COT context.
baseline_no_events,gradient_boosting_small,valid,False,11,2000-10-12,2000-10-26,0.0995050339868813,0.12157863932839785,-3.0544542372609236,0.2727272727272727,0.042580295532610786,-0.05692473845427051,Yahoo + top COT + compact weather features only.
event_safe,ridge_alpha_3,valid,False,11,2000-10-12,2000-10-26,0.12305400750370862,0.1317704034290687,-3.7627040629889503,0.2727272727272727,0.0661292690494381,-0.05692473845427051,Adds raw weekly event-count/intensity/direction features only; avoids Ollama/final scores.
event_safe,bayesian_ridge,valid,False,11,2000-10-12,2000-10-26,0.12475224822068985,0.13324246446139715,-3.869710677516335,0.2727272727272727,0.06782750976641934,-0.05692473845427051,Adds raw weekly event-count/intensity/direction features only; avoids Ollama/final scores.
